,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1118,0,0,0,0.82
1,788,293,0,37,0.82
2,588,481,35,8,0.82
3,590,444,56,22,0.82
4,590,434,84,4,0.82
5,591,399,102,20,0.82
6,591,390,126,3,0.82
7,591,356,141,21,0.82
8,593,347,166,3,0.82
9,593,315,182,19,0.82
10,592,308,202,7,0.82
11,601,275,214,18,0.82
12,591,276,233,7,0.82
13,594,242,256,14,0.82
14,601,236,264,5,0.82
15,598,211,278,17,0.82
16,603,208,287,6,0.82
17,601,185,299,18,0.82
18,607,184,305,5,0.82
19,607,162,312,20,0.82
20,601,165,330,5,0.82
21,610,134,337,20,0.82
