,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1126,0,0,0,0.82
1,1064,40,0,22,0.82
2,838,223,31,33,0.82
3,568,460,73,23,0.82
4,539,447,116,19,0.82
5,568,389,145,17,0.82
6,563,358,177,20,0.82
7,574,317,206,18,0.82
8,579,273,248,14,0.82
9,589,236,275,14,0.82
10,596,197,304,16,0.82
11,602,170,320,16,0.82
12,628,117,338,23,0.82
13,649,82,363,12,0.82
14,672,36,381,16,0.82
15,704,0,399,2,0.82
16,726,0,379,0,0.82
17,744,1,360,0,0.82
18,758,0,347,0,0.82
19,780,0,325,0,0.82
20,793,0,311,1,0.82
21,806,0,297,2,0.82
22,819,0,286,0,0.82
23,831,0,273,1,0.82
24,846,0,258,1,0.82
25,864,0,241,0,0.82
26,887,0,216,2,0.82
27,902,2,200,1,0.82
28,914,1,182,8,0.82
29,928,0,176,1,0.82
30,948,0,157,0,0.82
31,963,0,141,1,0.82
32,979,0,125,1,0.82
33,992,0,113,0,0.82
34,1010,0,94,1,0.82
35,1023,0,82,0,0.82
36,1038,0,66,1,0.82
37,1045,0,59,1,0.82
38,1052,0,53,0,0.82
39,1059,0,45,1,0.82
40,1067,0,38,0,0.82
41,1075,2,28,0,0.82
42,1081,0,24,0,0.82
43,1083,0,21,1,0.82
44,1085,0,19,1,0.82
45,1087,0,17,1,0.82
46,1086,0,16,2,0.82
47,1087,0,17,0,0.82
48,1085,0,16,3,0.82
49,1084,0,19,1,0.82
50,1084,0,20,0,0.82
51,1084,1,17,2,0.82
52,1084,1,18,1,0.82
53,1082,0,20,2,0.82
54,1083,0,21,0,0.82
55,1083,0,20,1,0.82
56,1084,0,19,1,0.82
57,1079,2,19,4,0.82
58,1079,0,22,2,0.82
59,1081,0,22,0,0.82
60,1080,0,22,1,0.82
61,1081,0,22,0,0.82
62,1081,0,21,1,0.82
63,1081,0,21,1,0.82
64,1080,0,22,1,0.82
65,1085,0,18,0,0.82
66,1079,2,18,4,0.82
67,1078,1,23,1,0.82
68,1079,0,24,0,0.82
69,1078,1,24,0,0.82
70,1081,0,22,0,0.82
71,1075,4,21,3,0.82
72,1076,0,24,2,0.82
73,1074,0,25,3,0.82
74,1074,0,28,0,0.82
75,1076,0,26,0,0.82
76,1071,6,24,1,0.82
77,1072,0,27,3,0.82
78,1071,1,29,1,0.82
79,1071,0,31,0,0.82
80,1072,0,30,0,0.82
81,1071,0,30,1,0.82
82,1072,0,30,0,0.82
83,1075,0,27,0,0.82
84,1073,1,26,2,0.82
85,1073,1,28,0,0.82
86,1075,0,26,1,0.82
87,1072,4,26,0,0.82
88,1071,2,23,6,0.82
89,1071,0,28,3,0.82
90,1072,0,30,0,0.82
91,1070,1,27,4,0.82
92,1068,1,29,3,0.82
93,1070,0,31,0,0.82
94,1070,0,30,1,0.82
95,1064,6,29,2,0.82
96,1046,9,33,12,0.82
97,990,41,47,21,0.82
98,788,203,73,33,0.82
99,574,384,124,15,0.82
100,568,350,165,13,0.82
101,588,305,185,18,0.82
