,Quiescent,Active,Jailed,Fighting,Legitimacy,links,run
0,1131,0,0,0,0.82,3,7
1,797,291,0,43,0.82,3,7
2,537,537,48,9,0.5747614367180843,3,7
3,549,482,75,25,0.39961916323109176,3,7
4,537,485,104,5,0.41246702876121194,3,7
5,578,403,129,20,0.4097694726917461,3,7
6,553,415,155,7,0.44195374317812736,3,7
7,589,342,177,21,0.4299307096454967,3,7
8,581,342,202,4,0.4583907760319188,3,7
9,603,287,214,24,0.45751773119263534,3,7
10,598,290,234,6,0.47492253968688103,3,7
11,609,245,249,24,0.47514365982618534,3,7
12,601,247,269,10,0.4856833996668944,3,7
13,613,202,295,17,0.48384763093593525,3,7
14,621,192,307,6,0.49675962852739475,3,7
15,633,155,309,28,0.5047537746437689,3,7
16,632,156,330,6,0.51373304178982,3,7
17,634,127,339,24,0.5171768967853994,3,7
18,635,125,354,9,0.520195032859953,3,7
19,640,90,366,26,0.5239396596679712,3,7
20,649,84,378,8,0.5299260340601111,3,7
21,671,45,383,20,0.5394021182563942,3,7
22,693,29,394,2,0.5558350755264563,3,7
23,724,4,388,1,0.5739153297407297,3,7
24,745,1,366,5,0.5957477851539149,3,7
25,761,3,350,2,0.6073083887872921,3,7
26,772,2,341,1,0.6167978519999259,3,7
27,786,1,329,0,0.6234995311407476,3,7
28,808,0,307,1,0.6320251608373564,3,7
29,833,0,281,2,0.6450723073810095,3,7
30,857,0,258,1,0.6600455299920758,3,7
31,874,0,240,2,0.6750951308263754,3,7
32,895,1,218,2,0.6856205789385337,3,7
33,917,0,198,1,0.6988332051336492,3,7
34,930,1,182,3,0.713361754399023,3,7
35,947,0,169,0,0.7212091367348983,3,7
36,961,0,154,1,0.7328624115290437,3,7
37,969,6,138,3,0.7415761088116927,3,7
38,964,14,130,7,0.7451363491553484,3,7
39,851,109,127,28,0.7401016722290004,3,7
40,628,325,143,19,0.6469594860534005,3,7
41,604,328,167,14,0.48348936134714,3,7
42,619,300,177,17,0.4719145284275348,3,7
43,608,290,196,18,0.4840718028379316,3,7
44,635,257,207,13,0.48024783664329046,3,7
45,615,256,228,13,0.500969819302114,3,7
46,635,230,232,14,0.4908779748297521,3,7
47,625,221,247,16,0.5058375436055278,3,7
48,630,204,263,12,0.5022512164038535,3,7
49,638,180,271,19,0.5086360470713335,3,7
50,638,173,282,14,0.5160201553916728,3,7
51,642,154,289,20,0.5183530122553355,3,7
52,630,153,308,14,0.5231143949234776,3,7
53,653,124,315,12,0.5181371280204565,3,7
54,645,125,326,7,0.5359431457433838,3,7
55,653,98,331,20,0.5326214756810861,3,7
56,643,94,348,16,0.5395370546605462,3,7
57,670,50,364,16,0.5358840751505821,3,7
58,693,24,373,8,0.558357018308058,3,7
59,711,8,371,8,0.5773539546113112,3,7
60,737,1,357,3,0.5901986061468429,3,7
61,743,3,348,4,0.6070234125936149,3,7
62,758,2,334,3,0.6099101420087676,3,7
63,782,0,312,3,0.61915238478022,3,7
64,804,0,292,1,0.6336413995861621,3,7
65,830,0,263,4,0.6472355723693998,3,7
66,836,5,250,6,0.6626739693703492,3,7
67,847,0,248,2,0.665144397032008,3,7
68,854,1,242,0,0.6736775749372724,3,7
69,872,0,225,0,0.6782806522554904,3,7
70,890,0,206,1,0.6899259456269039,3,7
71,902,0,193,1,0.7013128673023572,3,7
72,917,0,178,1,0.7093395185503589,3,7
73,934,0,161,1,0.7190130508787494,3,7
74,948,0,146,2,0.7298950684861969,3,7
75,967,0,127,2,0.7385322639551123,3,7
76,980,0,115,1,0.7501331926382708,3,7
77,973,12,103,8,0.757888803099835,3,7
78,986,4,101,5,0.7504103110970691,3,7
79,994,1,100,1,0.7598049179091776,3,7
80,1006,0,88,2,0.7654129848172856,3,7
81,1012,2,81,1,0.771562600733999,3,7
82,1016,0,79,1,0.774280286980108,3,7
83,1027,0,65,4,0.7765077207176244,3,7
84,1022,0,62,12,0.7808154927052673,3,7
85,1015,14,63,4,0.7772097209043268,3,7
86,1002,14,68,12,0.7729652478585112,3,7
87,978,20,78,20,0.7652133908923822,3,7
88,786,196,93,21,0.7496783156100414,3,7
89,589,368,115,22,0.5974736101537927,3,7
90,599,340,140,14,0.4583523599664921,3,7
91,597,318,158,20,0.47011512732953203,3,7
92,613,285,185,10,0.47199380024977833,3,7
93,611,263,202,15,0.48800023550072924,3,7
94,628,232,218,13,0.4903565573398096,3,7
95,626,214,231,20,0.5051700978412494,3,7
96,628,198,249,15,0.506118963675877,3,7
97,636,169,267,16,0.5111308343632514,3,7
98,649,144,283,11,0.5207339041658963,3,7
99,650,122,296,17,0.5332328178735736,3,7
100,661,102,310,12,0.537009550383062,3,7
101,653,86,328,17,0.5474474267620921,3,7
102,664,60,345,14,0.5453138807727917,3,7
103,698,19,356,9,0.5566752316040994,3,7
104,710,10,356,5,0.5838962102770193,3,7
105,733,1,345,2,0.5931913921843462,3,7
106,745,1,334,1,0.6084989578943628,3,7
107,768,0,311,1,0.6156443745769142,3,7
108,786,0,294,0,0.6296295853209327,3,7
109,797,0,283,0,0.6406468340560719,3,7
110,813,0,266,1,0.647357643166258,3,7
111,828,3,245,4,0.6570550480617727,3,7
112,840,9,225,6,0.6653493746759688,3,7
113,855,5,215,5,0.6714820940245613,3,7
114,839,27,208,5,0.6819507024792469,3,7
115,791,63,202,23,0.6680382390289822,3,7
116,702,144,218,15,0.6283485064770339,3,7
117,636,191,229,22,0.5629850524197854,3,7
118,634,186,241,14,0.5173278649516,3,7
119,633,167,259,15,0.5191283954783965,3,7
120,647,151,265,10,0.5220284838957263,3,7
121,648,140,272,13,0.5335003908428467,3,7
122,654,142,261,15,0.5354891582111099,3,7
123,640,133,274,25,0.5381852823525728,3,7
124,660,117,283,10,0.5304586275037865,3,7
125,682,83,283,21,0.5472495084881609,3,7
126,677,81,300,11,0.5637352993387085,3,7
127,691,49,311,17,0.563132186109591,3,7
128,707,27,326,8,0.5758541947716864,3,7
129,738,0,323,5,0.5905291597200517,3,7
130,762,1,302,1,0.6143495520467825,3,7
131,764,5,291,6,0.6291667874813393,3,7
132,786,1,274,5,0.6287394921852864,3,7
133,804,0,260,2,0.6430367164822289,3,7
134,814,1,246,5,0.6549133749402731,3,7
135,829,0,237,0,0.6604554754717248,3,7
136,842,1,223,0,0.6710312731002579,3,7
137,856,0,209,1,0.6791472064851417,3,7
138,871,0,194,0,0.6881418364229935,3,7
139,882,0,180,3,0.698282931459289,3,7
140,884,7,170,4,0.7048365814607914,3,7
141,836,51,166,12,0.7046750709024854,3,7
142,740,122,178,23,0.6643483952931979,3,7
143,660,195,194,14,0.5908333691464854,3,7
144,639,200,204,19,0.5336810865781298,3,7
145,644,190,216,11,0.5206174612687493,3,7
146,646,178,215,21,0.5267647548994905,3,7
147,636,179,230,15,0.5283945173030866,3,7
148,638,163,244,14,0.5238842083712876,3,7
149,640,156,249,12,0.5282232488702496,3,7
150,642,139,256,20,0.5312961430515684,3,7
151,641,133,268,15,0.5340134913313122,3,7
152,650,110,281,16,0.5354640484140011,3,7
153,663,88,296,9,0.544357627241581,3,7
154,693,50,299,12,0.5569591025721289,3,7
155,712,24,308,7,0.5805601057854807,3,7
156,736,2,308,5,0.5977642327024127,3,7
157,749,0,299,3,0.6162408690821833,3,7
158,767,0,284,0,0.6247518706114578,3,7
159,776,0,271,4,0.6362319944123953,3,7
160,793,1,257,0,0.6410420059412298,3,7
161,803,0,247,1,0.6521578959405544,3,7
162,821,1,228,1,0.6584444258410799,3,7
163,838,0,212,1,0.669691173628929,3,7
164,851,0,200,0,0.6807726901015129,3,7
165,862,0,187,2,0.6893343090419484,3,7
166,869,0,181,1,0.6960728673973108,3,7
167,883,0,166,2,0.7007683138918145,3,7
168,891,0,159,1,0.7095761101404329,3,7
169,904,0,146,1,0.7148518302530857,3,7
170,917,1,129,4,0.7230231749732088,3,7
171,930,0,121,0,0.7302761929697468,3,7
172,943,0,108,0,0.7388861929692397,3,7
173,952,1,97,1,0.7462246623822417,3,7
174,962,1,86,2,0.7506795582441349,3,7
175,969,1,79,2,0.7555598888167511,3,7
176,975,2,71,3,0.7589065535001559,3,7
177,941,30,68,11,0.7612803372879597,3,7
178,758,187,69,36,0.7378812912447434,3,7
179,616,322,104,7,0.5905666878681813,3,7
180,607,300,122,19,0.49059054987869083,3,7
181,620,285,135,7,0.48777118946601805,3,7
182,616,259,147,25,0.4997923523694583,3,7
183,618,249,169,9,0.49909372162159815,3,7
184,623,213,187,22,0.5052300181519518,3,7
185,621,212,205,7,0.5120947537370822,3,7
186,619,183,218,23,0.5139151544367164,3,7
187,623,176,238,4,0.5155464541714645,3,7
188,627,140,255,19,0.5227785626355083,3,7
189,626,138,270,5,0.528757028355253,3,7
190,641,96,282,19,0.5314762699718852,3,7
191,652,86,293,7,0.5449595256468714,3,7
192,688,28,299,22,0.5550483858268586,3,7
193,703,14,314,5,0.5834526403628458,3,7
194,717,1,315,3,0.5980033749780914,3,7
195,732,0,304,0,0.6089703181348545,3,7
196,750,0,286,0,0.6186539669685188,3,7
197,762,0,273,1,0.6295703173151168,3,7
198,782,0,254,0,0.6367658085386998,3,7
199,797,0,235,4,0.6494103420925161,3,7
200,807,0,227,2,0.6581601709446101,3,7
201,820,1,209,6,0.6648921618714473,3,7
202,829,1,202,4,0.6723179985349477,3,7
203,846,0,189,1,0.6784746710158851,3,7
204,856,0,179,1,0.6901710596092082,3,7
205,864,0,170,2,0.6966187253954368,3,7
206,883,0,153,0,0.7015778364371613,3,7
207,891,0,144,1,0.7140149553267693,3,7
208,903,0,133,0,0.7188273683203349,3,7
209,913,1,122,0,0.7263482484339524,3,7
210,911,9,107,9,0.7321035029626748,3,7
211,921,1,111,3,0.7278500948517178,3,7
212,935,0,100,1,0.7361615917783735,3,7
213,946,0,85,5,0.7443731033474273,3,7
214,954,2,76,4,0.7492681710257761,3,7
215,966,0,69,1,0.7529251211394131,3,7
216,973,0,63,0,0.7591838548185246,3,7
217,981,0,55,0,0.7622746409857756,3,7
218,987,0,49,0,0.7654363220003372,3,7
219,990,1,44,1,0.7677176655385322,3,7
220,990,1,44,1,0.7684744767739563,3,7
221,994,0,40,2,0.7684744767739563,3,7
222,994,0,39,2,0.7699509397065823,3,7
223,995,1,36,3,0.7699553363586339,3,7
224,971,21,35,8,0.7699590289684111,3,7
225,794,159,45,35,0.7562488827158693,3,7
226,604,338,79,10,0.6226340878323201,3,7
227,605,301,107,18,0.4838418660741444,3,7
228,605,290,126,9,0.48963655353073365,3,7
229,609,252,144,25,0.4934378761598278,3,7
230,611,238,177,4,0.49958487574911786,3,7
231,618,201,195,16,0.5070112174573266,3,7
232,620,189,211,10,0.5153453996112126,3,7
233,628,155,224,22,0.5196986685235279,3,7
234,630,146,243,9,0.5282550369326452,3,7
235,642,107,258,21,0.5335324607334923,3,7
236,660,84,273,11,0.5450793318922874,3,7
237,664,47,295,22,0.5611750618966618,3,7
238,680,32,306,8,0.5681578986646183,3,7
239,701,5,312,8,0.5830096568882139,3,7
240,719,2,303,2,0.6001656730289839,3,7
241,733,0,292,1,0.6125020278226321,3,7
242,746,0,280,0,0.6214972876655979,3,7
243,761,1,264,0,0.6296238075520786,3,7
244,773,0,251,2,0.6387238040234081,3,7
245,786,0,238,2,0.646051148680772,3,7
246,779,8,228,11,0.6542628190466656,3,7
247,784,8,230,4,0.6467502927385097,3,7
248,796,1,224,5,0.6511820289827425,3,7
249,817,0,208,1,0.659903375220441,3,7
250,824,1,200,1,0.6742856150549327,3,7
