,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
0,1155,0,0,0,0.82,9,1
1,851,268,0,36,0.82,9,1
2,591,515,41,7,0.6029512499051349,9,1
3,578,494,64,15,0.4263294343215084,9,1
4,587,473,88,3,0.4227678006144127,9,1
5,598,430,100,23,0.43294730426325867,9,1
6,603,414,126,6,0.4423443354854975,9,1
7,611,374,148,15,0.4508924358369318,9,1
8,621,358,160,7,0.46043429551824683,9,1
9,630,319,178,19,0.4698833977650376,9,1
10,627,316,195,7,0.4791308459465831,9,1
11,635,276,214,20,0.4804458291282168,9,1
12,638,267,230,9,0.4892156287103646,9,1
13,650,231,245,16,0.494407400678982,9,1
14,643,237,254,6,0.5058780707772215,9,1
15,650,205,267,18,0.5033581553617974,9,1
16,653,207,268,11,0.510438341498272,9,1
17,652,184,282,20,0.5129961536933234,9,1
18,651,184,293,9,0.5151260238231936,9,1
19,657,158,306,15,0.5167234264205962,9,1
20,658,162,305,9,0.523476792457374,9,1
21,664,139,308,22,0.5246525259243241,9,1
22,658,148,319,7,0.529657426327466,9,1
23,656,125,333,18,0.5278047647707779,9,1
24,674,114,337,6,0.5289122661840643,9,1
25,682,93,341,15,0.5424145892499749,9,1
26,675,108,338,9,0.5487031496813634,9,1
27,678,84,350,17,0.5436293193108603,9,1
28,693,79,352,4,0.5481935034310128,9,1
29,710,51,356,9,0.5594167924782898,9,1
30,736,39,344,7,0.5728870625826697,9,1
31,761,9,343,13,0.5894554691867867,9,1
32,793,1,332,0,0.607563614463937,9,1
33,814,0,310,2,0.6294816421270105,9,1
34,831,0,295,0,0.6415364401409219,9,1
35,849,1,276,0,0.6519669460677096,9,1
36,858,1,263,4,0.6626241382626852,9,1
37,873,1,252,0,0.6673936203285317,9,1
38,894,1,231,0,0.6773225617546483,9,1
39,907,0,218,1,0.6903908719601205,9,1
40,926,3,197,0,0.6985563651999466,9,1
41,878,35,186,27,0.7101970680521081,9,1
42,745,170,196,14,0.669591258930903,9,1
43,677,225,209,13,0.5701092716267453,9,1
44,676,221,217,9,0.5241884652773652,9,1
45,677,208,221,16,0.5252534003423003,9,1
46,673,203,233,12,0.5270087671528928,9,1
47,678,187,247,9,0.5266836966981034,9,1
