,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1154,0,0,0,0.82
1,709,389,0,56,0.82
2,537,560,37,0,0.49922766442880895
3,580,482,32,35,0.3962828966579826
4,563,523,29,1,0.4251535547804388
5,615,437,22,27,0.41734866719208297
6,584,484,23,1,0.45589830089504735
7,625,400,27,30,0.4378955674511891
8,616,427,23,0,0.47006036850851873
9,633,369,28,27,0.4685481844880609
10,640,382,30,0,0.4845546641649341
11,634,350,24,32,0.491686317737205
12,638,363,30,1,0.4906579138023697
13,640,323,34,26,0.49753352509499765
14,654,329,29,1,0.5030378808967144
15,657,290,20,37,0.5162401350090123
16,658,304,31,0,0.5203756755965706
17,667,259,25,38,0.5274289950026291
18,668,272,32,0,0.5347864750340514
19,676,233,31,24,0.5437707760100866
20,680,252,24,0,0.5531459969005487
21,667,222,30,29,0.5584447760572114
22,668,241,32,1,0.5527490825337888
23,673,201,26,31,0.5564631789360641
24,668,224,25,0,0.5641300328860153
25,671,184,16,38,0.5661412549482008
26,681,185,28,1,0.5705010103555073
27,679,146,29,29,0.587002072099098
28,690,157,21,1,0.5910133232448375
29,672,135,24,24,0.6048576028264041
30,688,136,23,0,0.5971850790967922
31,677,105,39,18,0.61344418334659
32,696,112,26,0,0.6110528810135026
33,688,82,23,37,0.6258443781816719
34,687,98,30,2,0.6207915170177924
35,689,60,29,32,0.6266378762951922
36,687,78,31,2,0.6307215333474611
37,681,49,28,32,0.634103523525691
38,671,72,40,2,0.6321566665221721
39,687,30,32,30,0.628921811861153
40,678,58,35,3,0.6406426955383454
41,686,26,25,24,0.6367280210138099
42,678,44,25,5,0.6437815856081224
43,673,22,24,28,0.6411889324579978
44,675,24,28,5,0.6392348596677031
45,681,9,21,18,0.6444588747964751
46,668,22,23,10,0.647094904300989
47,666,12,22,16,0.6414842400632743
48,669,12,22,5,0.6415659124254408
49,675,3,14,13,0.644657058239877
50,659,16,10,14,0.6469752252262009
51,656,5,22,10,0.6387922660094952
52,660,7,16,5,0.6403974400858738
53,658,2,8,19,0.6423568090275236
54,656,7,16,3,0.6400473276955948
55,657,6,8,8,0.6412910855594344
56,657,4,8,5,0.6409358694645242
57,655,2,9,8,0.64182409007539
58,656,3,9,4,0.6409358747929572
59,649,8,6,7,0.6418240901088881
60,645,6,9,6,0.6379159419312233
61,645,3,8,5,0.6370277270265439
62,645,2,4,6,0.6377383015473628
63,643,2,5,3,0.6377383015597831
64,639,4,5,3,0.637560658578856
65,638,3,5,5,0.6357842287694884
66,637,5,9,0,0.6352512998266093
67,639,1,7,3,0.635428942807086
68,641,1,3,3,0.6363171577123042
69,638,2,5,3,0.6370277296360485
70,639,0,5,3,0.6357842287694974
71,640,2,4,1,0.6364948006932408
72,640,1,4,1,0.6368500866551127
73,642,1,2,1,0.6370277296360485
74,639,3,1,2,0.6377383015597919
75,638,0,4,3,0.6361395147313692
76,640,1,3,0,0.6361395147313692
77,639,1,0,4,0.6372053726169843
78,637,2,2,1,0.6361395147313692
79,636,0,2,4,0.6357842287694974
80,636,0,2,2,0.6352512998266897
81,633,1,2,2,0.6356065857885614
82,634,0,1,2,0.6343630849220103
83,634,1,1,0,0.634896013864818
84,633,2,1,0,0.6350736568457538
85,633,0,1,2,0.6345407279029462
86,632,1,2,0,0.6345407279029462
87,634,0,0,1,0.6343630849220103
88,633,1,1,0,0.6350736568457538
89,634,0,0,1,0.6347183708838822
90,633,0,1,1,0.6350736568457538
91,634,0,1,0,0.6347183708838822
92,633,1,1,0,0.6352512998266897
93,634,1,0,0,0.6347183708838822
94,633,1,1,0,0.6350736568457538
95,633,0,2,0,0.6347183708838822
96,635,0,0,0,0.634896013864818
97,634,0,0,1,0.6356065857885614
