,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,6,3,1,32,89,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
1,3,9,3,40,90,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
2,3,9,3,40,91,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
3,3,8,3,40,92,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
4,3,9,5,40,93,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
5,3,9,3,8,94,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
6,3,8,5,8,95,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
7,2,3,2,46,96,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
8,3,3,2,46,97,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
9,2,6,2,46,98,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
10,2,3,2,46,99,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
11,2,3,2,26,100,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
12,3,6,2,26,101,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
13,5,8,6,21,102,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
14,6,8,6,21,103,417.0,40.422765862815474,166.0,99.0,0.09725685785536159,0.6907730673316709,0.7829064680276246,3
15,5,2,6,21,104,417.0,40.422765862815474,166.0,99.0,0.09725685785536159,0.6907730673316709,0.7829064680276246,3
16,5,8,7,21,105,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
17,5,8,6,2,106,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
18,6,2,7,2,107,278.0,148.12060722841466,6.0,0.0,0.09725685785536159,0.8179551122194514,0.6409075487701442,7
19,4,1,4,34,108,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
20,5,1,4,34,109,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
21,4,4,4,34,110,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
22,4,1,4,34,111,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
23,4,1,4,14,112,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
24,5,4,4,14,113,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
25,1,6,8,9,114,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
26,2,6,8,9,115,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
27,1,9,8,9,116,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
28,1,6,9,9,117,417.0,40.422765862815474,166.0,99.0,0.09725685785536159,0.6907730673316709,0.7829064680276246,3
29,1,6,8,38,118,417.0,40.422765862815474,166.0,99.0,0.09725685785536159,0.6907730673316709,0.7829064680276246,3
30,2,9,9,38,119,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
31,6,3,1,32,120,131.35294117647058,55.8182707909747,7.92,2.76289703029266,0.9975062344139651,0.0024937655860349127,0.5964009703819535,51
32,3,9,3,40,121,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
33,3,9,3,40,122,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
34,3,8,3,40,123,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
35,3,9,5,40,124,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
36,3,9,3,8,125,278.0,148.12060722841466,6.0,0.0,0.09725685785536159,0.8179551122194514,0.6409075487701442,7
37,3,8,5,8,126,278.0,148.12060722841466,6.0,0.0,0.09725685785536159,0.8179551122194514,0.6409075487701442,7
38,2,3,2,46,127,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
39,3,3,2,46,128,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
40,2,6,2,46,129,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
41,2,3,2,46,130,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
42,2,3,2,26,131,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
43,3,6,2,26,132,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
44,5,8,6,21,133,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
45,6,8,6,21,134,326.0,82.5388797274755,75.0,42.88589511715944,0.1596009975062344,0.5985037406483791,0.7546496225825008,6
46,5,2,6,21,135,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
47,5,8,7,21,136,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
48,5,8,6,2,137,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
49,6,2,7,2,138,274.6666666666667,155.12432290119932,6.0,0.0,0.0773067331670823,0.8254364089775561,0.6313274336283186,6
50,4,1,4,34,139,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
51,5,1,4,34,140,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
52,4,4,4,34,141,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
53,4,1,4,34,142,138.04,59.531826781982765,8.0,2.390457218668787,0.9975062344139651,0.0024937655860349127,0.6218552956534862,50
