,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,2,1,4,44,0,280.3333333333333,141.73292568144575,6.0,0.0,0.0399002493765586,0.0024937655860349127,0.5765330451945664,3
1,3,1,4,44,1,258.25,191.5977231075568,17.666666666666668,15.107025591499548,0.05236907730673317,0.0024937655860349127,0.5758812396359493,4
2,2,2,4,44,2,258.25,191.5977231075568,17.666666666666668,15.107025591499548,0.05236907730673317,0.0024937655860349127,0.5758812396359493,4
3,2,1,9,44,3,258.25,191.5977231075568,17.666666666666668,15.107025591499548,0.05236907730673317,0.0024937655860349127,0.5758812396359493,4
4,2,1,4,43,4,258.25,191.5977231075568,17.666666666666668,15.107025591499548,0.05236907730673317,0.0024937655860349127,0.5758812396359493,4
5,3,2,9,43,5,349.0,187.0,10.0,0.0,0.034912718204488775,0.04738154613466334,0.5974444999106663,2
6,5,5,8,20,6,160.0625,122.58337405109226,9.266666666666667,5.9606114526018965,0.2169576059850374,0.059850374064837904,0.6714830542478434,16
7,6,5,8,20,7,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
8,5,7,8,20,8,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
9,5,5,4,20,9,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
10,5,5,8,19,10,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
11,6,7,4,19,11,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
12,4,3,2,32,12,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
13,5,3,2,32,13,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
14,4,9,2,32,14,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
15,4,3,6,32,15,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
16,4,3,2,6,16,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
17,5,9,6,6,17,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
18,1,7,6,8,18,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
19,2,7,6,8,19,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
20,1,4,6,8,20,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
21,1,7,2,8,21,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
22,1,7,6,31,22,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
23,2,4,2,31,23,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
24,1,4,5,24,24,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
25,4,4,5,24,25,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
26,1,8,5,24,26,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
27,1,4,3,24,27,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
28,1,4,5,29,28,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
29,4,8,3,29,29,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
30,4,8,9,49,30,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
31,1,8,9,49,31,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
32,4,4,9,49,32,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
33,4,8,7,49,33,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
34,4,8,9,5,34,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
35,1,4,7,5,35,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
36,5,2,2,12,36,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
37,2,2,2,12,37,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
38,5,1,2,12,38,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
39,5,2,5,12,39,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
40,5,2,2,17,40,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
41,2,1,5,17,41,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
42,2,6,7,37,42,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
43,5,6,7,37,43,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
44,2,6,7,37,44,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
45,2,6,9,37,45,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
46,2,6,7,42,46,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
47,5,6,9,42,47,140.16666666666666,124.27914368692583,19.727272727272727,29.16751277796742,0.1371571072319202,0.07231920199501247,0.6921939866362667,12
48,3,1,8,30,48,199.3125,103.08353332977096,23.333333333333332,13.993649353268154,0.371571072319202,0.23690773067331672,0.7260114840989399,16
49,6,1,8,30,49,189.28571428571428,170.97177234495612,8.0,2.309401076758503,0.08478802992518704,0.0024937655860349127,0.5955759105027517,7
