,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1161,0,0,0,0.82
1,869,265,0,27,0.82
2,585,518,32,20,0.6134018115070555
3,513,567,57,15,0.4202687168548907
4,566,490,76,14,0.3790752583289157
5,585,460,86,12,0.4183260054953859
6,595,442,85,20,0.4334436968175741
7,599,447,77,15,0.44017251506452604
8,592,444,81,15,0.4426493662804357
9,589,441,81,18,0.44057295859605705
10,607,423,82,13,0.43951352707150926
11,600,422,88,11,0.4529554143477076
12,609,418,71,20,0.45059149307676727
13,622,408,68,15,0.4545915321320624
14,605,412,76,17,0.4644808414605806
15,618,400,72,13,0.4553471649818604
16,614,400,67,18,0.46574298162063055
17,615,394,72,13,0.4634475466507769
18,619,383,72,17,0.46666522670598565
19,602,387,91,8,0.4704068251573036
20,630,362,79,16,0.46311856176078325
21,614,374,79,17,0.48058181698032115
22,626,359,77,11,0.47054597130715115
23,626,352,79,13,0.48223545721485844
24,639,339,73,16,0.4836223838786991
25,632,337,77,15,0.4927312360794229
26,639,329,75,16,0.49061372169684914
27,635,320,80,18,0.49591447761760776
28,641,314,78,14,0.4960967011928767
29,643,311,77,13,0.5021718735119006
30,650,306,61,18,0.5045166457669965
31,638,314,64,17,0.5100507131773564
32,639,304,64,22,0.5026489576112323
33,632,303,72,14,0.5048429898345583
34,639,290,78,7,0.504153167746046
35,647,285,62,16,0.5129100206424135
36,631,293,67,14,0.5174660221398784
37,642,280,66,11,0.508519499998856
38,641,277,59,17,0.5187118410699759
39,638,268,67,12,0.5186697525207784
40,642,259,72,9,0.5213589535424121
41,649,248,69,12,0.5264034408428412
42,648,245,65,16,0.5327176284305714
43,647,238,64,18,0.5328616260372162
44,646,231,70,11,0.5347530935145347
45,660,220,54,20,0.5387173871194905
46,638,229,69,14,0.5482908244757299
47,648,212,72,15,0.5357156644666049
48,644,206,84,8,0.5451435301258999
49,659,197,72,11,0.5462663406152142
50,647,204,70,15,0.5570310259960904
51,659,198,57,16,0.5486260261502389
52,652,206,56,10,0.558237398406672
53,654,196,50,21,0.5551585177885268
54,643,203,60,11,0.5569617203443813
55,644,181,75,12,0.5518273750206326
56,654,175,69,12,0.5574123481567838
57,648,169,73,16,0.5651019137790876
58,661,163,60,12,0.5628151754844455
59,656,165,58,13,0.5752633810178807
60,655,168,51,13,0.5726988997482519
61,646,169,53,17,0.5728942185774778
62,641,161,64,13,0.5669498287827139
63,642,152,73,11,0.5675709719713856
64,657,140,63,15,0.5704034647783983
65,662,141,61,9,0.582001742303197
66,658,140,58,12,0.5865718949079706
67,657,135,56,12,0.5850812999124388
68,667,117,61,11,0.5875396334093941
69,675,110,57,12,0.5982837527621558
70,683,112,46,10,0.6049056961576671
71,660,128,50,12,0.6106996507978141
72,662,119,47,17,0.5934179170688644
73,671,109,52,10,0.5967510657688777
74,666,110,47,17,0.6061878828864548
75,657,110,56,12,0.6022010557035773
76,672,103,47,12,0.5988212049815888
77,664,110,44,9,0.6096416510757418
78,666,103,44,11,0.6058468527741084
79,662,100,45,12,0.6087449665464899
80,659,99,46,14,0.6079448397983881
81,663,97,46,11,0.6061893599081257
82,659,101,47,8,0.6097766945273179
83,676,77,51,10,0.6076735331522872
84,669,83,51,8,0.6220244829111009
85,681,69,49,11,0.6178898467601197
86,678,70,52,8,0.6270853910158612
87,695,62,43,8,0.626157236246993
88,690,69,35,8,0.63706489438622
89,677,79,37,6,0.6342479950849887
90,673,82,35,8,0.6262887009697652
91,661,84,38,12,0.6233629832039299
92,667,75,41,9,0.6160701910209536
93,681,58,45,6,0.6223035516793821
94,708,36,41,2,0.6339042397526322
95,711,40,33,3,0.6519751803618086
96,709,49,24,4,0.6523903770887124
97,688,61,24,12,0.6498419915787395
98,688,55,31,9,0.6366955841197461
99,697,41,35,6,0.638561636068313
100,707,36,32,4,0.6462341133184636
101,712,35,27,4,0.6517819782947301
102,713,42,21,2,0.6540467791083545
103,700,52,19,6,0.6535610150689725
104,693,54,21,9,0.6457808374013062
105,688,59,24,5,0.6418020648581554
106,702,40,26,7,0.6394324149388512
107,714,28,29,2,0.6487162387315176
108,731,17,23,2,0.6565967676708901
109,743,11,15,4,0.6647755867208679
110,748,8,15,2,0.6697368225838454
111,747,10,13,2,0.6723858352808348
112,757,3,11,1,0.6716795475978029
113,759,3,8,1,0.6766236003420757
114,760,3,6,1,0.677329888027555
115,766,1,3,0,0.6776830318690782
116,766,3,1,0,0.6803316106804479
117,766,1,2,1,0.6799784668389319
118,767,1,2,0,0.6801550387596899
119,768,1,1,0,0.6806847545219638
120,767,2,0,1,0.6810378983634797
121,764,3,1,2,0.6803316106804479
122,763,3,3,0,0.6789190353143841
123,766,1,2,0,0.6789190353143842
124,766,2,1,0,0.6803316106804479
125,765,1,2,1,0.6801550387596899
126,766,0,3,0,0.6798018949181739
127,767,0,2,0,0.6805081826012058
128,767,1,1,0,0.6808613264427217
129,766,2,1,0,0.6806847545219638
130,767,0,0,2,0.6801550387596899
131,766,1,2,0,0.6805081826012058
132,766,0,2,1,0.6803316106804479
133,766,0,3,0,0.6803316106804479
134,766,0,3,0,0.6805081826012058
135,767,0,2,0,0.6805081826012058
136,767,1,1,0,0.6808613264427217
137,767,1,1,0,0.6806847545219638
138,766,2,1,0,0.6806847545219638
139,764,4,1,0,0.6801550387596899
140,756,8,1,3,0.6790956072351421
141,751,14,3,0,0.6750344530577015
142,754,10,3,1,0.672739018047719
143,753,9,4,2,0.6743281653742179
144,754,5,2,5,0.6739750215307063
145,758,0,5,2,0.6745047372954275
146,760,0,5,0,0.6773298880275624
147,760,1,4,0,0.6783893195521102
148,762,1,2,0,0.6782127476313522
149,757,6,2,0,0.6789190353143841
150,761,3,1,0,0.6762704565030145
151,752,10,1,2,0.6782127476313523
152,750,9,3,3,0.6734453057708195
153,750,8,2,2,0.6727390180854005
154,754,4,2,1,0.6730921619293638
155,755,1,4,1,0.6753875968992248
156,755,1,5,0,0.6762704565030145
157,757,0,3,1,0.6764470284237726
158,758,0,3,0,0.6771533161068044
159,759,0,2,0,0.6776830318690783
160,760,0,1,0,0.6780361757105944
161,759,1,1,0,0.6783893195521102
162,759,1,1,0,0.6778596037898362
163,760,1,0,0,0.6778596037898362
164,759,1,0,1,0.6782127476313522
165,759,1,1,0,0.6776830318690784
166,759,1,1,0,0.6778596037898362
167,759,1,1,0,0.6778596037898362
168,759,0,1,1,0.6778596037898362
169,760,0,1,0,0.6778596037898362
170,759,1,1,0,0.6783893195521102
171,759,1,1,0,0.6778596037898362
172,759,1,1,0,0.6778596037898362
173,759,1,1,0,0.6778596037898362
174,760,1,0,0,0.6778596037898362
175,759,2,0,0,0.6782127476313522
176,759,1,0,1,0.6776830318690784
177,759,0,2,0,0.6776830318690784
178,760,0,1,0,0.6780361757105944
179,760,0,0,1,0.6783893195521102
180,759,1,1,0,0.6782127476313522
181,759,0,1,1,0.6778596037898362
182,759,0,1,0,0.6778596037898362
183,759,0,1,0,0.6780361757105944
184,760,0,0,0,0.6780361757105944
185,759,1,0,0,0.6783893195521102
186,759,1,0,0,0.6778596037898362
187,759,1,0,0,0.6778596037898362
188,759,1,0,0,0.6778596037898362
189,759,0,0,1,0.6778596037898362
190,759,0,1,0,0.6778596037898362
191,760,0,0,0,0.6780361757105944
192,759,1,0,0,0.6783893195521102
193,759,1,0,0,0.6778596037898362
194,759,1,0,0,0.6778596037898362
195,758,2,0,0,0.6778596037898362
196,759,0,0,1,0.6773298880275624
197,759,0,1,0,0.6778596037898362
198,760,0,0,0,0.6780361757105944
199,759,1,0,0,0.6783893195521102
200,759,0,0,1,0.6778596037898362
201,759,0,1,0,0.6778596037898362
202,760,0,0,0,0.6780361757105944
203,759,0,0,1,0.6783893195521102
204,759,0,1,0,0.6778596037898362
205,759,0,1,0,0.6780361757105944
206,759,0,1,0,0.6780361757105944
207,759,0,1,0,0.6780361757105944
208,760,0,0,0,0.6780361757105944
209,759,1,0,0,0.6783893195521102
210,759,1,0,0,0.6778596037898362
211,759,0,0,1,0.6778596037898362
212,759,0,0,0,0.6778596037898362
213,759,0,0,0,0.6780361757105944
214,759,0,0,0,0.6780361757105944
215,759,0,0,0,0.6780361757105944
216,759,0,0,0,0.6780361757105944
217,759,0,0,0,0.6780361757105944
218,759,0,0,0,0.6780361757105944
219,759,0,0,0,0.6780361757105944
220,759,0,0,0,0.6780361757105944
221,759,0,0,0,0.6780361757105944
222,759,0,0,0,0.6780361757105944
223,759,0,0,0,0.6780361757105944
224,759,0,0,0,0.6780361757105944
225,759,0,0,0,0.6780361757105944
226,759,0,0,0,0.6780361757105944
227,759,0,0,0,0.6780361757105944
228,759,0,0,0,0.6780361757105944
229,759,0,0,0,0.6780361757105944
230,759,0,0,0,0.6780361757105944
231,759,0,0,0,0.6780361757105944
232,759,0,0,0,0.6780361757105944
233,759,0,0,0,0.6780361757105944
234,759,0,0,0,0.6780361757105944
235,759,0,0,0,0.6780361757105944
236,759,0,0,0,0.6780361757105944
237,759,0,0,0,0.6780361757105944
238,759,0,0,0,0.6780361757105944
239,759,0,0,0,0.6780361757105944
240,759,0,0,0,0.6780361757105944
241,759,0,0,0,0.6780361757105944
242,759,0,0,0,0.6780361757105944
243,759,0,0,0,0.6780361757105944
244,759,0,0,0,0.6780361757105944
245,759,0,0,0,0.6780361757105944
246,759,0,0,0,0.6780361757105944
247,759,0,0,0,0.6780361757105944
248,759,0,0,0,0.6780361757105944
249,759,0,0,0,0.6780361757105944
250,759,0,0,0,0.6780361757105944
251,759,0,0,0,0.6780361757105944
252,759,0,0,0,0.6780361757105944
253,759,0,0,0,0.6780361757105944
254,759,0,0,0,0.6780361757105944
255,759,0,0,0,0.6780361757105944
256,759,0,0,0,0.6780361757105944
257,759,0,0,0,0.6780361757105944
258,759,0,0,0,0.6780361757105944
259,759,0,0,0,0.6780361757105944
260,759,0,0,0,0.6780361757105944
261,759,0,0,0,0.6780361757105944
262,759,0,0,0,0.6780361757105944
263,759,0,0,0,0.6780361757105944
264,759,0,0,0,0.6780361757105944
265,759,0,0,0,0.6780361757105944
266,759,0,0,0,0.6780361757105944
267,759,0,0,0,0.6780361757105944
268,759,0,0,0,0.6780361757105944
269,759,0,0,0,0.6780361757105944
270,759,0,0,0,0.6780361757105944
271,759,0,0,0,0.6780361757105944
272,759,0,0,0,0.6780361757105944
273,759,0,0,0,0.6780361757105944
274,759,0,0,0,0.6780361757105944
275,759,0,0,0,0.6780361757105944
276,759,0,0,0,0.6780361757105944
277,759,0,0,0,0.6780361757105944
278,759,0,0,0,0.6780361757105944
279,759,0,0,0,0.6780361757105944
280,759,0,0,0,0.6780361757105944
281,759,0,0,0,0.6780361757105944
282,759,0,0,0,0.6780361757105944
283,759,0,0,0,0.6780361757105944
284,759,0,0,0,0.6780361757105944
285,759,0,0,0,0.6780361757105944
286,759,0,0,0,0.6780361757105944
287,759,0,0,0,0.6780361757105944
288,759,0,0,0,0.6780361757105944
289,759,0,0,0,0.6780361757105944
290,759,0,0,0,0.6780361757105944
291,759,0,0,0,0.6780361757105944
292,759,0,0,0,0.6780361757105944
293,759,0,0,0,0.6780361757105944
294,759,0,0,0,0.6780361757105944
295,759,0,0,0,0.6780361757105944
296,759,0,0,0,0.6780361757105944
297,759,0,0,0,0.6780361757105944
298,759,0,0,0,0.6780361757105944
299,759,0,0,0,0.6780361757105944
300,759,0,0,0,0.6780361757105944
301,759,0,0,0,0.6780361757105944
302,759,0,0,0,0.6780361757105944
303,759,0,0,0,0.6780361757105944
304,759,0,0,0,0.6780361757105944
305,759,0,0,0,0.6780361757105944
306,759,0,0,0,0.6780361757105944
307,759,0,0,0,0.6780361757105944
308,759,0,0,0,0.6780361757105944
309,759,0,0,0,0.6780361757105944
310,759,0,0,0,0.6780361757105944
311,759,0,0,0,0.6780361757105944
312,759,0,0,0,0.6780361757105944
313,759,0,0,0,0.6780361757105944
314,759,0,0,0,0.6780361757105944
315,759,0,0,0,0.6780361757105944
316,759,0,0,0,0.6780361757105944
317,759,0,0,0,0.6780361757105944
318,759,0,0,0,0.6780361757105944
319,759,0,0,0,0.6780361757105944
320,759,0,0,0,0.6780361757105944
321,759,0,0,0,0.6780361757105944
322,759,0,0,0,0.6780361757105944
323,759,0,0,0,0.6780361757105944
324,759,0,0,0,0.6780361757105944
325,759,0,0,0,0.6780361757105944
326,759,0,0,0,0.6780361757105944
327,759,0,0,0,0.6780361757105944
328,759,0,0,0,0.6780361757105944
329,759,0,0,0,0.6780361757105944
330,759,0,0,0,0.6780361757105944
331,759,0,0,0,0.6780361757105944
332,759,0,0,0,0.6780361757105944
333,759,0,0,0,0.6780361757105944
334,759,0,0,0,0.6780361757105944
335,759,0,0,0,0.6780361757105944
336,759,0,0,0,0.6780361757105944
337,759,0,0,0,0.6780361757105944
338,759,0,0,0,0.6780361757105944
339,759,0,0,0,0.6780361757105944
340,759,0,0,0,0.6780361757105944
341,759,0,0,0,0.6780361757105944
342,759,0,0,0,0.6780361757105944
343,759,0,0,0,0.6780361757105944
344,759,0,0,0,0.6780361757105944
345,759,0,0,0,0.6780361757105944
346,759,0,0,0,0.6780361757105944
347,759,0,0,0,0.6780361757105944
348,759,0,0,0,0.6780361757105944
349,759,0,0,0,0.6780361757105944
350,759,0,0,0,0.6780361757105944
351,759,0,0,0,0.6780361757105944
352,759,0,0,0,0.6780361757105944
353,759,0,0,0,0.6780361757105944
354,759,0,0,0,0.6780361757105944
355,759,0,0,0,0.6780361757105944
356,759,0,0,0,0.6780361757105944
357,759,0,0,0,0.6780361757105944
358,759,0,0,0,0.6780361757105944
359,759,0,0,0,0.6780361757105944
360,759,0,0,0,0.6780361757105944
361,759,0,0,0,0.6780361757105944
362,759,0,0,0,0.6780361757105944
363,759,0,0,0,0.6780361757105944
364,759,0,0,0,0.6780361757105944
365,759,0,0,0,0.6780361757105944
366,759,0,0,0,0.6780361757105944
367,759,0,0,0,0.6780361757105944
368,759,0,0,0,0.6780361757105944
369,759,0,0,0,0.6780361757105944
370,759,0,0,0,0.6780361757105944
371,759,0,0,0,0.6780361757105944
372,759,0,0,0,0.6780361757105944
373,759,0,0,0,0.6780361757105944
374,759,0,0,0,0.6780361757105944
375,759,0,0,0,0.6780361757105944
376,759,0,0,0,0.6780361757105944
377,759,0,0,0,0.6780361757105944
378,759,0,0,0,0.6780361757105944
379,759,0,0,0,0.6780361757105944
380,759,0,0,0,0.6780361757105944
381,759,0,0,0,0.6780361757105944
382,759,0,0,0,0.6780361757105944
383,759,0,0,0,0.6780361757105944
384,759,0,0,0,0.6780361757105944
385,759,0,0,0,0.6780361757105944
386,759,0,0,0,0.6780361757105944
387,759,0,0,0,0.6780361757105944
388,759,0,0,0,0.6780361757105944
389,759,0,0,0,0.6780361757105944
390,759,0,0,0,0.6780361757105944
391,759,0,0,0,0.6780361757105944
392,759,0,0,0,0.6780361757105944
393,759,0,0,0,0.6780361757105944
394,759,0,0,0,0.6780361757105944
395,759,0,0,0,0.6780361757105944
396,759,0,0,0,0.6780361757105944
397,759,0,0,0,0.6780361757105944
398,759,0,0,0,0.6780361757105944
399,759,0,0,0,0.6780361757105944
400,759,0,0,0,0.6780361757105944
