,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1139,0,0,0,0.82
1,742,328,0,69,0.82
2,595,474,68,1,0.5296067659579445
3,607,395,91,45,0.4394642782108245
4,620,381,134,1,0.45169408670637795
5,641,294,164,37,0.4688915735326792
6,643,295,196,1,0.48866886913012575
7,649,224,230,31,0.496135049199898
8,648,228,258,0,0.5067295850516081
9,647,162,292,32,0.5110772593278522
10,674,147,310,0,0.5168366974314518
11,679,84,344,24,0.5395748050160507
12,686,85,358,1,0.549213728862271
13,696,35,372,25,0.557026189246338
14,684,46,390,8,0.5673557325981209
15,688,11,419,10,0.5620656975869875
16,691,10,421,6,0.5701215865425251
17,687,9,419,13,0.5726133178514802
18,686,8,425,9,0.5694118512417915
19,678,15,426,9,0.5697824352556313
20,683,5,428,11,0.564303071286591
21,681,5,427,13,0.5685450654535372
22,689,3,428,6,0.5672970740266852
23,702,2,412,9,0.5731532651736927
24,702,2,403,17,0.5799135049732533
25,692,10,403,18,0.5786512922594265
26,694,13,405,10,0.5718489775736334
27,692,5,411,14,0.5739924471017346
28,697,2,414,9,0.5736429231590189
29,698,5,409,10,0.5777597276383151
30,699,6,404,12,0.5775765161924762
31,709,2,404,5,0.577751380055739
32,703,6,394,17,0.5853148352547852
33,706,12,394,8,0.5791863154834431
34,702,9,394,15,0.5813485990499587
35,707,5,391,17,0.5784664657871823
36,721,4,382,13,0.5815303286187343
37,710,10,385,15,0.5900628306585435
38,713,10,386,11,0.5826182294174603
39,722,7,380,10,0.5849701809097799
40,719,12,376,12,0.5908007958086906
41,721,9,369,20,0.5878947405357211
42,729,15,364,11,0.5880918021377741
43,725,19,366,9,0.5930388925547183
44,720,19,356,24,0.5904714868549593
45,727,13,364,14,0.5850233223178938
46,730,9,365,14,0.5919463552545068
47,728,11,370,8,0.5943255217940889
48,731,13,358,13,0.594131918398664
49,733,11,357,14,0.5949248745770712
50,720,23,354,18,0.5962174241218713
51,713,21,365,16,0.5861412076106957
52,720,14,371,10,0.5830200404797393
53,730,6,365,13,0.5892009091032331
54,717,13,369,15,0.5958247867807588
55,714,14,379,7,0.5870211645532034
56,722,10,371,11,0.5866348634505586
57,711,16,375,10,0.5910342877236465
58,711,11,374,16,0.5844672495796047
59,725,2,374,10,0.5842872671388673
60,727,5,368,11,0.5948941851174852
61,707,15,369,19,0.5952848394585463
62,708,9,378,15,0.5812133402607096
63,711,6,385,8,0.5835599878019518
64,719,7,375,7,0.5870031291660062
65,720,12,368,8,0.5917921466690766
66,719,6,367,16,0.5912658203015516
67,720,10,367,10,0.5903522871431767
68,721,8,366,11,0.5914599146597247
69,709,16,368,13,0.592389528396599
70,702,14,374,15,0.5839614630606661
71,724,4,368,9,0.5803134280570221
72,722,10,364,9,0.5953345947343099
73,725,5,363,12,0.5931411379310357
74,729,3,360,12,0.5951721944033084
75,722,13,357,11,0.5979673717392029
76,731,4,355,12,0.5926348581232475
77,726,16,351,9,0.5993127065339166
78,724,7,354,17,0.5948875742237245
79,733,8,351,9,0.5939489840949993
80,733,11,347,10,0.6004620531400412
81,738,10,339,14,0.5997421233770912
82,720,20,342,19,0.6020279606515643
83,721,15,353,12,0.5892151917492352
84,734,11,346,10,0.5919325104700336
85,732,10,347,12,0.6003062479435722
86,726,14,346,15,0.5989985303936001
87,712,16,358,15,0.5943677229244532
88,709,13,362,16,0.5862126910062144
89,722,5,365,8,0.5851070225064824
90,723,5,360,11,0.5952088611801617
91,723,12,351,13,0.595427521545937
92,731,7,346,14,0.5938076795792996
93,719,14,354,11,0.5992263532991472
94,718,14,352,13,0.5917706106031478
95,712,12,360,13,0.591050680840198
96,727,5,357,7,0.5880699498188993
97,712,9,360,15,0.5989985303936001
98,712,12,359,11,0.5884455067105216
99,714,7,360,12,0.5890181264923718
100,717,7,360,9,0.591050680840198
101,721,7,355,8,0.5932677322570872
102,711,12,351,17,0.5960956610541429
103,701,11,364,15,0.5879728967738088
104,710,7,363,11,0.5829598758734189
105,718,9,356,8,0.5893951741899727
106,714,17,351,9,0.5940494699151085
107,714,8,352,15,0.5901884398310279
108,716,6,354,13,0.5911280389911784
109,711,7,354,17,0.5929695752706836
110,705,4,362,17,0.5892694406358246
111,706,8,363,11,0.5866617700644859
112,705,8,363,11,0.5875782669664719
113,711,8,356,10,0.5872183020849969
114,708,6,354,17,0.5911486412446624
115,715,12,351,7,0.5885685978643905
116,728,8,339,9,0.593215942002343
117,719,11,337,17,0.6011463738442532
118,717,7,340,18,0.5940567633999507
119,712,9,347,14,0.5938767809592133
120,703,18,348,12,0.5914161175949681
121,708,15,349,9,0.5853098269395998
122,728,3,342,8,0.5891899440151963
123,729,8,332,11,0.6028590810508252
124,733,11,319,17,0.6022037061648522
125,727,14,321,18,0.6028791436045059
126,717,20,328,14,0.5987194849138628
127,711,26,330,11,0.5928756196060659
128,713,20,336,9,0.5891473366178479
129,717,13,339,9,0.5917169916703634
130,716,8,337,17,0.595242675156865
131,710,14,343,11,0.5941354966912283
132,711,14,341,12,0.5907430013402168
133,715,7,346,10,0.5911271434659603
134,714,7,347,10,0.5950086454628022
135,712,9,348,9,0.5944424540593752
136,728,1,341,8,0.5931316426647817
137,721,11,335,11,0.6038566217678768
138,713,12,337,16,0.5975168240396803
139,702,15,344,16,0.5918969741111009
140,705,11,349,10,0.5853686008875787
141,706,17,347,4,0.5892563283061183
142,708,4,346,16,0.5900230715772669
143,703,11,346,12,0.5913318182574068
144,699,6,351,16,0.5883795663900881
145,703,4,351,13,0.5863102249633966
146,708,6,349,8,0.5896631066957918
147,713,13,338,7,0.5930288386146899
148,715,6,338,12,0.5947877118675042
149,718,4,337,11,0.596286847944341
150,723,6,331,10,0.598751497258033
151,718,10,330,12,0.601439284078606
152,727,6,329,8,0.5974916201728706
153,722,9,324,15,0.6041030821319872
154,717,10,331,9,0.5994248049267373
155,716,9,322,20,0.598097183664277
156,707,15,323,20,0.5957243382983026
157,701,22,333,9,0.5899281859675921
158,702,11,338,14,0.5872431564298756
159,718,7,333,6,0.5888892424777277
160,714,16,324,10,0.6003945963664926
161,708,13,328,15,0.5957574119346897
162,705,13,333,13,0.5919672693666411
163,703,14,339,7,0.5906192646113668
164,708,8,331,15,0.5905909369364879
165,713,7,330,11,0.5932885286084737
166,711,3,325,21,0.5972650156378876
167,721,6,323,10,0.5952510702542595
168,714,10,315,21,0.6024559080121727
169,713,14,320,13,0.595715052907318
170,703,12,325,19,0.5958598284157438
171,710,9,332,8,0.5896274976370538
172,710,7,330,12,0.5961509824579468
173,706,10,332,11,0.5957910175764719
174,709,5,331,14,0.5931400292510007
175,704,8,335,12,0.5952174646124772
176,694,13,343,9,0.5921776792015065
177,700,5,346,7,0.5861375360075012
178,710,4,336,8,0.5915480279342294
179,704,8,331,14,0.5972650156378876
180,709,5,332,9,0.5922401170473133
181,701,9,332,13,0.5969749299924804
182,695,6,338,15,0.5909487568788864
183,705,5,336,8,0.5879195280003046
184,701,4,333,15,0.595071087813522
185,700,9,336,8,0.5919121645100084
186,705,7,331,10,0.5917001697251008
187,699,13,330,11,0.5945652790268251
188,703,7,330,12,0.5898688622344613
189,711,8,322,9,0.5932712634061471
190,712,10,318,9,0.5986762767566856
191,695,13,319,21,0.5991158095159969
192,699,8,333,8,0.5868406438251886
193,708,5,324,11,0.5923713512024597
194,717,4,317,10,0.5975574099625606
195,701,16,314,17,0.6031471821709482
196,705,6,327,10,0.5904603551936191
197,706,2,328,11,0.5958238898580627
198,705,11,324,7,0.5971590131529133
199,705,4,322,16,0.595681261170118
200,703,7,329,8,0.595321296288643
201,700,0,330,16,0.5950671442627374
202,701,5,331,9,0.5933752811777305
203,701,10,325,9,0.5943109357880391
204,704,8,324,9,0.5936272847368375
205,699,10,325,11,0.5957191536270134
206,709,3,322,11,0.5921154040925681
207,699,13,317,16,0.599156406656192
208,696,13,325,11,0.5906755445666683
209,708,4,324,9,0.5898515970321349
210,708,9,318,10,0.5987558446345218
211,702,10,321,11,0.5976759499900969
212,711,5,318,8,0.5940614192034805
213,700,13,317,12,0.6011673753228358
214,697,14,322,9,0.5926215596775806
215,707,10,318,7,0.5912512342955016
216,710,9,309,13,0.598117652196725
217,711,6,309,13,0.5991875684747234
218,702,12,316,9,0.6007606633180288
219,709,5,313,12,0.5951561958197721
220,709,2,312,15,0.5999513631353514
221,705,9,311,12,0.6001757571703926
222,704,8,307,17,0.5973444253097859
223,700,10,313,13,0.596264530665361
224,702,5,317,11,0.5942968807562797
225,696,5,321,13,0.5969416872328447
226,688,11,328,8,0.5930968210938233
227,699,4,322,10,0.5883005659047693
228,697,7,323,8,0.5955567578414421
229,700,8,318,9,0.5942162288423823
230,704,11,309,11,0.5955978980264001
231,707,8,313,7,0.5970277791858736
232,712,5,306,12,0.6000407335550789
233,708,15,298,13,0.6026135249787172
234,705,12,302,14,0.5985124529574297
235,700,10,307,15,0.5973409969440165
236,703,6,310,12,0.594824671139461
237,700,7,310,14,0.5980609267069665
238,706,5,310,10,0.5957679021007112
239,702,6,313,10,0.6003588808625703
240,710,1,312,7,0.5978359854408054
241,708,5,305,12,0.6041997921892223
242,709,6,308,7,0.6014019000307214
243,717,9,295,9,0.602710579564455
244,709,12,292,16,0.6065405115693369
245,702,13,303,11,0.6002401784929976
246,707,4,305,13,0.5968465561903082
247,705,6,307,11,0.6010419351492463
248,714,1,305,8,0.599866086176561
249,720,3,293,12,0.6068472616609322
250,713,5,296,14,0.6093346256656305
251,713,8,296,10,0.6044548273717596
252,722,5,292,8,0.6048674548128198
253,717,6,288,15,0.6111257119283732
254,715,9,292,10,0.6069388770794363
255,725,9,285,7,0.6061086509045486
256,718,18,281,9,0.612621640598624
257,711,10,287,17,0.6064549066138307
258,708,12,293,12,0.6025276830832325
259,715,4,297,8,0.6012914568746889
260,710,7,294,13,0.6078387892831237
261,708,9,294,12,0.6034275952869198
262,717,8,295,3,0.6022950380829097
263,720,6,280,16,0.6094482363601564
264,717,10,284,10,0.6095020991366622
265,715,8,281,17,0.608304178428111
266,710,8,286,16,0.6062085524268817
267,702,14,292,12,0.603643768713765
268,696,8,303,13,0.5985407134539987
269,705,6,301,5,0.5959064724803362
270,702,5,301,9,0.603714559642475
271,700,9,297,10,0.6013951258792223
272,701,2,301,12,0.5995431910062179
273,707,7,294,8,0.6010351609977473
274,704,8,294,10,0.6044191229091115
275,705,7,295,9,0.6020947176758377
276,708,6,295,6,0.6030489494120113
277,705,4,291,15,0.6057915060678584
278,703,5,297,10,0.6027438565100776
279,705,5,294,10,0.602274700116575
280,698,11,297,8,0.6036991931461615
281,698,4,300,12,0.598823261243268
282,701,6,297,9,0.5993632085654805
283,706,6,291,10,0.6015547703536251
284,706,5,291,11,0.6043516465419584
285,695,8,296,14,0.6043516465419584
286,695,8,299,10,0.5967408890466238
287,698,5,298,10,0.5976918080599392
288,702,6,293,10,0.6002411261435249
289,711,4,289,7,0.602439316060999
290,698,10,289,14,0.6087224177337601
291,709,7,288,7,0.5986212841768874
292,698,7,289,17,0.6069823449663374
293,700,7,298,5,0.5986212841768874
294,698,6,296,10,0.6022039091878651
295,687,13,295,15,0.6002948932684626
296,691,5,301,12,0.5916345960937304
297,701,1,299,8,0.5962009417244113
298,702,5,291,10,0.6035751875620309
299,695,8,291,14,0.6033288333750818
300,702,3,292,11,0.5979013544139375
