,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1128,0,0,0,0.82
1,704,365,0,59,0.82
2,540,526,58,3,0.5071208900031308
3,574,433,91,29,0.40469609866619927
4,554,451,121,1,0.433446443784576
5,599,350,150,26,0.42547459171227775
6,591,359,173,1,0.46175702935511465
7,626,273,198,27,0.4608030193180788
8,622,279,223,0,0.48936337368529154
9,629,217,255,23,0.49114068579083486
10,632,215,275,2,0.5018007719316208
11,636,162,293,32,0.507517136251548
12,641,162,319,0,0.513901613365593
13,649,102,336,35,0.5224475851437166
14,652,106,362,1,0.5311373700092814
15,655,65,375,25,0.5383084608791685
16,652,70,393,5,0.5431232433726414
17,651,38,411,20,0.5442821763867846
18,656,37,423,4,0.5468501275458352
19,650,15,430,25,0.5525515553217719
20,642,26,446,6,0.5496002088074035
21,644,12,456,8,0.5468985321490318
22,647,12,453,8,0.5501159635316651
23,641,10,457,12,0.5516737175270119
24,649,10,451,9,0.5481981909941357
25,638,17,449,15,0.5530532229918007
26,640,11,456,12,0.5449830461366244
27,647,10,452,9,0.5476529782281783
28,652,5,453,8,0.5521689437794038
29,655,9,446,8,0.5558673146389623
30,661,6,436,15,0.5567098758279093
31,655,14,435,14,0.5591327781520076
32,657,9,438,14,0.5547107623527321
33,654,11,440,13,0.556667788571141
34,663,6,434,13,0.5549141439742542
35,657,12,436,11,0.5608773341456252
36,660,11,427,17,0.5569907858042639
37,654,15,435,11,0.5578233854977624
38,654,9,433,17,0.5550321502732686
39,659,8,437,9,0.5553551475063916
40,663,3,428,18,0.559622760681921
41,668,7,424,13,0.5611745862777436
42,677,5,413,15,0.5640090086168422
43,665,17,411,17,0.5691554745761349
44,661,12,419,18,0.560206352783226
45,671,21,409,9,0.5588119976252613
46,674,21,400,15,0.56412795940099
47,678,19,398,15,0.5646406508062083
48,665,28,403,14,0.5671476963343952
49,670,21,401,17,0.5587524520740061
50,671,18,404,15,0.5623105835144652
51,660,18,411,19,0.5639241086857937
52,669,5,424,10,0.5573425813510688
53,673,7,413,15,0.5661270728761674
54,669,15,406,18,0.5669932651584886
55,661,12,418,17,0.5628557962804227
56,663,10,423,12,0.55932659786746
57,662,14,419,13,0.5616602534924457
58,663,10,415,19,0.5602206087255107
59,669,9,418,11,0.5605559944324451
60,666,9,417,15,0.5653888502768807
61,677,11,411,8,0.5630613673150444
62,673,13,406,15,0.5698577492019203
63,665,18,411,13,0.5660750381367416
64,665,13,418,11,0.5612565500678852
65,671,14,415,7,0.5625287131884527
66,670,10,411,16,0.5662762891040806
67,667,9,414,17,0.564832796629056
68,669,8,420,8,0.5632309737818681
69,662,17,416,10,0.566458026692733
70,663,11,415,15,0.5607243221803555
71,663,10,420,11,0.5616074666058245
72,659,8,425,12,0.5625161545490869
73,662,10,424,8,0.5605698279605309
74,658,11,423,12,0.5625287131884527
75,672,8,408,15,0.5594936583709008
76,668,11,406,18,0.5671394706605429
77,668,13,410,10,0.5639037261513964
78,656,9,417,18,0.5653389852144328
79,657,14,423,5,0.5583751433686153
80,670,9,408,12,0.5605295997132753
81,670,15,400,14,0.5671243417629923
82,662,12,404,19,0.5656704410537725
83,665,15,408,9,0.5613593999102615
84,678,9,405,4,0.5642398949159556
85,682,10,387,17,0.573433899421401
86,682,15,384,15,0.573065411905995
87,677,17,383,19,0.5725201991400376
88,679,16,385,16,0.5687111216171253
89,675,18,388,14,0.5705241557672616
90,668,16,393,17,0.5685322394927873
91,676,14,388,16,0.5647423853119948
92,666,19,395,13,0.5696174100596989
93,675,11,392,14,0.5640214457558094
