,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,2,3,2,26,0,133.8,73.25804951117536,7.333333333333333,2.151657414559676,0.9950124688279302,0.0024937655860349127,0.5948413681386684,55
1,2,3,2,26,1,98.12,74.92813623733076,8.040816326530612,2.913439538733538,0.8478802992518704,0.0024937655860349127,0.5973912428977596,50
2,2,3,2,26,2,125.7090909090909,61.56937630976583,7.314814814814815,2.0168188562783174,0.9975062344139651,0.0024937655860349127,0.5968442144327419,55
3,2,3,2,26,3,96.56862745098039,63.74066787580253,7.54,2.1373815756668253,0.8204488778054863,0.0024937655860349127,0.6260007292045966,51
4,2,3,2,26,4,105.68518518518519,74.81899740783656,7.320754716981132,2.280132277738988,0.9177057356608479,0.0024937655860349127,0.6165298223770616,54
5,3,6,2,26,5,181.27777777777777,99.73008325561972,22.470588235294116,6.878078109291043,0.371571072319202,0.02743142144638404,0.7087109467140047,18
6,3,6,2,26,6,142.35,96.57187737638736,10.128205128205128,5.0493944149692265,0.7905236907730673,0.004987531172069825,0.5624157513047271,40
7,3,6,2,26,7,116.58974358974359,68.11743929297172,10.18421052631579,5.665478393689529,0.7256857855361596,0.0024937655860349127,0.6864491211109862,39
8,3,6,2,26,8,158.72727272727272,107.16095872275577,18.238095238095237,8.360364322801807,0.5286783042394015,0.02743142144638404,0.7093151591102611,22
9,3,6,2,26,9,127.8076923076923,82.42946599308603,15.52,8.119704428118057,0.5062344139650873,0.02493765586034913,0.6780681087971276,26
10,5,8,6,21,10,373.6666666666667,54.804703772172296,120.5,50.5,0.08977556109725686,0.7256857855361596,0.7876315789473683,3
11,5,8,6,21,11,443.5,42.5,232.0,0.0,0.06982543640897755,0.7306733167082294,0.7913222021660649,2
12,5,8,6,21,12,464.0,55.86292748027682,64.0,24.0,0.12468827930174564,0.6982543640897756,0.7839938217122683,3
13,5,8,6,21,13,212.0,99.75971130671941,26.928571428571427,21.018577788349475,0.32917705735660846,0.3790523690773067,0.7209699154750122,15
14,5,8,6,21,14,438.3333333333333,54.1869192907497,69.5,32.5,0.10224438902743142,0.6259351620947631,0.7746382978722925,3
15,6,8,6,21,15,458.0,0.0,,,0.034912718204488775,0.7855361596009975,0.8017615658362989,1
16,6,8,6,21,16,390.0,67.19126927411527,196.0,2.0,0.09226932668329177,0.6882793017456359,0.5286620408299737,3
17,6,8,6,21,17,377.1666666666667,89.68354859665672,42.8,10.225458424931373,0.20448877805486285,0.543640897755611,0.7602008733624454,6
18,6,8,6,21,18,414.0,9.0,188.0,0.0,0.06982543640897755,0.7680798004987531,0.7892590949423247,2
19,6,8,6,21,19,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
20,5,2,6,21,20,414.0,9.0,188.0,0.0,0.06982543640897755,0.7680798004987531,0.7892590949423247,2
21,5,2,6,21,21,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
22,5,2,6,21,22,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
23,5,2,6,21,23,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
24,5,2,6,21,24,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
25,5,8,7,21,25,325.77777777777777,94.1497362689146,49.25,28.10582679801468,0.286783042394015,0.456359102244389,0.5222113614194268,9
26,5,8,7,21,26,458.0,0.0,,,0.034912718204488775,0.7855361596009975,0.8017615658362989,1
27,5,8,7,21,27,390.0,67.19126927411527,196.0,2.0,0.09226932668329177,0.6882793017456359,0.5286620408299737,3
28,5,8,7,21,28,377.1666666666667,89.68354859665672,42.8,10.225458424931373,0.20448877805486285,0.543640897755611,0.7602008733624454,6
29,5,8,7,21,29,414.0,9.0,188.0,0.0,0.06982543640897755,0.7680798004987531,0.7892590949423247,2
30,5,8,6,2,30,458.0,0.0,,,0.034912718204488775,0.7855361596009975,0.8017615658362989,1
31,5,8,6,2,31,458.0,0.0,,,0.034912718204488775,0.7855361596009975,0.8017615658362989,1
32,5,8,6,2,32,390.0,67.19126927411527,196.0,2.0,0.09226932668329177,0.6882793017456359,0.5286620408299737,3
33,5,8,6,2,33,390.0,67.19126927411527,196.0,2.0,0.09226932668329177,0.6882793017456359,0.5286620408299737,3
34,5,8,6,2,34,377.1666666666667,89.68354859665672,42.8,10.225458424931373,0.20448877805486285,0.543640897755611,0.7602008733624454,6
35,6,2,7,2,35,274.7142857142857,145.52733104689528,6.0,0.0,0.10224438902743142,0.7980049875311721,0.6378571428571428,7
36,6,2,7,2,36,280.6666666666667,138.75357853243122,6.0,0.0,0.08229426433915212,0.8329177057356608,0.6307136563876652,6
37,6,2,7,2,37,269.5,161.43600383227198,6.0,0.0,0.0773067331670823,0.8329177057356608,0.6224711111111111,6
38,6,2,7,2,38,277.125,163.60962494608927,6.0,0.0,0.10723192019950124,0.8029925187032418,0.6280772686433064,8
39,6,2,7,2,39,280.5,156.06916201906554,6.0,0.0,0.0798004987531172,0.8104738154613467,0.6271026339691189,6
40,4,1,4,34,40,414.0,9.0,188.0,0.0,0.06982543640897755,0.7680798004987531,0.7892590949423247,2
