,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1131,0,0,0,0.82
1,701,366,0,64,0.82
2,643,421,65,0,0.503617849430958
3,666,336,93,34,0.4751216617619186
4,670,330,127,1,0.496288577063177
5,671,270,151,36,0.5056144022947023
6,679,263,183,1,0.5106708758835156
7,694,190,215,24,0.5228320111878306
8,691,199,231,1,0.5404059016949248
9,680,150,262,30,0.5415075147250464
10,688,146,285,2,0.5392597836076566
11,698,94,296,32,0.5494985958557023
12,676,116,325,3,0.5590399349926082
13,678,67,347,28,0.5485291400633944
14,681,70,365,4,0.5539414812203887
15,689,36,374,21,0.5593443543095318
16,685,41,386,8,0.5667020328505991
17,676,21,402,21,0.5660104345563599
18,681,17,412,10,0.562485815571794
19,681,10,416,13,0.567863364035438
20,678,11,422,9,0.5685883861397704
21,681,9,422,8,0.5675356456766221
22,682,6,419,13,0.5696759192962692
23,685,9,416,9,0.5698464341423624
24,685,13,408,13,0.5718016006378537
25,692,12,402,13,0.5703515564291888
26,683,14,404,18,0.5742883735896175
27,679,15,410,14,0.5681949460214579
28,678,9,417,14,0.5667758308789392
29,694,8,403,13,0.5673307674280965
30,688,20,398,12,0.576267055409307
31,681,23,399,15,0.5710449051338757
32,683,19,404,11,0.5662110135065367
33,688,9,401,19,0.5689015122205239
34,684,17,405,11,0.5719443632333863
35,679,17,407,14,0.5697992147770108
36,690,9,402,13,0.5665838346728663
37,690,9,398,17,0.5746357556745589
38,694,11,392,16,0.5739107335702266
39,690,14,389,19,0.5760695728949924
40,687,23,389,12,0.572996610501008
41,695,16,386,14,0.5711919006789798
42,695,24,377,14,0.5764277973087845
43,684,26,383,17,0.5751584957521786
44,696,25,378,11,0.5683014518508044
45,694,34,369,13,0.5760647206629451
46,696,38,363,12,0.5729839423132054
47,686,35,369,19,0.5737088075492505
48,692,29,374,12,0.5675626425242755
49,686,33,379,9,0.5735271960174305
50,683,22,384,17,0.5700932753954485
51,688,10,393,14,0.5691939422590235
52,686,13,395,11,0.5747974693115154
53,688,14,392,11,0.5737132510559119
54,695,14,385,10,0.5746162137854323
55,688,16,381,19,0.5787902374301662
56,701,11,379,12,0.5729839423132054
57,690,24,376,13,0.582444392725022
58,682,23,382,16,0.5738900630753335
59,685,16,389,11,0.569186997765033
60,698,16,378,9,0.5733464533653715
61,693,21,371,16,0.5808075233597391
62,695,19,371,16,0.5758928843074099
63,694,22,371,14,0.5773498079254595
64,696,18,372,15,0.576621110884375
65,696,21,373,11,0.5782602322417268
66,695,22,372,12,0.5784414877678099
67,689,25,369,17,0.5775310634515426
68,702,24,362,12,0.5729859923915572
69,687,27,365,20,0.5812026640933508
70,684,23,379,11,0.5711721016448111
71,687,16,380,13,0.5722587633405855
72,686,17,380,12,0.5749838713824209
73,683,13,383,16,0.5746213603302547
74,693,7,382,13,0.5729846569056424
75,694,12,375,14,0.5800880708859415
76,685,17,374,19,0.5795503508141661
77,692,16,372,13,0.5728065376658797
78,683,18,375,17,0.5782815621315842
79,687,14,376,15,0.5722627710876305
80,687,16,379,10,0.5757226548765633
81,682,14,381,15,0.5762664214548125
82,685,11,384,12,0.5729877931919629
83,686,17,381,8,0.5757148332539594
84,679,13,387,12,0.5758997637167945
85,688,9,382,11,0.5722596348013098
86,687,18,375,10,0.5782755156251104
87,686,12,376,16,0.5762761352076612
88,689,9,379,13,0.575727274595303
89,691,9,373,17,0.5784628176576674
90,687,14,376,12,0.5788388574601928
91,693,7,373,16,0.5768254714164455
92,677,18,381,12,0.58067531430136
93,684,9,382,13,0.5708109260785599
94,685,8,382,13,0.5760897856474692
95,686,12,378,12,0.5768199017859106
96,683,15,380,10,0.5768254714164455
97,685,14,378,11,0.5749976327722309
98,692,14,369,11,0.5760948796815781
99,685,16,370,14,0.5803311580872439
100,690,18,367,10,0.5757505094266799
101,683,19,366,17,0.5788716935702058
102,695,16,361,12,0.5735628719469495
103,694,23,353,13,0.5818356346079856
104,694,27,349,12,0.5800230793471545
105,687,25,358,12,0.5796729296876827
106,687,15,367,13,0.5761528606789592
107,698,16,354,13,0.5777841604137073
108,687,25,353,15,0.5839110568002724
109,692,20,355,13,0.5759909328108556
110,683,23,355,19,0.5800354407398489
111,684,18,362,15,0.5734166432419201
112,687,15,365,12,0.575790349626793
113,684,15,370,9,0.5785389058266556
114,680,13,373,11,0.5776123251959971
115,684,12,372,9,0.5755917095549175
116,688,12,362,15,0.578347254649936
117,682,14,370,11,0.5794793127689052
118,691,17,361,8,0.5765153717311255
119,685,19,357,16,0.5815116926349929
120,691,15,358,11,0.5763638395136582
121,694,15,351,15,0.5817211439640219
122,693,23,347,11,0.582673464526472
123,686,28,343,17,0.5815859313699734
124,684,30,350,9,0.5756853081138542
125,678,27,355,13,0.5758542022472429
126,691,18,350,14,0.5723464946312138
127,696,22,341,13,0.5810263156205395
128,679,25,351,16,0.5834853038231622
129,685,18,358,10,0.5731012400441622
130,685,15,358,13,0.5787928597437463
131,681,18,361,10,0.5787928597437463
132,688,14,352,16,0.5767604798776584
133,681,16,357,16,0.5803012935162071
134,688,11,356,14,0.5760354577733261
135,684,18,359,8,0.5814046758438903
136,689,16,350,14,0.5789879640400869
137,683,21,349,14,0.5810585171110212
138,688,14,354,10,0.5771897558119442
139,688,12,351,15,0.5821802691838307
140,679,15,359,12,0.5816365026055813
141,678,11,362,14,0.5767990489568321
142,682,13,364,6,0.5766044416906094
143,680,15,358,12,0.579923435226444
144,684,15,359,7,0.5773566643053389
145,687,15,349,14,0.5804983982134747
146,688,14,353,10,0.580911480501249
147,684,16,351,14,0.5823793937106784
148,680,17,355,13,0.5790483540048098
149,685,11,355,13,0.5768128977270895
150,679,11,359,14,0.5808941182619669
151,690,10,350,12,0.5775522668641103
152,687,13,349,13,0.58447019250082
153,684,11,350,17,0.5820541457137471
154,687,9,356,10,0.5800052028708333
155,689,13,349,11,0.583322934396329
156,684,18,349,11,0.583543494273166
157,686,20,344,12,0.5798239473447503
158,689,16,346,11,0.5804039598797494
159,695,17,336,13,0.5829997276949167
160,681,24,340,14,0.586053591036771
161,684,21,339,14,0.5771051144535037
162,687,19,338,13,0.5795359647732412
163,688,15,342,12,0.5819749989894142
164,690,15,338,14,0.5834470087603699
165,688,14,341,14,0.584217514970639
166,696,17,333,11,0.5832657532342869
167,691,16,332,18,0.5878103268288051
168,696,20,331,8,0.5838785247237734
169,700,19,317,19,0.5882266876189953
170,687,26,327,15,0.5887032454570436
