,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,4,2,7,10,0,199.7,126.68310858200473,7.111111111111111,1.3698697784375502,0.16708229426433915,0.12967581047381546,0.6425720524016463,10
1,4,2,7,10,1,180.11111111111111,124.94927365797018,6.5,1.3228756555322954,0.1172069825436409,0.20947630922693267,0.6381272563176894,9
2,4,2,7,10,2,208.45454545454547,122.37228120212342,7.4,1.8,0.17206982543640897,0.2144638403990025,0.6349081364829396,11
3,4,2,7,10,3,206.83333333333334,124.5544280848961,6.7272727272727275,1.2856486930664501,0.18703241895261846,0.1745635910224439,0.6347150489759572,12
4,4,2,7,10,4,200.58333333333334,113.06226775051385,6.363636363636363,0.77138921583987,0.1770573566084788,0.16458852867830423,0.6368237347294938,12
5,5,5,2,10,5,167.69565217391303,119.00180297596835,7.318181818181818,1.7158714625615339,0.36159600997506236,0.0024937655860349127,0.6525958111763795,23
6,5,5,2,10,6,158.1818181818182,102.64441549864196,9.666666666666666,5.583422174133278,0.38154613466334164,0.0024937655860349127,0.6605111844600704,22
7,5,5,2,10,7,177.5,97.60080259232844,8.470588235294118,2.9128043301505757,0.34413965087281795,0.012468827930174564,0.6721842105263157,18
8,5,5,2,10,8,165.77272727272728,108.18751894834425,9.619047619047619,3.3018925377828032,0.4014962593516209,0.0024937655860349127,0.6736996497371948,22
9,5,5,2,10,9,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
10,1,7,2,2,10,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
11,1,7,2,2,11,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
12,1,7,2,2,12,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
13,1,7,2,2,13,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
14,1,7,2,2,14,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
15,2,7,2,2,15,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
16,2,7,2,2,16,165.77272727272728,108.18751894834425,9.619047619047619,3.3018925377828032,0.4014962593516209,0.0024937655860349127,0.6736996497371948,22
17,2,7,2,2,17,165.77272727272728,108.18751894834425,9.619047619047619,3.3018925377828032,0.4014962593516209,0.0024937655860349127,0.6736996497371948,22
18,2,7,2,2,18,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
19,2,7,2,2,19,183.43333333333334,117.01073549987721,7.862068965517241,2.8973726258758625,0.5236907730673317,0.004987531172069825,0.6488331537743346,30
20,1,9,2,2,20,167.69565217391303,119.00180297596835,7.318181818181818,1.7158714625615339,0.36159600997506236,0.0024937655860349127,0.6525958111763795,23
21,1,9,2,2,21,158.1818181818182,102.64441549864196,9.666666666666666,5.583422174133278,0.38154613466334164,0.0024937655860349127,0.6605111844600704,22
