,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1144,0,0,0,0.82
1,784,322,0,38,0.82
2,568,502,48,24,0.5581126976352493
3,544,489,86,20,0.4164380864204589
4,564,436,119,20,0.40835309217509813
5,582,390,146,20,0.4274250050358155
6,604,340,174,19,0.4445091998274772
7,619,295,198,25,0.46457039417931884
8,621,270,224,22,0.47900626195589746
9,633,239,242,20,0.4850223237158899
10,636,212,264,20,0.49739349116011233
11,640,185,293,13,0.5040434221178526
12,645,161,315,9,0.5123150770545922
13,660,138,322,10,0.5200310612221196
14,669,123,325,12,0.5316745552473864
15,680,106,333,10,0.5388281242110866
16,699,88,331,10,0.5479797697159572
17,722,65,332,8,0.5614251992165249
18,721,64,332,9,0.57847294382875
19,747,48,321,8,0.5781145522203583
20,762,51,304,6,0.5958666111060302
21,774,60,281,8,0.6043167091129473
22,767,69,281,6,0.6091731697203201
23,752,87,271,13,0.6039268559691342
24,739,98,276,10,0.5909787027371469
25,749,98,267,8,0.5822985526061737
26,726,120,259,17,0.5884247495677987
27,721,136,249,13,0.5701283872528281
28,719,129,252,18,0.5658071106421755
29,701,143,261,12,0.5652599502220444
30,698,132,266,19,0.5542380098630333
31,698,123,275,17,0.5536992195576101
32,698,121,273,21,0.5560316252677732
33,686,131,281,15,0.5556732336593815
34,694,110,281,26,0.5485152338597477
35,711,97,285,13,0.5549535901869806
36,726,81,283,16,0.5697810023757706
37,715,100,280,11,0.5803977690721952
38,719,94,282,11,0.5718009985200944
39,720,93,283,7,0.5750831274514409
40,718,93,283,8,0.5771187238604344
41,701,107,277,17,0.5760266994593205
42,712,99,280,11,0.5625542923461634
43,710,99,284,9,0.5710976357305618
44,723,87,280,11,0.5703544967988045
45,722,89,274,15,0.5795399587174691
46,727,80,274,19,0.5781063922839028
47,729,81,277,12,0.581794504812554
48,736,74,277,11,0.5841926296680515
49,736,73,274,13,0.589773861430676
50,765,54,270,7,0.5900095507821024
51,786,41,256,12,0.6111357450052907
52,788,48,248,11,0.6251419477921426
53,783,61,244,6,0.6252554473892522
54,771,68,237,18,0.6210883305136551
55,766,81,237,9,0.6106106831894059
56,751,96,235,10,0.6071953475186062
57,731,101,240,19,0.595847596953087
58,719,126,235,8,0.582124935397487
59,699,131,243,13,0.5734647580386417
60,669,151,247,18,0.5609266589199723
61,680,126,262,17,0.5402607371357605
62,689,111,269,15,0.550876789982596
63,715,85,277,6,0.5590292541240224
64,723,80,270,10,0.579940193815685
65,736,72,265,10,0.5846336766562282
66,745,68,260,10,0.5934740722796253
67,748,77,246,12,0.5993711287473773
68,735,92,242,13,0.5991363902009286
69,717,108,246,11,0.5889941771747302
70,724,93,245,20,0.5762533142205118
71,725,87,258,11,0.581287527718962
72,730,83,260,8,0.5847529049201833
73,730,88,255,6,0.5888560287681917
74,723,96,245,13,0.5887448480419983
75,727,91,245,14,0.5824861095714955
76,726,82,253,16,0.5854850516722316
77,718,84,264,10,0.5861680917052546
78,739,64,265,5,0.5825418983483326
79,751,66,247,8,0.5997162742368897
80,753,71,239,9,0.6060497703161264
81,728,94,238,10,0.6061501334232751
82,717,98,241,12,0.5877452546157291
83,704,108,245,10,0.5807922175793804
84,717,92,242,16,0.5721852025401791
85,710,97,248,10,0.5813635481757281
86,717,89,250,7,0.5779745772975367
87,734,71,250,8,0.5843709493685298
88,744,60,250,8,0.5972479389287635
89,765,40,244,11,0.60530515601301
90,764,47,247,2,0.6213232431532398
91,776,38,236,10,0.6210804777703479
92,776,49,231,3,0.6285091739712982
93,766,63,219,11,0.6280416070399417
94,750,79,221,9,0.6180472883700547
95,731,98,213,17,0.6059679967431916
96,720,106,221,11,0.5899464588087031
97,726,99,219,12,0.5834227021739505
98,727,99,214,16,0.5884223398540067
99,708,115,215,17,0.5882881487189734
100,704,109,226,16,0.5744793170348701
101,712,98,235,10,0.5734451896073526
102,716,86,239,14,0.5810770138512
103,710,87,246,11,0.5848161277185896
104,701,98,246,9,0.5819355312533196
105,699,90,255,10,0.5751712439219462
106,696,93,248,16,0.5752866402345996
107,709,75,253,14,0.5721786089887155
108,740,56,247,6,0.5836237511192255
109,758,44,244,2,0.6070431715683664
110,782,34,226,6,0.620932428332431
111,791,36,217,4,0.6366588496591188
112,793,49,199,7,0.642228516176659
113,769,71,194,14,0.6406043551055433
114,723,115,200,9,0.6206215608743577
115,701,122,205,19,0.5863709792485897
116,672,144,220,11,0.5705728724454531
117,679,126,226,14,0.5516464212721598
118,701,108,222,12,0.5586662016250389
119,684,111,236,11,0.5752015483220226
120,684,100,245,12,0.5653391011455354
121,692,83,248,16,0.5673403222754287
122,707,73,244,15,0.5746585128390659
123,726,54,251,8,0.5852876293894929
124,725,61,245,8,0.6010884771394838
125,732,52,246,7,0.5992427809684314
126,744,45,245,3,0.6056595974991348
127,750,38,244,5,0.6148217638945301
128,763,37,233,4,0.6193425181353255
129,774,41,219,3,0.6276203148360825
130,782,34,213,8,0.633851930205797
131,785,44,201,7,0.6391707886719767
132,773,52,203,9,0.6394259590087625
133,789,58,184,6,0.6301877172530207
134,751,91,182,13,0.6395933166891405
135,720,116,189,9,0.6090175828616201
136,708,119,191,16,0.5874158578915083
137,692,127,201,14,0.5785706544584321
138,686,118,210,19,0.5682129119583863
139,686,111,226,9,0.5656987226292757
140,708,89,224,10,0.5689601102076908
141,696,92,225,17,0.5857024664061892
142,698,84,232,14,0.5771376029082184
143,739,40,241,7,0.5807169202735871
144,755,25,241,4,0.6144363453988886
145,784,11,226,4,0.6279244198195498
146,793,13,218,1,0.648459422945704
147,797,16,203,9,0.6543067394918238
148,805,15,202,3,0.6548641074953823
149,806,21,194,4,0.6611904737883934
150,818,15,190,2,0.6605713510451858
151,835,4,184,2,0.6696445746710622
152,845,6,171,2,0.6824636550149802
153,855,11,154,4,0.6887532104652675
154,868,9,141,3,0.6938358164353655
155,841,35,138,7,0.7033149539890715
156,836,49,127,8,0.6809496143944233
157,773,104,127,15,0.6753575039713338
158,716,151,133,15,0.6245375872258598
159,665,184,149,17,0.5821867356609385
160,669,158,165,18,0.5460619747491546
161,671,148,173,18,0.5539157787712689
162,669,135,190,16,0.5568615822640441
163,681,116,200,10,0.558395673876164
164,689,99,212,6,0.5705068432696211
165,698,84,207,16,0.5791941172088619
166,701,72,221,9,0.5856531746619794
167,721,48,222,10,0.5913223708060793
168,728,40,223,9,0.6080057203338043
169,743,34,218,4,0.6141524622027493
170,768,18,207,6,0.6256469708161486
171,776,18,204,1,0.6438282225513386
172,792,9,193,4,0.6497889343171535
173,796,14,185,3,0.661322501914798
174,799,18,172,9,0.6631576091926723
175,802,23,168,5,0.6632802897972702
176,787,44,160,6,0.665015952402821
177,774,62,154,7,0.6517837974382645
178,744,82,156,15,0.64011236089058
179,721,98,165,12,0.6162241850710597
180,699,116,164,15,0.5999494197887608
181,687,121,170,15,0.5833337326637293
182,694,107,176,14,0.5754965845744582
183,685,112,184,10,0.5828487448926932
184,686,94,186,24,0.5772885426164163
185,708,69,202,9,0.5788388915350118
186,712,58,205,13,0.5997627133407972
187,718,54,205,10,0.6034591125716151
188,714,50,211,12,0.6086485738990653
189,732,33,213,6,0.606550467156176
190,749,20,208,5,0.6225815534143571
191,761,19,199,3,0.6362934732158573
192,777,10,190,5,0.6444278614193149
193,766,34,178,4,0.6558676762378259
194,755,47,172,8,0.6447381678695927
195,741,60,163,18,0.6347103471687352
196,731,75,169,7,0.6217592481205292
197,707,88,176,11,0.6147829065280744
198,712,75,187,8,0.5969030911174321
199,712,69,187,13,0.6028370072321372
200,720,52,200,8,0.6032726997731913
201,733,40,200,7,0.6124130577574978
202,747,32,198,3,0.6228366519055488
203,757,33,184,6,0.633784731957116
204,766,34,174,5,0.6393955776737968
205,772,38,161,8,0.6453929885667953
206,764,53,154,8,0.6479618823633699
207,731,90,147,11,0.6401776784029745
208,720,95,152,10,0.6121763586471826
209,691,106,167,12,0.6051349847081275
210,713,73,174,13,0.5852534965034965
211,729,62,174,8,0.6052452255896656
212,723,68,169,12,0.6180849670732127
213,722,71,171,6,0.6128058377661523
214,719,67,167,15,0.6132515334723573
215,716,66,175,9,0.6110138797241943
216,722,54,179,11,0.6109270166608306
217,724,49,187,6,0.6164722048354504
218,746,36,181,3,0.6195186350013824
219,763,26,173,4,0.6362822570051766
220,756,36,169,5,0.6487214310883744
221,756,43,161,6,0.6422864198158869
222,755,41,161,8,0.6408528533823205
223,757,46,153,8,0.6404944617739289
224,760,40,156,8,0.6411524418039294
225,758,40,161,4,0.6441410996098057
226,758,39,157,8,0.6438615573567071
