,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1148,0,0,0,0.82
1,784,327,0,37,0.82
2,524,574,41,6,0.5560787310128263
3,483,578,65,19,0.3854393687526434
4,491,560,85,8,0.3633977526397774
5,530,486,105,23,0.3723586553388386
6,545,464,130,5,0.40104520955374284
7,565,407,158,12,0.41526742505910413
8,574,388,175,5,0.4339714257718176
9,594,335,193,16,0.4429438508201986
10,596,327,207,8,0.460675930303352
11,603,288,223,23,0.4645126318579077
12,603,284,243,6,0.4723719268743579
13,608,250,258,20,0.4762575455696195
14,610,241,279,6,0.48229758813406437
15,611,213,291,21,0.4873944381823343
16,617,202,307,9,0.4902112090082275
17,617,178,320,19,0.4974378215599315
18,618,175,333,6,0.5000786666525043
19,627,138,347,19,0.5037175039742766
20,626,132,366,6,0.5126548388560437
21,642,95,377,16,0.5156905531417579
22,655,88,380,6,0.5285990854646024
23,657,70,386,14,0.5384307537111134
24,657,69,394,7,0.5415595673391279
25,664,53,398,12,0.5429881387676995
26,676,43,400,7,0.5485678118089461
27,700,15,404,6,0.5576552888118069
28,736,4,381,3,0.5756860642549796
29,738,9,373,4,0.5978913569843429
30,729,20,361,14,0.5979228295226818
31,744,18,355,6,0.5892250501554067
32,763,10,342,8,0.599477025288917
33,753,25,336,9,0.6111918737788274
34,744,44,328,7,0.6027101045258331
35,710,71,326,15,0.5946555967174884
36,704,79,328,11,0.5699843111362097
37,691,87,326,18,0.5660405006558025
38,677,100,332,13,0.5564199238805518
39,675,100,335,12,0.54759740944865
40,673,99,331,17,0.5467264603160378
41,680,89,337,13,0.5452978888874664
42,683,81,341,13,0.5516488854121898
43,685,77,346,10,0.5548345387005411
44,673,78,353,14,0.5571442241676929
45,680,69,357,11,0.5499188380200786
46,698,49,359,11,0.5559194290602794
47,719,29,358,11,0.5690752595274496
48,747,3,357,7,0.5840130199428895
49,766,2,344,2,0.605463550965619
50,782,2,328,2,0.6172954610101816
51,785,9,316,4,0.6265043483035204
52,762,36,303,13,0.6266391440546215
53,758,47,296,13,0.6069787517476095
54,734,60,306,14,0.6027418606915326
55,728,60,309,17,0.5867790250174267
56,722,60,317,15,0.5829228295226818
57,723,48,327,15,0.5799771024251261
58,721,50,331,9,0.5828618320214715
59,719,47,337,8,0.5828618320214715
60,715,51,332,13,0.5824771024251262
61,709,57,335,9,0.5786777058901644
62,699,62,339,10,0.5752338366344705
63,687,74,336,12,0.5687384468942611
64,679,74,343,13,0.5599679419345748
65,678,74,346,10,0.5555227107308036
66,683,67,346,12,0.555701282159375
67,686,52,359,11,0.5592574928264082
68,696,42,361,8,0.5637179419345748
69,722,19,359,7,0.571595589751404
70,740,12,348,7,0.590082156178824
71,763,8,333,2,0.6013564081084761
72,778,6,320,2,0.6162300123852494
73,793,1,308,4,0.6252565837999519
74,801,2,298,3,0.6345832127653348
75,783,21,289,11,0.6397974560526897
76,764,33,290,16,0.6243438143464272
77,739,59,293,12,0.6104943595910661
78,707,87,293,16,0.5923287310128263
79,676,115,297,15,0.5688562773187359
80,668,105,310,17,0.5472979769120525
81,671,98,321,9,0.544996143056081
82,680,84,318,17,0.5494438788699806
83,674,88,327,10,0.5553252595274496
84,669,81,332,17,0.5526503499692653
85,678,62,347,12,0.5499869964450893
86,699,40,354,6,0.5590746956864654
87,707,27,356,9,0.5754216627831379
88,731,14,352,2,0.581584245282269
89,747,11,338,3,0.5984737982053489
90,762,3,333,1,0.6078716088904668
91,772,5,321,1,0.6182547365104905
92,790,3,303,2,0.6236959924989677
93,808,0,289,1,0.634683542412026
