,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,3,3,4,4,0,307.1,172.01363318062903,6.555555555555555,0.8314794192830981,0.1546134663341646,0.5012468827930174,0.6261049011177988,10
1,5,3,4,4,1,270.77777777777777,140.29395946272382,6.25,0.6614378277661477,0.1396508728179551,0.3640897755610973,0.6377379912663755,9
2,3,1,4,4,2,270.77777777777777,140.29395946272382,6.25,0.6614378277661477,0.1396508728179551,0.3640897755610973,0.6377379912663755,9
3,3,3,6,4,3,270.77777777777777,140.29395946272382,6.25,0.6614378277661477,0.1396508728179551,0.3640897755610973,0.6377379912663755,9
4,3,3,4,42,4,270.77777777777777,140.29395946272382,6.25,0.6614378277661477,0.1396508728179551,0.3640897755610973,0.6377379912663755,9
5,5,1,6,42,5,285.0,191.0200687536958,7.0,1.0,0.04488778054862843,0.0024937655860349127,0.5824000361481351,3
6,6,7,9,28,6,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
7,2,7,9,28,7,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
8,6,6,9,28,8,312.0,117.89486842097921,45.0,17.378147196982766,0.1172069825436409,0.5810473815461347,0.7563548172360596,5
9,6,7,1,28,9,156.25,63.07359518127145,9.13953488372093,3.3451206767180137,0.9975062344139651,0.0024937655860349127,0.6155265168299694,44
10,6,7,9,18,10,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
11,2,6,1,18,11,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
12,5,1,2,16,12,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
13,1,1,2,16,13,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
14,5,8,2,16,14,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
15,5,1,8,16,15,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
16,5,1,2,6,16,312.0,117.89486842097921,45.0,17.378147196982766,0.1172069825436409,0.5810473815461347,0.7563548172360596,5
17,1,8,8,6,17,312.0,117.89486842097921,45.0,17.378147196982766,0.1172069825436409,0.5810473815461347,0.7563548172360596,5
18,2,5,6,40,18,156.25,63.07359518127145,9.13953488372093,3.3451206767180137,0.9975062344139651,0.0024937655860349127,0.6155265168299694,44
19,4,5,6,40,19,156.25,63.07359518127145,9.13953488372093,3.3451206767180137,0.9975062344139651,0.0024937655860349127,0.6155265168299694,44
20,2,3,6,40,20,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
21,2,5,3,40,21,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
22,2,5,6,30,22,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
23,4,3,3,30,23,312.0,117.89486842097921,45.0,17.378147196982766,0.1172069825436409,0.5810473815461347,0.7563548172360596,5
24,2,5,2,25,24,156.25,63.07359518127145,9.13953488372093,3.3451206767180137,0.9975062344139651,0.0024937655860349127,0.6155265168299694,44
25,2,5,2,25,25,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
26,2,4,2,25,26,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
27,2,5,5,25,27,156.25,63.07359518127145,9.13953488372093,3.3451206767180137,0.9975062344139651,0.0024937655860349127,0.6155265168299694,44
28,2,5,2,39,28,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
29,2,4,5,39,29,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
30,5,9,7,1,30,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
31,5,9,7,1,31,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
32,5,9,7,1,32,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
33,5,9,1,1,33,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
34,5,9,7,15,34,353.25,47.383409543847726,118.0,35.6931365951495,0.10473815461346633,0.7331670822942643,0.7849867256636999,4
35,5,9,1,15,35,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
36,6,2,5,37,36,431.0,99.0,6.0,0.0,0.04987531172069826,0.0024937655860349127,0.5804625928527176,2
37,6,2,5,37,37,327.0,239.0,12.0,0.0,0.0399002493765586,0.0024937655860349127,0.585798615742825,2
38,6,6,5,37,38,248.3,74.75968164726225,42.77777777777778,5.028314888437671,0.1970074812967581,0.3341645885286783,0.6641562110798027,10
39,6,2,7,37,39,303.6666666666667,185.96833661196794,6.0,0.0,0.03740648379052369,0.012468827930174564,0.590637399856136,3
40,6,2,5,2,40,265.0,134.35400998853737,6.0,0.0,0.08478802992518704,0.7855361596009975,0.6394561403508772,6
41,6,6,7,2,41,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
42,3,7,9,13,42,265.0,134.35400998853737,6.0,0.0,0.08478802992518704,0.7855361596009975,0.6394561403508772,6
43,3,7,9,13,43,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
44,3,2,9,13,44,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
45,3,7,3,13,45,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
46,3,7,9,27,46,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
47,3,2,3,27,47,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
48,3,1,6,19,48,370.5,86.5,366.0,0.0,0.06234413965087282,0.7481296758104738,0.7812859712230216,2
49,3,1,6,19,49,352.25,104.88416229345592,6.333333333333333,1.247219128924647,0.07481296758104738,0.6458852867830424,0.6534375,4
50,3,3,6,19,50,431.0,99.0,6.0,0.0,0.04987531172069826,0.0024937655860349127,0.5804625928527176,2
51,3,1,8,19,51,327.0,239.0,12.0,0.0,0.0399002493765586,0.0024937655860349127,0.585798615742825,2
52,3,1,6,9,52,248.3,74.75968164726225,42.77777777777778,5.028314888437671,0.1970074812967581,0.3341645885286783,0.6641562110798027,10
53,3,3,8,9,53,303.6666666666667,185.96833661196794,6.0,0.0,0.03740648379052369,0.012468827930174564,0.590637399856136,3
54,6,6,1,43,54,133.3913043478261,56.69156760426643,8.777777777777779,4.215784565910933,0.9975062344139651,0.0024937655860349127,0.5722923871350598,46
55,6,6,1,43,55,119.67307692307692,54.73879272503262,7.745098039215686,3.859508945981833,0.9775561097256857,0.0024937655860349127,0.5734940711437957,52
