,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1122,0,0,0,0.82
1,745,335,0,42,0.82
2,554,514,44,8,0.82
3,559,470,66,25,0.82
4,542,477,92,8,0.82
5,576,404,121,17,0.82
6,568,406,137,7,0.82
7,597,342,156,22,0.82
8,585,343,182,6,0.82
9,610,282,203,20,0.82
10,599,289,222,5,0.82
11,616,241,239,18,0.82
12,612,242,255,5,0.82
13,620,202,267,25,0.82
14,620,201,288,5,0.82
15,625,163,308,18,0.82
16,627,162,320,4,0.82
17,627,129,334,21,0.82
18,627,126,350,6,0.82
19,642,84,363,20,0.82
20,661,72,370,5,0.82
21,685,31,372,19,0.82
22,717,10,376,2,0.82
23,737,2,358,7,0.82
24,751,0,352,1,0.82
25,768,0,336,0,0.82
26,784,0,319,1,0.82
27,807,0,295,2,0.82
28,825,2,276,1,0.82
29,840,0,260,4,0.82
30,850,0,253,1,0.82
31,871,0,233,0,0.82
32,888,0,212,4,0.82
33,910,0,194,0,0.82
34,932,0,172,0,0.82
35,901,33,154,16,0.82
36,697,219,160,27,0.82
37,640,278,174,11,0.82
38,642,251,192,18,0.82
39,635,256,201,10,0.82
40,639,223,223,17,0.82
41,653,217,223,9,0.82
42,646,203,232,19,0.82
43,640,203,245,10,0.82
44,642,176,258,20,0.82
45,644,170,268,13,0.82
46,654,144,279,18,0.82
47,644,148,291,9,0.82
48,645,124,303,16,0.82
49,653,115,312,7,0.82
50,658,91,325,13,0.82
51,663,80,334,9,0.82
52,690,31,349,15,0.82
53,701,25,353,6,0.82
54,715,10,353,6,0.82
55,737,2,341,4,0.82
56,751,2,330,1,0.82
57,774,0,308,2,0.82
58,786,0,297,1,0.82
59,799,0,284,1,0.82
60,820,0,263,1,0.82
61,841,1,240,2,0.82
62,857,0,227,0,0.82
63,874,0,209,1,0.82
64,884,6,192,2,0.82
65,898,2,180,4,0.82
66,902,8,169,4,0.82
67,877,34,159,13,0.82
68,770,128,156,27,0.82
69,643,243,177,16,0.82
70,639,225,204,11,0.82
71,646,209,212,11,0.82
72,644,198,223,12,0.82
73,647,188,233,7,0.82
74,647,173,236,19,0.82
75,651,161,248,14,0.82
76,653,145,260,15,0.82
77,666,130,261,15,0.82
78,655,120,275,19,0.82
79,669,97,288,13,0.82
80,665,83,305,12,0.82
81,684,63,306,12,0.82
82,718,23,306,17,0.82
83,725,11,322,5,0.82
84,736,5,316,6,0.82
85,758,1,303,1,0.82
86,770,0,293,0,0.82
87,792,0,270,1,0.82
88,802,3,254,4,0.82
89,814,0,247,1,0.82
90,839,0,223,0,0.82
91,846,2,208,6,0.82
92,857,0,203,2,0.82
93,873,1,188,0,0.82
94,884,6,172,0,0.82
95,904,1,155,1,0.82
96,907,2,144,8,0.82
97,912,2,144,3,0.82
98,920,2,135,4,0.82
99,935,1,124,0,0.82
100,953,3,104,0,0.82
101,963,0,95,2,0.82
102,973,1,84,2,0.82
103,981,0,78,1,0.82
104,987,0,72,1,0.82
105,957,32,63,8,0.82
106,718,232,74,36,0.82
107,632,316,103,6,0.82
108,628,281,120,27,0.82
109,637,272,142,5,0.82
110,631,242,158,25,0.82
111,633,238,183,1,0.82
112,628,200,206,21,0.82
113,645,187,218,4,0.82
114,640,157,225,31,0.82
115,645,156,246,5,0.82
116,642,123,259,28,0.82
117,650,120,276,5,0.82
118,651,83,292,25,0.82
119,670,67,311,3,0.82
120,688,27,315,21,0.82
121,700,22,324,5,0.82
122,711,4,332,3,0.82
123,730,4,313,3,0.82
124,745,3,297,5,0.82
125,761,0,287,1,0.82
126,771,0,277,1,0.82
127,788,0,260,1,0.82
128,803,0,245,1,0.82
129,823,1,223,2,0.82
130,832,2,207,8,0.82
131,852,0,195,2,0.82
132,867,1,178,3,0.82
133,873,0,172,4,0.82
134,884,2,163,0,0.82
135,897,0,151,1,0.82
136,917,1,130,1,0.82
137,930,2,116,1,0.82
138,945,0,104,0,0.82
139,956,0,91,2,0.82
140,961,1,84,3,0.82
141,941,12,77,19,0.82
142,848,87,95,19,0.82
143,662,249,116,22,0.82
144,636,260,137,14,0.82
145,641,235,154,16,0.82
146,636,227,174,9,0.82
147,641,203,184,17,0.82
148,641,194,198,12,0.82
149,649,170,212,13,0.82
150,644,162,225,13,0.82
151,645,139,240,18,0.82
