,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1129,0,0,0,0.82
1,806,280,0,43,0.82
2,514,556,46,12,0.82
3,505,524,74,24,0.82
4,491,526,101,7,0.82
5,538,437,126,23,0.82
6,539,424,154,7,0.82
7,568,358,172,26,0.82
8,562,356,195,11,0.82
9,582,297,222,23,0.82
10,570,298,248,7,0.82
11,590,244,267,22,0.82
12,581,247,283,10,0.82
13,592,203,295,30,0.82
14,596,196,316,10,0.82
15,605,152,342,17,0.82
16,619,137,352,8,0.82
17,630,94,376,16,0.82
18,660,68,381,7,0.82
19,684,23,386,22,0.82
20,717,2,393,2,0.82
21,734,0,380,0,0.82
22,752,0,361,1,0.82
23,782,0,332,0,0.82
24,797,2,313,2,0.82
25,810,2,295,7,0.82
26,826,4,282,2,0.82
27,844,3,264,3,0.82
28,864,0,248,2,0.82
29,876,0,235,3,0.82
30,892,0,221,1,0.82
31,910,0,202,2,0.82
32,924,0,188,2,0.82
33,944,0,170,0,0.82
34,967,0,147,0,0.82
35,976,0,137,1,0.82
36,981,0,131,2,0.82
37,986,2,125,1,0.82
38,996,0,116,2,0.82
39,1010,0,103,1,0.82
40,1021,0,93,0,0.82
41,1002,23,81,8,0.82
42,809,189,78,37,0.82
43,589,398,115,11,0.82
44,587,373,130,21,0.82
45,595,358,149,9,0.82
46,590,337,164,19,0.82
47,597,324,178,10,0.82
48,593,298,199,19,0.82
49,604,279,215,9,0.82
50,599,255,226,27,0.82
51,609,237,250,11,0.82
52,609,207,270,20,0.82
53,609,194,294,7,0.82
54,615,161,309,19,0.82
55,629,142,324,9,0.82
56,629,112,343,20,0.82
57,642,92,355,14,0.82
58,655,56,377,14,0.82
59,673,32,389,8,0.82
60,690,13,391,8,0.82
61,712,0,389,1,0.82
62,724,0,376,2,0.82
63,740,0,362,0,0.82
64,758,0,344,0,0.82
65,774,1,326,1,0.82
66,796,0,306,0,0.82
67,808,0,293,1,0.82
68,826,0,276,0,0.82
69,852,1,249,0,0.82
70,872,1,227,2,0.82
71,885,2,212,3,0.82
72,902,0,200,0,0.82
73,921,0,180,1,0.82
74,936,0,166,0,0.82
75,955,0,147,0,0.82
76,964,2,133,3,0.82
77,983,0,117,2,0.82
78,968,13,109,12,0.82
79,943,29,105,24,0.82
80,740,215,123,23,0.82
81,593,348,144,15,0.82
82,599,328,155,17,0.82
83,586,325,173,15,0.82
84,595,296,188,17,0.82
85,588,283,208,16,0.82
86,608,246,224,17,0.82
87,603,234,244,14,0.82
88,615,211,251,17,0.82
89,603,201,271,18,0.82
90,621,176,282,14,0.82
91,608,168,301,13,0.82
92,626,138,315,10,0.82
93,643,115,316,15,0.82
94,648,92,331,17,0.82
95,663,66,344,15,0.82
96,670,52,349,16,0.82
97,694,20,361,11,0.82
98,721,3,357,5,0.82
99,731,1,354,0,0.82
100,749,0,337,0,0.82
101,768,1,317,0,0.82
102,783,0,301,2,0.82
103,799,0,287,0,0.82
104,810,0,275,1,0.82
105,832,1,252,1,0.82
106,850,0,236,0,0.82
107,864,1,220,1,0.82
108,873,1,209,3,0.82
109,891,1,194,0,0.82
110,903,1,180,2,0.82
111,925,0,157,4,0.82
112,935,0,149,2,0.82
113,949,0,135,1,0.82
114,961,2,121,1,0.82
115,971,0,113,1,0.82
116,984,0,97,3,0.82
117,999,0,85,0,0.82
118,1009,0,73,2,0.82
119,1017,1,65,1,0.82
120,1023,1,60,0,0.82
121,1022,0,52,10,0.82
122,1031,1,52,0,0.82
123,1040,0,42,2,0.82
124,1044,3,35,2,0.82
125,1048,1,33,2,0.82
126,1054,0,30,0,0.82
127,1054,0,30,0,0.82
128,1056,0,28,0,0.82
129,1055,2,25,2,0.82
130,1056,0,25,3,0.82
131,1058,0,25,1,0.82
132,1058,0,25,1,0.82
133,1059,0,25,0,0.82
134,1059,1,23,1,0.82
135,1059,0,23,2,0.82
136,1060,0,24,0,0.82
137,1061,0,23,0,0.82
138,1066,0,18,0,0.82
139,1063,2,16,3,0.82
140,1062,0,21,1,0.82
141,1063,0,21,0,0.82
142,1064,0,20,0,0.82
143,1064,2,18,0,0.82
144,1059,4,19,2,0.82
145,1038,10,22,14,0.82
146,1039,5,37,2,0.82
147,1040,0,39,4,0.82
148,1034,6,42,1,0.82
149,1025,7,44,7,0.82
150,1025,2,54,1,0.82
151,1024,0,52,6,0.82
