,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1125,0,0,0,0.82
1,838,238,0,49,0.82
2,540,517,56,11,0.6101641416168287
3,522,490,87,24,0.4053173164690174
4,551,445,115,11,0.399308382199843
5,561,389,142,30,0.42402875125022726
6,570,364,177,11,0.4356654123323051
7,582,309,206,25,0.4481132901323817
8,584,293,231,12,0.46152942779165007
9,604,239,253,23,0.46807662656231364
10,603,231,271,13,0.4860889018386457
11,619,180,294,23,0.48900445739420134
12,613,174,317,11,0.5049009817183076
13,627,130,336,22,0.5052622549203672
14,620,130,357,7,0.5184503559997982
15,635,80,371,27,0.5177356399751515
16,672,43,391,6,0.5310905647708857
17,699,7,391,14,0.5612965726765115
18,712,0,394,4,0.5811654662841566
19,724,0,386,0,0.5915995974377508
20,743,0,367,0,0.599004596496864
21,761,0,349,0,0.6097231232264559
22,779,0,330,1,0.6200514280776066
23,800,0,310,0,0.6303730615318601
24,809,2,297,2,0.6430379664426156
25,827,0,280,2,0.6477350390429293
26,846,0,262,1,0.6593398824023122
27,866,0,242,1,0.6713260444236556
28,881,2,225,1,0.6839521796884834
29,907,0,201,1,0.6931759922096663
30,922,1,183,3,0.7103344847100892
31,912,21,168,8,0.7195217790274814
32,901,32,157,18,0.7084764413278574
33,885,40,171,12,0.6977997348087855
34,808,91,180,29,0.6870978209119535
35,725,163,201,18,0.6264740872363691
36,647,214,219,26,0.5671702946936988
37,614,230,248,14,0.5142314847351804
38,618,203,262,21,0.4963487089075158
39,630,178,282,12,0.5023522860519362
40,637,153,289,22,0.5150769595987913
41,644,137,304,15,0.5216273398354867
42,649,116,316,17,0.5296610492148296
43,661,99,324,14,0.5360970063253832
44,668,76,340,14,0.5461367068096424
45,688,43,355,11,0.5540870658866449
46,725,9,353,10,0.5716922683828897
47,751,1,344,1,0.5986844915469487
48,760,1,334,2,0.6166875065073575
49,782,0,315,0,0.6217497148974486
50,793,0,303,1,0.6353055779102664
51,809,0,288,0,0.6417301784142688
52,820,0,276,1,0.6516444426441944
53,833,0,263,1,0.658236120146789
54,846,0,249,2,0.66632665103292
55,863,1,233,0,0.6743228738002476
56,873,0,223,1,0.6853208730518089
57,894,0,201,2,0.6917385552419671
58,906,0,189,2,0.7051303744906782
59,918,0,178,1,0.7129174050235796
60,933,1,161,2,0.7208795491706581
61,945,0,150,2,0.7301818694750015
62,960,0,136,1,0.7380021441709969
63,972,0,124,1,0.7475301592621338
64,988,0,108,1,0.754770895255046
65,998,1,98,0,0.7639678770603447
66,996,10,87,4,0.7693793941348418
67,1007,1,87,2,0.7659515930418261
68,1020,0,77,0,0.773624064037862
69,1035,1,61,0,0.7803501986580631
70,1038,0,56,2,0.7865970646705045
71,1052,0,43,1,0.7876523447263096
72,1057,0,37,2,0.7931779434675756
73,1057,0,38,1,0.7948413516028314
74,1060,0,36,0,0.7950235738250536
75,1064,0,32,0,0.7963056750499744
76,1060,1,31,4,0.7977673733720955
77,1064,0,32,0,0.7953945639388633
78,1064,0,32,0,0.7977673733720955
79,1045,7,31,13,0.7977673733720955
80,1053,0,41,2,0.7870863891593548
81,1052,0,42,2,0.7933664913116045
82,1053,0,43,0,0.7929957212453534
83,1056,0,39,1,0.793730935756049
84,1055,2,38,1,0.7946559137156577
85,1056,0,38,2,0.7939231631334269
86,1056,0,39,1,0.7944736914934355
87,1057,1,38,0,0.7946559137156577
88,1059,1,36,0,0.7950235738250536
89,1058,4,34,0,0.7957572711651427
90,1045,2,35,14,0.7948440013258702
91,1045,1,49,1,0.7878152780482438
92,1050,0,45,1,0.7903663891593549
93,1047,1,44,4,0.7924332761132186
94,1047,1,46,2,0.7905780504619062
95,1050,0,45,1,0.7909424949063507
96,1033,11,43,9,0.7924332761132186
97,1014,16,51,15,0.7823632385121844
98,1022,1,68,5,0.7720286416208922
99,1022,0,70,4,0.7802364131846448
100,1026,1,66,3,0.7806008576290893
101,1028,1,65,2,0.7823461570050374
102,1028,1,66,1,0.7833816044256713
103,1033,0,62,1,0.7835638266478935
104,1038,0,57,1,0.7858254607344066
105,1042,0,52,2,0.7878345669485317
106,1043,0,51,2,0.7892156501736238
107,1048,0,46,1,0.7896011340843729
108,1047,1,46,1,0.7916947338493066
109,1049,0,46,0,0.791137100801929
110,1052,1,42,0,0.7922510538909964
111,1052,0,41,2,0.7931842690893823
112,1052,1,39,2,0.79300204686716
113,1051,0,41,2,0.7928252372371306
114,1052,0,41,1,0.7926376024227156
115,1051,1,42,0,0.793189681681575
116,1054,0,40,0,0.7928198246449379
117,1058,1,34,1,0.7941092470489911
118,1060,0,31,3,0.795212341716641
119,1061,0,32,1,0.7957614674927481
120,1060,0,31,3,0.7964911880819163
121,1060,0,34,0,0.7957614674927481
122,1062,0,32,0,0.7963081341594148
123,1051,9,29,5,0.7970384844832065
124,1026,19,32,17,0.790450935756049
125,795,212,48,39,0.7766393822034491
126,582,403,95,14,0.5981070342564611
127,567,377,129,20,0.4502512397057499
128,584,344,153,8,0.4464737019404567
129,586,307,167,28,0.46382728020391556
130,588,284,205,9,0.4680889215870339
131,593,245,221,27,0.47705607643057313
132,601,220,245,18,0.48344421437072627
133,610,178,276,19,0.49406131277640775
134,615,153,303,12,0.5063560383993473
135,630,108,321,23,0.5147956619269267
136,645,80,344,12,0.5290410179772114
137,660,36,365,20,0.5443035426218789
138,688,8,381,4,0.5589523107947625
139,700,1,379,0,0.5823460387270678
140,710,2,366,2,0.5912539452413254
141,726,0,353,1,0.5963561627642875
142,738,0,341,1,0.6060495348890516
143,756,0,324,0,0.6129995420392079
144,775,0,304,1,0.6237552899463393
145,793,1,286,0,0.6349311718757081
146,808,2,268,2,0.6458796971723842
147,824,1,252,3,0.6545949125944033
148,836,0,242,2,0.6646072866398051
149,856,0,224,0,0.6725652364452572
