,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1142,0,0,0,0.82
1,652,422,0,68,0.82
2,507,566,68,0,0.82
3,566,441,100,32,0.82
4,540,470,128,1,0.82
5,583,361,164,28,0.82
6,567,381,185,0,0.82
7,603,286,209,31,0.82
8,594,299,233,1,0.82
9,636,198,259,33,0.82
10,656,188,281,0,0.82
11,644,143,298,40,0.82
12,647,151,327,0,0.82
13,651,95,341,38,0.82
14,661,97,366,0,0.82
15,669,43,377,33,0.82
16,658,63,396,4,0.82
17,658,16,413,33,0.82
18,667,25,420,6,0.82
19,667,7,418,26,0.82
20,661,15,429,13,0.82
21,665,5,429,18,0.82
22,668,13,424,11,0.82
23,671,6,415,22,0.82
24,664,16,414,19,0.82
25,661,12,421,17,0.82
26,674,7,417,11,0.82
27,681,11,407,9,0.82
28,684,12,387,25,0.82
29,682,19,388,19,0.82
30,676,17,394,21,0.82
31,679,18,388,21,0.82
32,686,14,384,20,0.82
33,690,14,380,17,0.82
34,679,14,385,22,0.82
35,677,10,391,22,0.82
36,682,10,389,17,0.82
37,693,7,381,16,0.82
38,680,15,380,21,0.82
39,673,19,385,18,0.82
40,675,14,395,10,0.82
41,675,8,393,18,0.82
42,680,13,386,14,0.82
43,682,6,380,25,0.82
44,690,10,371,21,0.82
45,680,14,375,22,0.82
46,681,13,380,16,0.82
47,680,11,375,21,0.82
48,680,13,379,13,0.82
49,679,13,379,13,0.82
50,690,9,370,14,0.82
51,678,13,365,25,0.82
52,679,12,371,19,0.82
53,676,13,372,20,0.82
54,680,6,378,16,0.82
55,678,9,374,18,0.82
56,679,9,371,20,0.82
57,674,9,375,20,0.82
58,671,10,379,18,0.82
59,679,11,377,11,0.82
60,682,10,370,16,0.82
61,678,10,364,25,0.82
62,686,8,365,17,0.82
63,683,8,366,17,0.82
64,692,17,353,10,0.82
65,669,17,356,29,0.82
66,662,16,380,12,0.82
67,676,9,376,9,0.82
68,692,6,356,15,0.82
69,682,15,349,22,0.82
70,676,13,358,21,0.82
71,682,16,356,12,0.82
72,686,14,347,19,0.82
73,683,14,349,18,0.82
