,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1101,0,0,0,0.82
1,640,393,0,68,0.82
2,501,529,65,2,0.4727381100338091
3,517,449,93,36,0.38951158216243853
4,522,446,124,1,0.4061632039592288
5,552,354,149,36,0.4159524511072091
6,562,348,175,2,0.4418149921110604
7,573,275,196,42,0.454870842187126
8,588,262,233,1,0.4667781855964322
9,594,198,259,32,0.4848650794440333
10,602,197,283,1,0.4942815171204027
11,605,134,307,37,0.5044271667259027
12,617,131,331,3,0.5110309776366574
13,621,76,346,39,0.5244201491660603
14,610,95,374,1,0.5300859756105576
15,604,44,395,36,0.5280996398788089
16,612,47,415,4,0.5280651486901142
17,616,9,429,23,0.5378537031841975
18,612,21,437,7,0.543678164529722
19,609,8,440,20,0.5422948085666053
20,608,9,446,14,0.5407029403178981
21,605,11,447,12,0.5411040886318507
22,614,8,433,18,0.5398298851104166
23,620,6,431,16,0.5443722839371817
24,624,9,429,11,0.5483264765912512
25,629,14,414,16,0.5508468228874992
26,627,13,416,14,0.5516793662505344
27,630,8,415,17,0.5516609659422714
28,632,9,406,21,0.5536564980746024
29,632,16,404,16,0.5541510454923132
30,639,12,402,14,0.5537786567548019
31,656,9,387,15,0.5588852880697583
32,651,13,379,24,0.568623568289663
33,660,10,377,20,0.5634344026910526
34,655,15,378,18,0.5697298678561966
35,660,14,371,21,0.5665754302333504
36,654,17,371,24,0.5689835735353631
37,649,18,374,24,0.564531201657656
38,647,15,381,20,0.5617586533722515
39,646,12,387,17,0.5623172364785186
40,649,16,380,16,0.5630620139535413
41,649,18,377,16,0.5643450072889004
42,653,9,379,19,0.5641549034395267
43,657,13,371,19,0.5674955354311285
44,645,15,375,25,0.5689819249483314
45,639,13,387,21,0.560821883113271
46,636,12,389,23,0.558629344419037
47,645,8,392,14,0.5567945503792634
48,643,10,387,19,0.5643542478422938
49,648,4,385,22,0.5619448477410072
50,640,10,390,18,0.5652720696520608
51,638,10,394,16,0.5606544888206118
52,636,9,393,18,0.5599245768175402
53,642,9,394,11,0.5589936049737618
54,643,7,383,22,0.5636094703672712
55,640,12,388,15,0.5626692579700991
56,642,13,377,22,0.5613804662195381
57,640,10,388,14,0.5611797030200537
58,645,12,383,11,0.5624830636013436
59,640,14,377,19,0.565632074897761
60,643,11,380,16,0.5611723597873912
61,652,8,376,14,0.5639578424247707
62,655,12,361,22,0.5699199062520807
63,640,16,373,21,0.569371444568353
64,647,8,375,18,0.5604275823123683
65,640,10,377,21,0.5667489257497215
66,642,12,379,15,0.561911702540061
67,653,13,362,19,0.5637701312102043
68,654,9,368,15,0.5691896183339774
69,640,14,370,22,0.5714341868677946
70,643,5,377,20,0.5613496044163804
71,647,10,369,18,0.5652584600254242
72,645,11,366,22,0.5671298687581007
73,641,19,365,17,0.56507646853762
74,652,9,365,15,0.5626526496370967
75,645,16,365,15,0.5712671170843315
76,652,7,365,15,0.5660160758884503
77,641,10,366,21,0.5720271740496629
78,644,8,367,17,0.5643369532267656
79,635,13,371,15,0.5675241051239254
80,632,12,367,22,0.5622835530062849
81,641,9,370,12,0.5596735397370058
82,633,8,366,24,0.5673437815075633
83,635,9,369,17,0.5609825765518083
84,641,7,367,14,0.5634132247681712
85,631,6,368,22,0.5679230042942788
86,638,5,368,15,0.5613612166695584
87,650,8,355,13,0.5669920324505003
88,650,14,348,14,0.5736374656633211
89,648,11,343,24,0.5723341050820314
90,641,15,353,17,0.569886961662235
91,637,15,357,17,0.5664586591675267
92,638,11,357,19,0.5641917310716159
93,639,6,356,24,0.5653241767744586
94,642,14,359,10,0.5658911626966645
95,634,6,360,23,0.5687123554562509
96,646,6,357,14,0.5636331479653489
97,652,6,346,18,0.5721343410058918
98,644,14,340,23,0.5750332978503507
99,633,17,349,22,0.5682242592620225
100,636,7,358,20,0.5615923957565857
101,643,9,351,15,0.5655276873237484
102,644,7,352,14,0.5706724496007756
103,641,9,350,16,0.5720055755908611
104,644,8,347,16,0.5697414777569971
105,642,3,352,16,0.5718512591339479
106,638,5,347,21,0.5720374535027035
107,645,7,342,17,0.5688402713220145
108,650,11,329,18,0.5732436257730654
109,638,14,334,21,0.5758345655480934
110,636,11,341,18,0.5679751783639306
111,641,11,337,15,0.5681441062063908
112,637,14,335,17,0.5720001056436137
113,650,12,325,13,0.568961155291685
114,644,10,322,23,0.5782743360965937
115,643,12,328,16,0.5734869400872998
116,641,13,328,16,0.5738344790403644
117,638,6,339,15,0.5726930127870604
118,643,9,328,18,0.572437204606482
119,635,13,331,19,0.5742317175623226
120,635,9,340,14,0.5686486070060115
121,631,8,338,19,0.5703243563248126
122,636,6,341,13,0.5676772025540116
123,637,6,337,16,0.5720648158689705
124,648,8,328,12,0.5720874739784719
125,646,4,326,20,0.5788898234148733
126,642,10,326,18,0.5769709755153041
127,639,5,329,23,0.5738847295544339
128,635,8,336,17,0.5721344296807933
129,644,5,330,16,0.5703669532890069
130,641,9,326,18,0.576570970447365
131,640,10,328,16,0.5739106824212151
132,636,11,329,18,0.5735123408169226
133,625,9,343,17,0.5706211232229345
134,631,5,345,11,0.5648098740950842
135,640,2,331,18,0.5705531476577625
136,638,9,326,18,0.5752676098660753
137,640,3,332,14,0.572793516208681
138,641,6,322,19,0.5762543711745102
139,642,8,320,17,0.5755676149269431
140,643,8,318,17,0.5763726543711669
141,642,5,319,19,0.577179943342328
142,640,12,316,16,0.5769937489735724
143,631,9,324,20,0.5752864621746385
144,635,4,325,18,0.5698144063085901
145,636,8,323,15,0.573891865608142
146,628,7,327,19,0.5742941046837882
147,629,2,334,16,0.5692558232023232
148,643,0,330,8,0.5713304674447398
149,636,8,319,17,0.5814423956446451
150,635,9,325,10,0.5743554903308601
151,642,2,319,16,0.5751002678058827
