,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1121,0,0,0,0.82
1,664,382,0,75,0.82
2,509,536,70,1,0.48151037200299146
3,541,431,108,36,0.3897580106096575
4,522,453,140,0,0.418036735054223
5,582,326,166,39,0.41149136823563176
6,580,331,202,0,0.45735139700306804
7,604,239,239,30,0.46256706867079594
8,615,233,264,0,0.48615944437290876
9,627,153,284,47,0.4983636041884397
10,632,155,322,1,0.5107317280538414
11,637,85,357,30,0.5215255116735913
12,640,94,373,0,0.5317844616136811
13,640,40,389,38,0.5375097819274662
14,645,46,412,4,0.5404357408926758
15,642,14,421,30,0.5481825655496919
16,644,19,432,12,0.5477027647092322
17,642,7,440,18,0.5511310624873684
18,642,11,443,10,0.5511773409804186
19,647,5,435,18,0.5520683639012216
20,648,12,428,15,0.5544969865607932
21,660,3,421,17,0.5546195480639013
22,646,10,419,25,0.5626168618422346
23,639,10,434,17,0.552588668600195
24,643,7,431,18,0.5503548993147468
25,644,15,424,15,0.5529933901497565
26,649,6,423,20,0.5527715410355205
27,653,7,424,14,0.5561559183718382
28,662,3,411,22,0.5592001246421351
29,666,9,407,16,0.5632857219116825
30,656,12,406,24,0.5654379243574815
31,663,14,405,15,0.5580588700111698
32,664,9,394,29,0.5632637116476158
33,667,15,395,19,0.5623290929569462
34,670,13,387,25,0.5646793610868207
35,674,13,388,20,0.5657467339001905
36,674,12,380,28,0.5688329080291894
37,665,18,394,17,0.5677311447215696
38,668,9,393,23,0.5637649989101926
39,659,19,400,15,0.5661124787708417
40,670,12,392,17,0.5608863699883828
41,671,12,380,28,0.568101418287887
42,670,20,377,22,0.5666339101096161
43,665,13,387,23,0.5660812210044495
44,666,17,387,17,0.5646372648010166
45,660,14,395,18,0.5657240766286541
46,656,11,397,22,0.5628348105504053
47,661,14,398,12,0.560664748768443
48,665,9,390,19,0.5648260286783143
49,673,12,379,19,0.5669919696031286
50,669,10,382,21,0.5708200371581236
51,671,17,375,13,0.5688095457769504
52,671,10,366,27,0.5711933603931397
53,657,16,378,22,0.5702853577016597
54,668,6,375,23,0.5625971839642335
55,660,11,382,18,0.5704648113478867
56,670,4,381,15,0.566248126358681
57,666,5,377,22,0.5737730720961393
58,669,8,374,19,0.5700990664772355
59,675,5,372,16,0.5717566143219021
60,673,15,359,21,0.5765637933188251
61,657,14,369,28,0.572707419192196
62,659,11,383,14,0.5627735500874946
63,659,11,381,14,0.5671642000674301
64,665,6,383,11,0.5675334477622144
65,660,12,374,18,0.5723100926135344
66,664,12,371,17,0.5673559799473514
67,673,8,362,21,0.569749878518976
68,661,14,361,28,0.5747530920782202
69,661,13,368,21,0.5657135468185197
70,652,14,372,22,0.5673632969389621
71,667,3,375,13,0.56259238918429
72,646,8,376,28,0.5749359645135459
73,656,5,385,10,0.5596650875979959
74,659,4,371,20,0.5693841336483247
75,656,8,371,19,0.5697814602269863
76,663,14,364,12,0.5675665826824914
77,661,7,362,23,0.5718368867170907
78,665,12,360,16,0.5699891502868384
79,662,9,361,21,0.5725893742379949
80,666,7,357,22,0.5705470260657315
81,656,11,368,16,0.5731609853519705
82,662,9,364,16,0.5681356083090559
83,663,9,356,23,0.5718471367475513
84,667,7,360,16,0.5711263947553901
85,655,11,360,24,0.5752108378648653
86,661,8,363,17,0.5663068839557999
87,662,8,350,29,0.571675012061367
88,659,19,358,11,0.5700404069004849
89,650,11,361,23,0.5700291601434365
90,644,14,373,14,0.5646610320378694
91,647,9,372,17,0.5624301201202963
92,651,6,371,17,0.5644577512819561
93,656,10,366,13,0.5672290270100667
94,657,6,362,20,0.5700184123942953
95,668,2,358,17,0.5700291601434365
96,662,7,353,23,0.5774954984238417
97,669,9,349,18,0.57210200646433
98,662,15,345,23,0.5765979561357473
99,654,13,362,16,0.5706390269817252
100,653,8,367,15,0.5678039395358474
101,659,10,358,14,0.5687280553165552
102,649,7,359,25,0.5722986399157916
103,640,9,374,15,0.5654265978766145
104,642,5,376,15,0.562263282058049
105,645,13,370,10,0.5641051237783717
106,655,7,361,14,0.5652257023286378
107,644,6,363,23,0.5713842777391637
108,649,7,364,16,0.5639543599210936
109,650,5,364,17,0.5678459376765778
110,665,10,348,12,0.5685891744688304
111,651,11,346,26,0.5772583334804716
112,658,11,350,14,0.5667987058398876
113,655,13,347,16,0.5731407139308659
114,654,11,344,21,0.5711117830759792
115,643,15,349,21,0.5701974208993512
116,652,9,353,14,0.5636638673424927
117,656,7,345,20,0.5711117830759792
118,655,3,352,17,0.5726471961979609
119,654,7,345,20,0.5735615583745889
120,656,7,349,14,0.5719157064566585
121,666,6,337,17,0.5741495020799364
122,671,4,334,16,0.5794980407349626
123,668,14,331,12,0.5831349984287695
124,659,10,331,25,0.5803083072655942
125,650,17,343,15,0.573502932550986
126,658,7,344,14,0.568934647918377
127,665,4,339,15,0.5759028169030398
128,661,11,332,18,0.5802815133672748
129,659,13,333,17,0.5763640181194649
130,657,9,333,23,0.5750351234777752
131,658,10,335,18,0.5735254752438069
132,660,7,338,16,0.5750351234777752
133,655,6,339,19,0.5770955078607672
134,655,6,340,16,0.5742800350800081
135,652,3,345,15,0.5752421242824379
136,644,6,343,22,0.574669378607124
137,653,10,345,6,0.5682776608061367
138,665,6,329,13,0.575815400813488
139,665,11,319,18,0.5824024443266378
140,659,11,319,24,0.5805737199733818
141,658,12,330,13,0.5760029734510711
142,658,6,331,18,0.5772546740496789
143,661,8,328,15,0.5774375464850044
144,662,4,324,22,0.5795660112424333
145,661,10,324,16,0.5795965826162752
146,653,8,322,27,0.579230837745624
147,656,7,333,14,0.5731762822878957
148,660,4,332,14,0.5774659529336759
149,662,6,321,21,0.5803280723575776
150,662,15,317,15,0.5798422302320794
151,660,11,315,23,0.5795086911688255
