,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1133,0,0,0,0.82
1,662,418,0,53,0.82
2,520,558,52,2,0.47511971082307974
3,570,457,79,25,0.38881545285798
4,532,494,103,1,0.4271229151798017
5,589,389,122,30,0.4065240993608903
6,561,420,148,1,0.44799186630241983
7,596,335,170,28,0.4338986472517192
8,589,345,192,2,0.46172970610400443
9,597,293,211,27,0.4612854200353977
10,596,297,233,0,0.4701430787955025
11,612,231,254,29,0.47407884501770053
12,608,247,268,2,0.48878600715829806
13,628,184,282,29,0.4889055709098869
14,622,198,301,2,0.5058327770216517
15,639,147,305,27,0.5051306654793386
16,640,162,315,0,0.519288875827012
17,644,126,318,28,0.5221310879862231
18,648,137,329,1,0.5258055484281527
19,644,102,343,24,0.5309371925124243
20,648,107,355,1,0.5313440851333495
21,654,65,360,31,0.5370036963717159
22,648,88,372,2,0.5424788171277312
23,655,55,374,25,0.5404211398752329
24,654,72,377,4,0.5460629250697299
25,649,48,382,27,0.5465890443230341
26,666,54,382,2,0.544306086331145
27,655,40,378,30,0.5570639717330633
28,663,45,386,8,0.5488639618865181
29,663,25,388,25,0.5563506178367501
30,660,43,386,10,0.5570639717330633
31,653,34,387,23,0.5552650044210395
32,656,36,392,13,0.5511618343464382
33,658,30,388,21,0.5542014527889387
34,669,25,388,14,0.5549031332824693
35,671,22,383,20,0.5631301712012475
36,665,30,384,17,0.5636631355325779
37,674,24,379,18,0.559536463195083
38,665,36,380,14,0.5654581763781956
39,681,25,376,12,0.5591676795845867
40,673,32,375,14,0.5703365742389546
41,668,32,374,20,0.5643725629624852
42,673,35,371,14,0.5605919293658596
43,677,24,376,13,0.5640082393288337
44,674,35,367,13,0.5688890896846739
45,668,33,364,23,0.5654502829145601
46,673,26,374,15,0.5609323346509871
47,667,29,374,18,0.5663549607609856
48,672,25,375,16,0.562020400561779
49,663,25,382,17,0.5658123284316537
50,670,19,383,13,0.5609448501188027
51,661,18,388,17,0.5668977674688408
52,677,14,378,13,0.5616647884409569
53,679,19,361,23,0.5721686379634685
54,674,23,365,17,0.5705505920921867
55,679,17,360,21,0.5687308621470519
56,663,30,367,15,0.5722132795629228
57,660,22,376,17,0.5625575526586671
58,664,20,379,11,0.5620125070981434
59,674,16,366,17,0.5658181999610989
60,666,23,366,15,0.5711198554044278
61,672,21,363,14,0.5663836500949527
62,662,28,362,17,0.5702229883007868
63,667,22,362,17,0.5631133743670319
64,671,24,361,11,0.567125089839517
65,671,21,361,14,0.5702400545503872
66,668,24,357,17,0.5702400545503872
67,669,32,356,9,0.5676898903307955
68,671,21,352,21,0.568240988948917
69,674,31,350,9,0.5693543777040566
