,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1115,0,0,0,0.82
1,691,353,0,71,0.82
2,547,494,69,3,0.5035548222040575
3,577,394,109,32,0.41606500099634586
4,578,393,139,2,0.44415813683280486
5,610,299,169,34,0.45035964950457213
6,628,282,200,1,0.4779967499102319
7,628,216,235,32,0.4966331947180413
8,641,209,260,1,0.5030681722965166
9,647,140,286,35,0.5168458426526289
10,647,147,313,1,0.5269180439374591
11,656,80,328,43,0.5318821694979972
12,650,94,359,2,0.5414164541229998
13,659,31,387,28,0.5435179782792249
14,655,48,399,2,0.5551162233362359
15,641,12,417,33,0.5548009289939865
16,639,18,439,5,0.5484525141095928
17,641,3,439,16,0.5517619311499515
18,649,9,432,8,0.5538776065053445
19,657,3,421,17,0.5586619155410717
20,659,8,414,17,0.5623916218968754
21,654,10,415,19,0.5625469403526724
22,661,7,410,19,0.5591282398052979
23,667,7,409,14,0.5636105265140258
24,663,8,407,18,0.5677719665663139
25,672,10,397,15,0.5648619059700587
26,670,11,396,17,0.5702812705903161
27,665,22,388,16,0.5686400239977794
28,667,17,389,17,0.5646104565700394
29,689,6,379,14,0.5666106441268168
30,682,18,371,15,0.5816594010058994
31,697,13,357,17,0.5757591995085378
32,696,14,349,24,0.5850591183937619
33,690,25,352,16,0.5832205533713403
34,694,10,355,24,0.5793055058256261
35,686,19,364,14,0.5828328221786238
36,687,9,364,22,0.5785439577987338
37,683,15,356,26,0.5796591730379393
38,680,13,362,24,0.5759699667673438
39,673,14,369,22,0.5752244234274241
40,682,10,372,13,0.5717124441674712
41,679,9,367,22,0.579291460033455
42,673,14,368,20,0.5761485204103308
43,676,9,376,13,0.5726389059183304
44,666,8,375,25,0.5767000899170572
45,670,12,378,13,0.5691355848504769
46,671,6,382,14,0.5730037446067997
47,684,4,371,14,0.574477470940752
48,687,8,361,17,0.5820973961696552
49,688,7,356,21,0.5824958902622387
50,674,20,364,13,0.5827027867276713
51,675,12,366,16,0.5741314017449223
52,672,14,362,20,0.5759888190275647
53,682,6,363,17,0.5734017683193271
54,672,11,363,22,0.5810250382443014
55,682,12,363,10,0.5735856248215692
56,685,7,357,18,0.5814040184340932
57,686,4,358,17,0.5825439977700216
58,688,9,348,19,0.5842401320219944
59,676,13,350,23,0.5842861779377257
60,675,11,361,15,0.5764286256882476
61,682,10,354,15,0.5777048583040758
62,684,10,346,21,0.5820338539950886
63,682,15,344,18,0.582064035786483
64,677,9,340,32,0.5809608967730301
65,672,10,358,18,0.5768577435635415
66,670,8,361,19,0.5764286256882476
67,670,10,361,17,0.5754883203523199
68,683,5,352,17,0.5754883203523199
69,682,9,346,20,0.583951745987196
70,668,16,358,14,0.5820962812154078
71,679,7,355,14,0.5742013248366248
72,681,7,351,16,0.582263756413062
73,687,3,349,16,0.5830324634759853
74,682,12,342,17,0.5871896624791151
75,678,9,347,19,0.5829024294548092
76,675,10,351,17,0.5808092856997128
77,686,7,346,14,0.5792908400391243
78,681,13,342,17,0.5866586567687492
79,673,11,350,19,0.5821485408291699
80,681,7,353,11,0.5776069777203969
81,687,6,343,15,0.5845571379749888
82,681,10,340,17,0.587642805606895
83,675,12,343,17,0.5837169527328746
84,686,2,347,12,0.5801261193045062
85,670,8,343,25,0.5891833115075671
86,678,7,344,15,0.5767480613457975
87,683,9,337,13,0.5837380448808747
88,684,7,330,21,0.5870261448862363
89,683,10,328,21,0.5864999372098998
90,671,19,327,22,0.5853714363660568
91,673,12,337,16,0.5772614113580389
92,675,13,335,13,0.5810018190557222
93,677,7,334,18,0.5829321904313338
94,678,9,332,16,0.584268297352604
95,675,10,328,21,0.5850549859675845
96,666,9,337,21,0.5824297323301824
97,668,8,343,14,0.5776496881588837
98,681,2,336,14,0.5802663930467535
99,675,10,332,15,0.5888697433876313
100,670,6,337,19,0.5839518469541316
101,676,8,335,13,0.5810698735207722
102,675,6,337,14,0.5852652833240231
103,672,11,335,13,0.5848711294653424
104,673,6,335,16,0.5826135888324245
105,665,10,334,21,0.5837679904518895
106,668,6,337,19,0.5775085455131214
107,665,12,339,14,0.5803344475118036
108,678,7,334,11,0.578427828024332
109,666,11,336,17,0.5873988913696941
110,667,9,338,15,0.5786338369970295
111,682,5,328,14,0.5801505910095615
112,684,5,321,19,0.589756436021543
113,670,11,323,24,0.590004647698596
114,672,3,332,20,0.5800649596314243
115,678,5,326,17,0.5836375568601831
116,678,9,321,17,0.5875188071464853
117,676,9,319,19,0.5869985884879109
118,670,8,321,22,0.5858954494744579
119,666,6,327,20,0.582463923703743
120,672,7,327,13,0.5813030144937578
121,669,3,325,22,0.5858954494744579
122,664,9,329,15,0.5832290542700579
123,672,3,328,14,0.5809353014892734
124,673,7,320,17,0.5868790871604794
