,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1128,0,0,0,0.82
1,642,430,0,56,0.82
2,516,554,57,1,0.4631663195264438
3,561,454,83,29,0.3883493809156192
4,528,489,107,2,0.4232537158315202
5,567,397,137,24,0.4059451622847362
6,566,404,152,1,0.43771242304393193
7,572,345,183,23,0.4403843396040477
8,576,348,197,2,0.45006130308189907
9,600,277,215,30,0.4553070785188784
10,602,285,233,1,0.47521274232480926
11,601,236,250,31,0.4801739254918182
12,614,232,270,1,0.4835436356368307
13,620,179,283,33,0.49644738204871436
14,628,186,299,2,0.5036181478181455
15,621,147,318,29,0.5120842374790683
16,636,141,337,1,0.5106724708773598
17,638,102,347,25,0.5245723044693129
18,644,116,351,1,0.5288003567237111
19,653,69,361,29,0.5337413962449405
20,648,88,374,1,0.5419065659461079
21,648,53,385,23,0.5410804432037959
22,647,71,390,1,0.5437644197768148
23,635,41,403,30,0.5439670004479535
24,655,50,400,3,0.5378872361563352
25,648,24,412,24,0.551790454713001
26,658,31,413,4,0.5490143690927747
27,654,18,403,30,0.5569791061737639
28,650,32,412,7,0.552665201500115
29,653,14,415,17,0.5528469390887676
30,665,18,403,13,0.556222381775156
31,668,17,389,24,0.5626220239523445
32,669,24,385,20,0.562588245655821
33,671,22,385,20,0.5625809020466802
34,667,20,393,18,0.5640214457558094
35,668,16,398,16,0.5625960309442309
36,661,21,401,13,0.5642238839536934
37,666,14,398,18,0.5604507119669991
38,679,13,391,13,0.5634969335990835
39,672,21,387,15,0.5716145812991764
40,669,16,386,23,0.56618094000482
41,684,17,375,16,0.5641916086117936
42,673,23,377,19,0.5737987438743529
43,676,19,380,17,0.5661667953759906
44,673,21,382,15,0.5688870338001528
45,669,28,379,15,0.5674365589958691
46,674,21,384,12,0.5639958733915943
47,682,28,367,14,0.5685250422920842
48,681,29,361,19,0.57125218593439
49,686,31,353,19,0.5697982852251702
50,671,37,359,21,0.5723630816349301
51,682,27,367,12,0.5628911770438573
52,683,20,362,22,0.572350718668751
53,674,31,371,10,0.5725402232133738
54,683,19,364,19,0.5679770228729397
55,667,35,371,10,0.5736403175114192
56,684,16,364,18,0.5639801189065358
57,676,33,355,17,0.5754827776830238
58,672,26,359,23,0.568356138117026
59,676,25,367,11,0.5665292403282536
60,666,22,368,23,0.5712726561030153
61,672,21,369,17,0.5641601699007935
62,665,22,371,20,0.5687127933604303
63,667,23,372,15,0.5643419074894459
64,670,23,371,13,0.5663435083131971
65,687,22,352,16,0.5683493181831254
66,659,36,361,21,0.5773735967869434
67,658,28,370,19,0.5585314171518975
68,663,26,371,14,0.56016511321407
69,673,17,368,15,0.564343099782675
70,663,24,373,13,0.5714710473606768
71,657,17,377,22,0.5650713451926297
72,667,17,381,8,0.5614357926654009
73,670,13,376,14,0.5694429172503113
74,665,19,372,17,0.5707274433370578
75,673,15,375,10,0.5663475027396011
76,670,19,368,16,0.5727432104812441
77,654,25,379,14,0.569273542627838
78,678,6,376,10,0.5599853178611173
79,681,10,366,12,0.577715776277786
80,680,17,348,23,0.5784872915051154
81,668,27,360,13,0.5748525397320655
82,672,24,356,15,0.5681997707649321
83,668,24,353,21,0.5707814825318593
84,669,23,359,15,0.567668061370967
85,665,21,360,20,0.5694929130802852
86,665,16,369,16,0.5667398399356736
87,665,16,370,15,0.5683754782335461
88,675,11,368,11,0.5685572158221985
89,671,17,358,18,0.5759196960777235
90,672,16,358,16,0.5715267873208597
91,672,14,360,16,0.5730118946592838
92,672,18,356,15,0.5733753698365888
93,677,22,351,9,0.5730232819341298
94,670,21,346,20,0.5765699270255236
95,680,19,342,15,0.5712301657644262
96,679,18,339,19,0.5783054347398464
97,672,29,338,16,0.577396746796584
98,662,23,355,15,0.5720116113020007
99,683,20,341,10,0.5677102979591576
100,678,21,335,20,0.5811287547705246
101,669,28,342,15,0.5763063212646692
102,662,24,346,19,0.5708929388918162
103,665,23,349,9,0.5675711542745553
104,670,21,339,16,0.5722236042634687
105,671,20,341,14,0.5741254702008394
106,662,17,344,23,0.5752343208858257
107,667,9,353,16,0.5690894360010864
108,662,19,351,12,0.574817101018545
109,667,10,346,20,0.571117799365949
110,667,15,351,8,0.5743072077894918
111,668,9,347,16,0.5759802082485793
112,668,16,343,13,0.5763830977675781
113,668,10,342,19,0.5756561474129682
114,672,13,343,11,0.5758583646996026
115,672,12,337,18,0.5790349999534818
116,669,24,335,8,0.577944574421567
117,670,13,330,21,0.5764906737123471
118,674,16,329,14,0.5771066772174661
119,670,16,324,21,0.5803247071028519
120,671,25,324,10,0.5771821891730483
121,658,19,332,20,0.5783255936276746
122,668,16,334,9,0.5704062370400281
123,664,13,331,18,0.5790525439822846
124,665,15,332,13,0.5758843289697179
125,662,7,334,20,0.5772084141470157
126,661,14,337,9,0.5760917636411335
127,674,7,324,15,0.5766632013810583
128,664,21,322,12,0.5845376086442116
129,670,12,314,23,0.5769840197884286
130,667,19,320,12,0.5800763585357801
131,673,10,320,14,0.5792857453693753
132,662,16,321,17,0.5842432121889146
133,658,17,324,16,0.5764682217503718
134,660,12,327,15,0.5743824657848324
135,669,11,326,8,0.5768316969276769
136,667,13,319,15,0.5834814505245768
137,666,11,320,15,0.5806873948618965
138,665,11,323,13,0.5809028568711619
139,661,13,329,9,0.5806873948618965
140,663,6,327,16,0.5787405326034178
141,659,8,330,15,0.5798946209471276
142,654,9,334,12,0.5774068596846111
143,661,9,328,11,0.5755301190792088
144,663,8,320,17,0.5797455245696714
145,662,8,321,16,0.5802101739288321
146,664,11,317,14,0.5800284363401796
147,669,10,315,11,0.5812249310432961
148,664,11,313,16,0.5850865994314178
149,668,10,310,15,0.5812983749912621
150,667,12,312,11,0.5842176560937382
151,674,9,302,17,0.5842176560937382
