,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1141,0,0,0,0.82
1,897,202,0,42,0.82
2,588,495,47,9,0.6476721492602003
3,530,511,71,24,0.43058987573172525
4,578,450,97,10,0.39746265103510847
5,562,428,126,19,0.43412747829817555
6,586,389,151,8,0.42870039733670046
7,587,352,170,24,0.4494868421425865
8,608,324,191,9,0.4538815524359124
9,612,290,207,23,0.4721220828453166
10,614,280,229,9,0.47770933249658004
11,613,242,260,16,0.4830202886794339
12,618,230,276,6,0.4882306304848678
13,628,194,285,23,0.49482889334049673
14,627,192,304,7,0.5032782025658482
15,627,162,324,17,0.5060070769210582
16,626,158,337,8,0.5096004160972195
17,633,126,348,21,0.5115767526441083
18,637,122,362,6,0.51868206319745
19,640,92,370,22,0.5242799236102034
20,662,64,389,8,0.5287815645329802
21,689,16,399,18,0.5478411728586859
22,713,8,398,2,0.5690500267719009
23,728,0,389,4,0.5864509864564083
24,754,1,366,0,0.5957363541119507
25,777,0,343,1,0.610761729189396
26,799,0,321,1,0.6238653969830908
27,815,1,303,2,0.6366640621957398
28,820,8,287,6,0.645779163569995
29,836,8,268,9,0.646792471051316
30,854,2,260,4,0.6559121641558653
31,869,0,250,1,0.6691764314114997
32,880,1,238,1,0.6793984620260515
33,906,0,210,4,0.6861216688914427
34,915,2,201,2,0.702256121960675
35,923,5,186,6,0.7080058337458311
36,945,4,169,2,0.7118666237094806
37,953,2,160,5,0.7268169082839917
38,967,2,146,5,0.7317112676949138
39,970,0,145,5,0.740493812389054
40,988,0,131,1,0.742713223071587
41,998,1,119,1,0.7543590497990863
42,988,16,109,6,0.7602378704358848
43,826,150,107,36,0.7508195330794459
44,644,330,134,11,0.6199830229061514
45,630,317,149,22,0.4908221742388199
46,640,303,162,12,0.4841561504528414
47,631,282,184,20,0.49374515698161325
48,640,263,202,11,0.4914659260530664
49,631,240,220,24,0.5012668226689376
50,647,224,236,8,0.49859751545322556
51,634,206,254,19,0.5125845776446825
52,645,191,266,10,0.5074496796306048
53,649,157,278,26,0.5175943841946978
54,657,144,299,9,0.5232267995019811
55,661,112,321,14,0.5329601470068175
56,660,102,337,9,0.5400787296420635
57,678,73,340,15,0.5422475237973874
58,681,57,353,15,0.5562659911300826
59,715,13,370,8,0.5607463309893521
60,738,0,365,2,0.5883944607189339
61,753,0,352,0,0.6048327195487299
62,763,1,338,3,0.6137063273330169
63,775,0,329,1,0.6187297426116992
64,794,0,309,2,0.6262302080483022
65,811,0,293,1,0.6372335944710039
66,822,0,281,2,0.6475873314479508
67,838,1,266,0,0.6540749037242691
68,862,0,243,0,0.6640670919684042
69,876,0,229,0,0.6792032752429564
70,893,0,212,0,0.6880424807435812
71,905,2,193,5,0.6988613054573569
72,918,1,184,2,0.7052754552395757
73,942,0,162,1,0.714311343441427
74,963,1,138,3,0.7299232404968207
75,979,0,126,0,0.7424138985459443
76,987,2,114,2,0.7526785174523749
77,1001,1,103,0,0.7565549942608387
78,1008,1,95,1,0.7647694439777664
79,1017,0,86,2,0.7682240778098901
80,1016,10,74,5,0.7726727012998409
81,936,75,69,24,0.7698557051114242
82,683,311,86,24,0.7088000695651248
83,611,361,116,14,0.5149223686645525
84,626,321,143,11,0.4704094056618893
85,632,303,148,16,0.48597116635100224
86,634,278,171,15,0.49172234212633664
87,634,262,191,9,0.4975911060889408
88,636,239,201,19,0.5018649273017757
89,633,225,221,15,0.5054039788181547
90,638,197,239,20,0.5072364401680637
91,638,180,262,12,0.513977323443373
92,652,153,268,17,0.5187965780701337
93,653,136,288,12,0.5304601655890786
94,652,111,309,16,0.5351148001397885
95,674,83,313,17,0.5385284723571416
96,674,69,323,19,0.5553513010038134
97,696,33,340,16,0.557872172521348
98,721,7,349,8,0.5769221730860319
99,741,1,343,0,0.5970038622039036
100,749,7,327,2,0.6109293759489104
101,763,0,318,4,0.6141157151617509
102,774,0,310,1,0.6231890402851352
103,797,0,288,0,0.6302265830774895
104,820,2,261,2,0.6442088929929544
105,834,0,250,1,0.6575772462689119
106,849,0,233,3,0.6668217749094871
107,866,2,216,1,0.675887890286163
108,888,0,197,0,0.6866716058936989
109,904,0,180,1,0.7012662731398048
110,915,2,167,0,0.7113160580112831
111,926,3,149,6,0.7184080410151585
112,906,30,137,11,0.7240793962678611
113,816,99,143,25,0.7056827566409014
114,654,247,167,15,0.6340627098474576
115,644,237,185,17,0.5162049198387346
116,648,219,202,12,0.5123227983885621
117,651,199,213,17,0.5189229452644514
118,654,185,230,11,0.5233915981910571
119,656,168,237,18,0.528589280900443
120,660,155,253,9,0.5316349463690364
121,664,138,256,17,0.5380977057928987
122,659,130,270,16,0.5422411471050465
123,668,104,284,15,0.5411527513938159
124,683,73,300,15,0.5516245358215076
125,701,38,317,15,0.5654374192806718
126,727,9,327,7,0.5817634858714841
127,739,1,327,3,0.6034204391414293
128,751,0,319,0,0.612531414124257
129,779,0,290,1,0.6202834317777209
130,795,0,274,1,0.6368224885449651
131,803,0,266,1,0.6465674535110225
132,812,0,256,2,0.6514904048518396
133,829,0,240,1,0.6568875943551927
134,834,4,230,2,0.6677049901991993
135,844,0,224,2,0.669958880645497
136,856,2,211,1,0.6770097248141304
137,871,1,194,4,0.6844690930386766
138,874,2,192,2,0.693698017208498
139,889,0,180,1,0.6957975657650176
140,905,0,165,0,0.705926049247041
141,912,0,155,3,0.7162654816525565
142,923,0,145,2,0.7201267231740838
143,938,0,132,0,0.727136043760838
144,952,0,118,0,0.7365720208770882
145,974,0,96,0,0.7446969749795066
146,968,8,89,5,0.7565137688149974
