,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1160,0,0,0,0.82
1,1031,101,0,28,0.82
2,699,393,33,33,0.7423031746987072
3,570,495,80,13,0.49623092693963766
4,601,425,108,24,0.4180982689659883
5,601,401,138,16,0.4433365058899108
6,627,340,170,17,0.44924982532212926
7,619,324,193,16,0.47278517832887457
8,628,284,226,14,0.472139346310591
9,630,257,249,15,0.48398098755625557
10,632,225,272,21,0.48970129026641473
11,642,198,294,15,0.4954245619804332
12,641,171,313,22,0.5063624637941402
13,663,137,331,16,0.5096884091834716
14,680,90,354,22,0.5278105625184745
15,710,49,372,14,0.5438787636733503
16,728,20,391,5,0.5682877203276405
17,758,6,374,5,0.5847195496858435
18,787,0,355,0,0.6036214165819211
19,803,1,338,0,0.6218945922707383
20,828,0,314,0,0.6308028306622389
21,837,0,304,1,0.6454445847650031
22,848,0,292,2,0.650556624012378
23,864,0,278,0,0.6569022346160286
24,887,0,254,1,0.666855294322978
25,898,1,242,1,0.6807001841808515
26,921,0,219,1,0.6873137568705939
27,935,0,203,3,0.7021045933216872
28,949,1,190,1,0.7105479699836023
29,961,0,179,1,0.719535831005802
30,978,0,161,2,0.7272474493103673
31,995,0,145,1,0.7376530730027863
32,1003,6,132,0,0.7481992618079706
33,1021,1,114,5,0.7520809718195762
34,1037,0,103,1,0.7624176945292693
35,1051,0,89,1,0.7718933808693876
36,1060,1,80,0,0.7788251139492007
37,1069,0,72,0,0.7829560884791192
38,1073,1,66,1,0.7870044264820835
39,1081,0,60,0,0.7882921067149135
40,1095,0,45,1,0.7917960712698415
41,1099,1,38,3,0.7968096089502449
42,1103,0,37,1,0.7977149204930002
43,1109,0,32,0,0.799669886635161
44,1114,0,26,1,0.8019730885731398
45,1116,0,21,4,0.8035645360118573
46,1116,0,24,1,0.8037413398219625
47,1118,0,22,1,0.8042715122357555
48,1118,0,21,2,0.8049784373900132
49,1118,1,21,0,0.8048017132520822
50,1116,2,21,1,0.8049784430209836
51,1116,0,22,2,0.8039180821738444
52,1115,0,23,2,0.8040948063117754
53,1116,0,23,1,0.8037413398219625
54,1113,1,22,4,0.8042715304497065
55,1117,0,23,0,0.8025041911842713
56,1115,1,23,1,0.8048017132520822
57,1115,0,24,1,0.8037413398219625
58,1118,0,22,0,0.8039180639598934
59,1117,1,21,1,0.8051551671589147
60,1117,0,23,0,0.8044482649762201
61,1117,0,23,0,0.8048017132520822
62,1119,0,21,0,0.8048017132520822
63,1118,1,20,1,0.8055086183155031
64,1119,0,19,1,0.8048017188830526
65,1117,0,20,2,0.8053318955572532
66,1120,0,19,0,0.8044482706071906
67,1117,1,17,4,0.805862068583675
68,1115,0,21,3,0.8039180981933974
69,1116,0,23,0,0.8035646338979824
70,1115,0,23,1,0.8044482649762201
71,1117,0,22,0,0.8039180821738443
72,1116,0,21,2,0.8048017188830526
73,1116,0,22,1,0.804094816700358
