,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1121,0,0,0,0.82
1,881,198,0,42,0.82
2,577,485,45,12,0.6474396414180547
3,566,456,66,28,0.42991155131045145
4,565,442,97,10,0.42721900591746487
5,574,391,125,24,0.43283493936373535
6,575,376,155,7,0.4440746343980906
7,588,327,175,22,0.45055833293316266
8,589,316,201,6,0.46342882704604194
9,602,267,221,21,0.4688701573126307
10,603,254,243,10,0.48181025709571434
11,613,212,267,17,0.4868515311091767
12,628,196,276,7,0.49851097739482686
13,622,169,295,21,0.511313465536364
14,634,155,310,8,0.5105799379258629
15,632,128,325,19,0.521752972546123
16,641,115,341,7,0.5241038193300059
17,647,79,356,21,0.5333924362607849
18,658,59,371,13,0.5407409369829411
19,680,22,379,18,0.5520383267047585
20,704,4,388,3,0.5701044145816127
21,724,2,372,1,0.5893488108068258
22,742,0,356,1,0.6013030689710086
23,761,0,338,0,0.6119452385769234
24,779,0,318,2,0.6231640292919766
25,792,0,306,1,0.6334379164822226
26,806,2,290,1,0.641418925664636
27,819,2,271,7,0.6495588611699057
28,840,0,257,1,0.6564592171037756
29,859,1,237,1,0.6713027245976535
30,877,0,221,0,0.6831906447812494
31,890,0,208,0,0.6951360364770363
32,906,3,188,1,0.7035647532041465
33,923,0,172,2,0.7132479635639764
34,939,0,156,2,0.724953047778386
35,958,0,138,1,0.7352623022211062
36,967,2,127,1,0.7474198920942727
37,979,2,111,5,0.7525643577766283
38,996,1,96,3,0.7589520382551005
39,1009,0,85,2,0.7691733020201625
40,1018,0,75,3,0.7761911359292158
41,991,25,66,14,0.7802800967111122
42,877,119,73,27,0.7600732272104841
43,634,333,111,18,0.668998906725976
44,618,335,127,16,0.4891147689395224
45,618,310,151,16,0.4807449585959821
46,627,286,165,16,0.48547121454310294
47,624,263,190,17,0.49471763206127534
48,623,243,216,12,0.4971697532588477
49,632,212,232,16,0.5012186601885401
50,633,192,247,17,0.5111984664613559
51,645,165,261,16,0.5156874133433336
52,637,155,276,16,0.5275191733117943
53,644,127,296,15,0.5255830660084942
54,654,101,316,11,0.5349642479805325
55,671,64,333,13,0.5458353639951478
56,696,39,338,7,0.5616764153918434
57,715,14,345,6,0.5814152450520755
58,730,3,342,5,0.596933146965484
59,739,2,336,3,0.607758937656418
60,748,1,331,0,0.613544842521028
61,769,0,310,1,0.6195583542128845
62,784,0,296,0,0.6320600987275394
63,808,0,271,1,0.6413262869836148
64,826,0,253,1,0.6559414685871336
65,842,0,238,0,0.6672459953674069
66,856,1,223,0,0.6776129129181296
67,872,0,205,3,0.6864315440182569
68,877,0,202,1,0.696432728226448
69,895,0,185,0,0.700050131788328
70,918,0,162,0,0.7119542857589963
71,921,0,153,6,0.7268470372321475
72,934,1,145,0,0.7276733861297288
73,948,0,131,1,0.7368364067037633
74,967,1,111,0,0.745499238169789
75,956,16,91,16,0.7569068712527837
76,873,81,99,26,0.7448661006668287
77,680,253,125,21,0.678348417770849
78,628,293,142,16,0.5309862665826462
79,651,259,153,15,0.4963914636073308
80,626,265,174,12,0.5152879773657488
81,642,234,184,13,0.5015118917964476
82,633,220,205,14,0.516235771932462
83,642,195,217,18,0.513946445155465
84,635,177,245,14,0.5226272822207177
85,642,148,263,18,0.52305378614005
86,649,119,283,18,0.5313965778575611
87,660,90,304,13,0.5408488967287062
88,675,58,320,14,0.553450281767018
89,692,33,330,11,0.56742893619228
90,695,22,337,12,0.5823021851748046
91,707,10,344,4,0.5858334145973945
92,732,3,328,2,0.5965571601112535
93,745,0,320,0,0.6127515716524814
94,752,0,312,1,0.6213683357507328
95,765,0,299,1,0.6253725078080263
96,778,1,285,1,0.6332224845693565
97,788,3,273,1,0.6409857851081574
98,803,0,262,0,0.6467972798942223
99,818,5,241,1,0.6568975177705826
100,831,3,229,2,0.6652862060214203
101,846,0,217,1,0.6737763455283068
102,859,0,205,0,0.684458895081746
103,873,1,189,1,0.6930799387017957
104,884,0,174,6,0.7018297466129827
105,900,0,162,2,0.7082572612229633
106,914,2,147,1,0.7193436864271826
107,936,2,124,1,0.7280979555436151
108,951,1,109,2,0.7419355079161913
109,963,1,97,2,0.7506892084517134
110,943,16,88,16,0.7572865937239984
111,915,26,103,17,0.7407791551474219
112,768,155,109,27,0.7222066118777151
113,643,262,135,18,0.603419096775991
114,646,246,148,17,0.5134022678998272
115,643,229,167,17,0.5183355483033734
116,652,208,177,16,0.5199826055450147
117,650,195,190,18,0.529513081761688
118,639,183,212,19,0.5304191668006784
119,646,155,235,16,0.5263844433698179
120,659,124,253,15,0.5360793888862109
121,660,105,268,17,0.5493245650950453
122,674,73,285,18,0.553183898313879
123,700,40,299,11,0.5667228446281648
124,720,13,309,8,0.5889230768178809
125,742,1,306,1,0.6061084786529328
126,756,0,294,0,0.6227112807580263
127,764,0,283,3,0.6315747322573253
128,778,0,272,0,0.6359319448584082
129,793,2,253,2,0.6451519949029232
130,811,0,238,1,0.6538292637146035
131,824,0,225,1,0.6658177634253172
132,838,0,212,0,0.6741687425318955
133,848,0,202,0,0.6834110516325765
134,865,0,185,0,0.6899114381629735
135,874,0,176,0,0.7009819396394603
136,882,0,168,0,0.7068317372968063
137,896,0,154,0,0.71201067056557
138,907,0,142,1,0.7209891641548096
139,925,0,124,1,0.7277427251919126
140,936,1,113,0,0.7387415088283378
141,949,1,98,2,0.7451629959013794
142,962,0,87,1,0.7519979443321981
143,977,0,73,0,0.7590578914479479
144,982,0,66,2,0.7662571281028555
145,989,2,59,0,0.7680604757994688
146,948,29,52,21,0.7709665773489551
147,808,150,64,28,0.7428659637641096
148,629,313,92,16,0.6315321808680061
149,618,300,116,16,0.498244147993507
150,629,266,142,12,0.4946662918864735
151,626,249,158,16,0.5077489859347721
152,644,215,170,17,0.5084954271560568
153,631,201,197,17,0.5249368919434223
154,645,168,216,16,0.5203514204422002
155,634,152,245,14,0.5344554985011347
156,651,115,260,18,0.5316852360821422
157,671,79,277,17,0.5473042036667288
158,686,51,300,7,0.5653134148065012
159,709,17,311,6,0.5808301306732516
160,721,7,309,4,0.600824919841516
161,742,0,298,1,0.6105788620665222
162,750,0,291,0,0.6250524428553039
163,763,0,278,0,0.6301184723335289
164,775,0,265,1,0.6381306633854906
165,785,0,254,2,0.6454266274379702
166,797,0,243,1,0.6515347233181946
167,806,1,234,0,0.6593330327263947
168,825,0,216,0,0.6650883409084665
169,836,1,203,1,0.6775251408631721
170,859,0,182,0,0.6843020618061668
171,872,0,167,2,0.6996420681675432
172,887,0,153,1,0.7077073386244679
173,898,0,142,1,0.7175145878836232
174,916,0,124,1,0.7244510213560519
175,925,0,116,0,0.735449804992477
176,940,0,101,0,0.7409070440035908
177,949,0,90,2,0.7492548578023142
178,961,0,79,1,0.7535821435631962
179,945,19,68,9,0.7596047780479237
180,857,86,67,31,0.746773419325977
181,658,269,92,22,0.6769449319294429
182,613,289,119,18,0.522909321361743
183,635,251,138,14,0.49553051206223603
184,622,235,160,20,0.5154236271039789
185,646,205,175,9,0.510293436499292
186,639,184,198,14,0.5314323285405933
187,647,164,209,13,0.530456595678461
188,640,141,232,20,0.5391467123814083
189,662,108,248,14,0.5381605819004486
190,670,80,263,18,0.5578738553359579
191,693,39,283,16,0.5670375239178591
192,718,9,298,6,0.5882353941447866
193,736,0,294,0,0.6103769681113269
194,752,0,277,1,0.6242598348443014
