,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1122,0,0,0,0.82
1,1051,40,0,31,0.82
2,961,100,41,20,0.7801577029237425
3,726,288,75,31,0.7206516218204052
4,626,360,116,18,0.54041222247493
5,624,317,156,22,0.476236501963781
6,631,288,183,16,0.48248320640220216
7,634,243,215,26,0.4926312319908778
8,633,217,253,14,0.5005766487993892
9,644,163,291,19,0.5071541889063411
10,667,119,318,13,0.5218215960825097
11,693,57,344,22,0.5430598116934405
12,722,17,370,6,0.5668685796278216
13,750,0,364,1,0.5932236903863086
14,771,0,343,1,0.6130315959295236
15,792,0,322,0,0.6251422870625846
16,808,0,305,1,0.6379065003275045
17,823,0,291,0,0.6473109650911004
18,832,0,281,1,0.6566138497373273
19,845,0,268,1,0.6619643233616133
20,855,0,259,0,0.6700360612839814
21,872,0,242,0,0.6764896891309191
22,889,0,225,0,0.6872659536478672
23,895,1,215,3,0.6981708505657648
24,904,0,208,2,0.7013142915044476
25,919,0,195,0,0.7075105342461664
26,934,0,180,0,0.7176275485624579
27,948,0,165,1,0.7273831195686357
28,962,0,150,2,0.7362583635130774
29,973,0,140,1,0.7450248194804857
30,988,2,123,1,0.7521120165484966
31,1012,0,100,2,0.7608915746593028
32,1024,3,84,3,0.7747377943733526
33,1040,0,73,1,0.7802354066428046
34,1052,0,61,1,0.7887046567005204
35,1059,0,54,1,0.7938102539562022
36,1068,0,45,1,0.7965981675364511
37,1078,0,36,0,0.800032357356113
38,1082,0,30,2,0.8039159776434289
39,1093,0,21,0,0.805016261286064
40,1093,0,19,2,0.8094028477298588
41,1097,0,17,0,0.8090374288350283
42,1099,1,14,0,0.8108645275441878
43,1096,0,15,3,0.8114126559657662
44,1096,0,18,0,0.8099509801270339
45,1096,0,18,0,0.8104991084692799
46,1097,1,16,0,0.8104991084692799
47,1097,0,15,2,0.8106818180967724
48,1096,0,16,2,0.8104991086493571
49,1097,0,16,1,0.8101336895744493
50,1096,1,16,1,0.8106818180967724
51,1096,1,16,1,0.8101336895744493
52,1096,0,17,1,0.8101336895744493
53,1095,0,18,1,0.8103163990218647
54,1093,0,19,2,0.8099509796544861
55,1095,0,19,0,0.8090374288350283
56,1097,0,16,1,0.8101336891019015
57,1094,0,17,3,0.8106818180967724
58,1094,0,20,0,0.8092201407406118
59,1095,0,19,0,0.8097682690828577
60,1094,1,17,2,0.8101336891019015
61,1094,0,18,2,0.8092201407406118
62,1096,0,17,1,0.8094028501880272
63,1096,0,16,2,0.8103163990218647
64,1095,0,17,2,0.8101336895744493
