,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1132,0,0,0,0.82
1,1098,12,0,22,0.82
2,851,220,27,34,0.8015254909570899
3,597,446,69,18,0.6212274719527054
4,562,447,99,22,0.4438699691561386
5,583,399,134,14,0.4257422140064606
6,593,357,159,20,0.44617215514136305
7,611,319,182,16,0.45777209449620476
8,604,293,212,19,0.4745082099355081
9,618,260,230,19,0.4751624619706077
10,614,233,259,20,0.4883201184610322
11,622,208,284,11,0.4911515610771412
12,630,175,300,20,0.5015005204541568
13,642,148,317,17,0.5099186625404454
14,644,119,346,15,0.5216556742057221
15,656,93,358,14,0.5283008029851374
16,689,42,374,14,0.539886522583985
17,700,18,392,8,0.5669119683684586
18,727,3,382,5,0.5784517680305802
19,742,1,370,3,0.5967030925027109
20,757,0,357,2,0.6060101330397595
21,772,0,343,1,0.614876804728131
22,790,0,326,0,0.6236810596899054
23,805,0,310,1,0.6343710673156749
24,821,0,295,0,0.6430843855840391
25,835,1,277,3,0.6528913765216895
26,852,1,263,0,0.6607062705392779
27,869,0,247,0,0.6717611073396111
28,886,0,229,1,0.6826007893124058
29,897,3,215,1,0.6932083970580666
30,878,14,200,24,0.6997031173947778
31,904,2,201,9,0.6814160694792801
32,925,1,189,0,0.7029321554603295
33,938,0,177,0,0.7185611080817478
34,951,0,164,0,0.7271121945240294
35,966,0,148,1,0.7354269993738398
36,978,0,137,0,0.7447029614377754
37,992,0,120,3,0.7522801326182305
38,1006,0,109,0,0.7600864160008045
39,1021,0,94,0,0.7685721023190623
40,1035,0,78,2,0.7764988335865054
41,1044,0,71,0,0.7828899738785656
42,1053,0,62,0,0.7872455028435813
43,1047,11,51,6,0.7909821056147408
44,853,164,52,44,0.7854394376367426
45,622,384,94,10,0.6356829477348982
46,593,366,123,27,0.4720296347215102
47,618,328,155,6,0.45762595424869223
48,617,289,178,23,0.48129599932470724
49,622,266,207,10,0.4847676790798885
50,629,215,235,26,0.49415743808032214
51,636,193,266,8,0.5041088644808631
52,653,141,287,21,0.5153013574090284
53,662,132,295,13,0.5314446849153445
54,664,91,323,23,0.5392948455409038
55,695,54,343,8,0.5461447792847592
56,731,5,356,8,0.5724952829735539
57,750,0,349,0,0.6014070838590237
58,768,0,331,0,0.6148171268636199
59,783,0,316,0,0.6252768120363373
60,798,0,300,1,0.6341294883853548
61,808,1,290,0,0.6429265739589861
62,820,0,278,1,0.6489818012586586
63,835,0,263,1,0.6563209697570204
64,849,0,249,1,0.6656038635233568
65,860,1,237,1,0.6743714709401736
66,871,0,226,2,0.6811435652940231
67,890,0,209,0,0.6881467364930357
68,905,0,192,2,0.7006974449278809
69,919,2,178,0,0.7100050684973819
70,936,0,162,1,0.7190266585506068
71,947,6,145,1,0.7300867572909838
72,956,1,135,7,0.7359458461584962
73,967,0,131,1,0.7413613368595586
74,982,0,117,0,0.7493254655207878
75,998,0,100,1,0.7582952181957497
76,1014,0,83,2,0.7669067635171541
77,1026,0,71,2,0.7747585901381236
78,1029,2,64,4,0.7802239823160892
79,1038,0,55,5,0.7807912034875508
80,1046,0,50,1,0.7847185285488674
81,1050,2,44,1,0.788562062532184
82,1055,1,40,1,0.7896992430892597
83,1060,0,35,2,0.7917267624128066
84,1064,0,32,1,0.7935533410397199
85,1066,0,30,1,0.7951879318146966
86,1068,0,28,1,0.7959133398051856
87,1049,11,28,9,0.796638263713842
88,993,38,43,23,0.7862479340425576
89,744,252,66,32,0.7537214715951512
90,609,360,107,17,0.5609991367749713
91,612,320,143,17,0.4710058668220283
92,622,285,162,23,0.4799483294869041
93,626,250,194,21,0.49037885975372464
94,627,224,221,17,0.49932115155925
95,632,190,250,17,0.5055967532435642
96,640,159,272,18,0.5143738874225989
97,667,111,289,22,0.5240197732545672
98,676,86,316,11,0.546407464483319
99,693,45,339,12,0.5578051810691851
100,719,14,346,7,0.5743664730029658
101,737,0,343,4,0.5960200033926718
102,746,1,337,0,0.609813377828552
