,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1141,0,0,0,0.82
1,960,151,0,30,0.82
2,587,497,39,18,0.6990987048123347
3,543,511,72,14,0.42786565569551005
4,592,438,98,12,0.40497329526293546
5,588,421,114,16,0.4421204968314559
6,599,388,138,14,0.4426275619718655
7,587,379,161,12,0.45431672793912936
8,605,343,178,13,0.45040309066283984
9,600,328,192,19,0.4655431824350102
10,615,293,213,17,0.4646912519774583
11,609,277,233,18,0.47890840813284136
12,622,247,257,11,0.47875744842072304
13,627,223,272,13,0.4918875736508366
14,631,203,287,13,0.49863566020335376
15,629,187,300,17,0.5043900742917857
16,628,173,319,12,0.5056819641423275
17,633,147,330,22,0.5087363024420645
18,649,121,344,15,0.5141383950967982
19,642,109,363,15,0.5286758656356916
20,659,79,374,16,0.5272477511879488
21,693,41,380,13,0.5413525505632834
22,709,18,391,9,0.5667212000365354
23,735,1,391,0,0.5801395210860147
24,759,0,368,0,0.5989823427074407
25,776,0,350,1,0.6125339318987553
26,790,0,335,2,0.6220038204043083
27,810,1,316,0,0.6298855609432363
28,830,1,294,2,0.6417656998893332
29,848,0,279,0,0.653326404646131
30,865,0,261,1,0.6647801402143876
31,883,4,238,1,0.6750657653632733
32,901,0,217,8,0.6858509527188548
33,907,3,213,3,0.6966894803841953
34,931,0,192,3,0.700865295639536
35,941,1,183,1,0.7167398908943603
36,957,0,167,2,0.7233151829310077
37,970,1,154,1,0.7335000655550358
38,988,0,137,1,0.7416793707262606
39,997,0,129,0,0.7529234728326963
40,1018,0,108,0,0.7584678856067846
41,1030,3,92,1,0.7703546514590242
42,935,83,83,25,0.7759178003662683
43,655,342,101,28,0.700434292140427
44,592,391,127,15,0.4901911552024195
45,619,344,151,11,0.4520238985080307
46,604,348,163,10,0.4746690716775877
47,621,310,175,19,0.4666100073833572
48,613,306,192,14,0.48034892295039056
49,619,277,210,19,0.4779401992125389
50,618,266,227,11,0.4852694222472635
51,622,238,240,22,0.4886136030555614
52,628,222,259,12,0.49368917168447907
53,632,201,266,21,0.5015520213149292
54,623,200,280,15,0.505895852468617
55,624,176,302,13,0.5028713708223406
56,626,167,309,12,0.5084988009291986
57,639,139,319,17,0.5114655281916669
58,643,122,338,11,0.5222638920302309
59,648,99,346,20,0.5284602174285371
60,663,80,357,12,0.5337238523041445
61,672,56,373,10,0.5465727369365256
62,692,33,376,10,0.5561615363377295
63,716,4,379,11,0.5709767060952419
64,736,2,370,2,0.5892568442888299
65,756,0,354,0,0.6023365142257308
66,774,0,334,2,0.6143609550127596
67,789,0,320,1,0.6243567318138105
68,805,0,303,2,0.6332994175772327
69,827,0,281,2,0.6426029869283593
70,842,0,267,1,0.6558715733123498
71,863,0,246,1,0.6652466011379836
72,883,0,226,1,0.6783092017976109
73,900,0,210,0,0.6909280036931401
74,914,0,196,0,0.7019352512121497
75,927,1,178,4,0.710889590304895
76,943,0,167,0,0.7183042414901062
77,961,0,148,1,0.729375597230409
78,971,0,138,1,0.7404564960450485
79,990,0,119,1,0.746570121121772
80,1004,0,105,1,0.7577547999999376
81,1012,0,97,1,0.765501449638603
82,1023,4,82,1,0.7696902705663914
83,961,49,73,27,0.7744083923862903
84,698,294,94,24,0.7269814741344438
85,603,371,120,15,0.5249901217577497
86,629,330,133,15,0.4633500532726797
87,604,339,149,13,0.4842475353411666
88,617,306,167,11,0.470545298350796
89,604,301,181,13,0.4840444917897725
90,615,271,199,13,0.47825699746563594
91,615,252,211,20,0.4894075142268291
92,622,226,235,13,0.4915635177325258
93,626,204,251,15,0.5013989429248331
94,628,189,266,12,0.5070578109630189
95,624,176,277,17,0.5114857075952236
96,621,158,305,10,0.5110104840567963
97,628,133,318,14,0.5139524322681495
98,639,108,331,14,0.5215064991051962
99,652,84,342,13,0.5318970009908175
100,667,62,350,11,0.5434051822623569
101,688,36,351,12,0.5558899858081249
102,718,11,347,11,0.5723178714058877
103,742,1,344,0,0.5936449472672732
104,757,0,328,2,0.6110725031684221
105,776,0,311,0,0.6195825305724039
106,797,0,290,0,0.6311249178715297
107,819,0,268,0,0.6437158667580632
108,826,0,261,0,0.6571615879916206
109,839,1,247,0,0.661492227576551
110,860,0,227,0,0.6694178349022063
111,878,0,208,1,0.6828429905467772
112,889,1,196,1,0.6941297976703419
113,899,3,184,0,0.7009856418139649
114,919,1,166,0,0.7074839990067205
115,936,1,149,0,0.7205719162488139
116,946,0,138,2,0.731214537707871
117,958,1,126,1,0.7371609856922983
118,964,6,113,3,0.7443226329698303
119,937,34,101,13,0.7465487471068611
120,738,212,106,28,0.7238253176020504
121,613,325,130,15,0.5664790925660853
122,618,298,149,18,0.4806467680182336
123,625,285,163,9,0.48754944389047233
124,630,261,170,21,0.49530844547604597
125,626,257,185,13,0.5000810935449419
126,625,233,205,18,0.5003065544976959
127,634,218,213,13,0.5031973059148892
128,626,198,236,18,0.5120148173338981
129,631,178,260,9,0.5105017771558096
130,646,140,276,16,0.5183390276262878
131,645,131,290,12,0.5318525567035617
132,652,105,295,23,0.5336556358867125
133,663,96,301,14,0.5406182943094395
134,670,66,318,18,0.5499668263337931
135,680,45,338,8,0.5588184122967897
136,718,7,337,9,0.5700684309205114
137,737,0,333,1,0.5980430178478515
138,755,0,316,0,0.6116836961690442
139,762,1,307,1,0.6224134431052483
140,775,0,296,0,0.6262049473635605
141,788,0,283,0,0.6343444730350133
142,807,3,260,1,0.6422168844429369
143,822,1,246,2,0.6531652395063494
144,841,1,229,0,0.6626829133825177
145,848,3,220,0,0.6750116995106009
146,867,0,202,1,0.6790954741733268
147,889,0,180,1,0.6918573504389794
148,900,0,168,2,0.705926049247041
149,911,0,159,0,0.7127437953447754
150,924,0,145,1,0.7200393436812854
151,937,0,131,2,0.7279302711125614
