,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1143,0,0,0,0.82
1,1055,61,0,27,0.82
2,688,387,37,30,0.82
3,571,476,83,11,0.82
4,587,419,112,22,0.82
5,587,394,148,11,0.82
6,617,330,171,20,0.82
7,605,316,204,12,0.82
8,619,266,223,28,0.82
9,624,239,259,14,0.82
10,626,203,281,23,0.82
11,639,172,303,15,0.82
12,642,143,312,31,0.82
13,659,119,333,16,0.82
14,673,81,356,16,0.82
15,701,45,362,17,0.82
16,728,3,386,8,0.82
17,742,2,380,1,0.82
18,749,2,373,1,0.82
19,763,0,362,0,0.82
20,779,0,346,0,0.82
21,792,0,333,0,0.82
22,805,3,315,2,0.82
23,823,0,302,0,0.82
24,836,0,289,0,0.82
25,849,0,275,1,0.82
26,873,0,252,0,0.82
27,887,0,237,1,0.82
28,908,0,216,1,0.82
29,927,0,193,5,0.82
30,939,0,184,2,0.82
31,954,1,167,3,0.82
32,975,0,147,3,0.82
33,988,3,132,2,0.82
34,999,1,123,2,0.82
35,1012,0,109,4,0.82
36,1018,0,107,0,0.82
37,1029,0,96,0,0.82
38,1039,1,83,2,0.82
39,1055,0,68,2,0.82
40,1061,0,58,6,0.82
41,1069,0,53,3,0.82
42,1071,1,51,2,0.82
43,1077,0,46,2,0.82
44,1077,5,39,3,0.82
45,1059,11,39,14,0.82
46,1039,20,52,12,0.82
47,897,120,71,34,0.82
48,656,339,109,17,0.82
49,619,338,139,25,0.82
50,637,300,167,16,0.82
51,636,260,192,28,0.82
52,647,232,226,11,0.82
53,643,202,241,26,0.82
54,643,183,271,13,0.82
55,654,144,288,24,0.82
56,658,128,308,15,0.82
57,680,72,329,27,0.82
58,712,31,355,10,0.82
59,729,5,371,2,0.82
60,747,0,358,2,0.82
61,760,0,346,1,0.82
62,774,2,330,1,0.82
63,792,0,315,0,0.82
64,803,1,303,0,0.82
65,814,0,288,4,0.82
66,829,0,276,1,0.82
67,841,0,265,0,0.82
68,860,0,246,0,0.82
69,872,0,231,3,0.82
70,894,1,211,0,0.82
71,906,0,198,2,0.82
72,920,0,186,0,0.82
73,939,0,163,4,0.82
74,954,0,152,0,0.82
75,971,0,135,0,0.82
76,990,1,113,2,0.82
77,969,23,100,14,0.82
78,929,53,103,19,0.82
79,737,210,124,32,0.82
80,649,287,155,11,0.82
81,647,257,174,22,0.82
82,658,235,191,15,0.82
83,656,202,218,23,0.82
84,661,185,239,13,0.82
85,664,153,252,27,0.82
86,666,141,272,16,0.82
87,676,100,292,25,0.82
88,690,79,309,13,0.82
89,717,29,328,16,0.82
90,736,6,339,9,0.82
91,747,0,342,1,0.82
92,766,0,323,1,0.82
93,782,0,307,1,0.82
94,794,0,295,1,0.82
95,805,0,284,1,0.82
96,816,0,273,1,0.82
97,824,1,265,0,0.82
98,843,0,246,1,0.82
99,855,0,234,1,0.82
100,869,0,220,1,0.82
101,884,1,204,1,0.82
