,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1149,0,0,0,0.82
1,831,267,0,51,0.82
2,587,499,52,9,0.82
3,547,489,82,29,0.82
4,575,452,113,6,0.82
5,595,389,139,21,0.82
6,598,378,160,7,0.82
7,604,325,185,28,0.82
8,621,305,205,10,0.82
9,616,265,230,24,0.82
10,629,253,245,7,0.82
11,626,219,263,26,0.82
12,623,219,285,6,0.82
13,631,176,290,35,0.82
14,638,175,313,6,0.82
15,637,141,324,29,0.82
16,637,146,341,7,0.82
17,655,92,358,26,0.82
18,660,90,372,7,0.82
19,689,33,388,18,0.82
20,719,16,389,3,0.82
21,742,1,383,1,0.82
22,756,0,369,1,0.82
23,774,0,352,0,0.82
24,792,1,332,1,0.82
25,802,5,314,5,0.82
26,818,0,307,1,0.82
27,835,0,288,3,0.82
28,854,0,272,0,0.82
29,876,1,247,2,0.82
30,897,1,226,2,0.82
31,914,0,212,0,0.82
32,937,0,189,0,0.82
33,958,2,166,0,0.82
34,974,0,150,2,0.82
35,986,1,138,1,0.82
36,1001,0,124,1,0.82
37,1014,1,110,1,0.82
38,1028,0,98,0,0.82
39,1036,0,88,2,0.82
40,1041,2,79,4,0.82
41,1049,0,76,1,0.82
42,1060,0,65,1,0.82
43,1073,0,53,0,0.82
44,1078,0,45,3,0.82
45,1077,6,40,3,0.82
46,994,62,44,26,0.82
47,678,351,64,29,0.82
48,596,409,102,15,0.82
49,624,354,125,19,0.82
50,615,341,150,15,0.82
51,633,297,179,12,0.82
52,624,285,193,16,0.82
53,627,255,216,20,0.82
54,634,230,238,13,0.82
55,634,208,255,16,0.82
56,637,187,272,16,0.82
57,636,164,299,13,0.82
58,640,140,316,16,0.82
59,646,117,329,18,0.82
60,659,85,355,11,0.82
61,686,40,366,18,0.82
62,726,10,367,6,0.82
63,734,1,371,3,0.82
64,753,0,356,0,0.82
65,770,1,336,2,0.82
66,783,1,323,2,0.82
67,801,1,307,0,0.82
68,821,0,288,0,0.82
69,840,1,268,0,0.82
70,849,2,255,3,0.82
71,865,0,244,0,0.82
72,883,0,225,1,0.82
73,905,0,204,0,0.82
74,918,0,186,5,0.82
75,929,4,172,4,0.82
76,942,0,161,6,0.82
77,964,0,143,2,0.82
78,984,0,125,0,0.82
79,991,3,115,0,0.82
80,975,14,110,10,0.82
81,958,31,112,8,0.82
82,944,29,119,16,0.82
83,811,152,123,22,0.82
84,646,296,140,26,0.82
85,628,294,171,15,0.82
86,640,258,194,16,0.82
87,640,242,208,17,0.82
88,642,217,232,16,0.82
89,641,203,240,22,0.82
90,651,175,265,15,0.82
91,648,157,289,11,0.82
92,654,130,302,19,0.82
93,658,104,329,12,0.82
94,669,68,349,16,0.82
95,718,21,357,5,0.82
96,742,6,346,6,0.82
97,759,1,338,2,0.82
98,779,1,319,1,0.82
99,785,10,301,4,0.82
100,793,12,293,2,0.82
101,803,6,285,5,0.82
