,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1118,0,0,0,0.82
1,1074,19,0,25,0.82
2,816,236,28,37,0.82
3,572,451,70,23,0.82
4,594,389,112,20,0.82
5,585,372,139,18,0.82
6,605,316,166,26,0.82
7,602,297,200,14,0.82
8,614,250,227,22,0.82
9,613,226,256,18,0.82
10,621,182,291,17,0.82
11,635,150,310,13,0.82
12,639,118,332,19,0.82
13,662,89,338,18,0.82
14,681,44,362,19,0.82
15,711,11,376,8,0.82
16,722,0,382,2,0.82
17,735,0,371,0,0.82
18,750,0,356,0,0.82
19,767,0,338,1,0.82
20,781,0,324,1,0.82
21,799,0,306,1,0.82
22,811,0,295,0,0.82
23,825,0,279,2,0.82
24,840,0,265,1,0.82
25,856,0,249,1,0.82
26,876,0,230,0,0.82
27,889,0,214,3,0.82
28,906,0,200,0,0.82
29,920,0,186,0,0.82
30,937,0,169,0,0.82
31,958,0,145,3,0.82
32,973,1,131,1,0.82
33,994,0,112,0,0.82
34,1012,0,94,0,0.82
35,1020,0,84,2,0.82
36,1034,0,69,3,0.82
37,1046,0,59,1,0.82
38,1052,1,51,2,0.82
39,1064,0,42,0,0.82
40,1070,0,36,0,0.82
41,1073,0,32,1,0.82
42,1078,0,28,0,0.82
43,1085,0,21,0,0.82
44,1088,0,17,1,0.82
45,1087,0,16,3,0.82
46,1087,0,18,0,0.82
47,1090,0,15,0,0.82
48,1087,0,15,3,0.82
49,1088,0,17,0,0.82
50,1088,0,16,1,0.82
51,1088,0,16,1,0.82
52,1086,0,17,2,0.82
53,1087,0,18,0,0.82
54,1086,0,18,1,0.82
55,1086,0,19,0,0.82
56,1088,1,16,0,0.82
57,1088,0,16,1,0.82
58,1087,0,17,1,0.82
59,1088,0,16,1,0.82
60,1088,1,14,2,0.82
61,1083,1,17,4,0.82
62,1082,0,22,1,0.82
63,1081,0,22,2,0.82
64,1080,0,24,1,0.82
65,1082,0,23,0,0.82
66,1081,1,22,1,0.82
67,1078,1,21,5,0.82
68,1078,0,25,2,0.82
69,1078,0,26,1,0.82
70,1080,0,25,0,0.82
71,1085,0,19,1,0.82
72,1080,0,19,6,0.82
73,1079,0,25,1,0.82
74,1080,0,25,0,0.82
75,1080,0,24,1,0.82
76,1075,5,24,1,0.82
77,1076,1,25,3,0.82
78,1076,0,28,1,0.82
79,1077,0,27,1,0.82
80,1074,0,28,3,0.82
81,1075,0,30,0,0.82
82,1075,0,29,1,0.82
83,1077,0,27,1,0.82
84,1074,0,27,4,0.82
85,1074,0,30,1,0.82
86,1072,1,29,3,0.82
87,1073,0,31,1,0.82
88,1072,0,31,2,0.82
89,1075,0,30,0,0.82
90,1075,0,29,1,0.82
91,1075,0,30,0,0.82
92,1077,0,28,0,0.82
93,1080,0,25,0,0.82
94,1080,0,24,1,0.82
95,1079,0,24,2,0.82
96,1081,0,23,1,0.82
97,1080,0,24,1,0.82
98,1081,0,23,1,0.82
99,1082,0,22,1,0.82
100,1081,0,22,2,0.82
101,1083,0,20,1,0.82
