,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1144,0,0,0,0.82
1,873,229,0,42,0.82
2,565,518,43,17,0.82
3,525,517,73,27,0.82
4,547,477,107,10,0.82
5,566,418,137,19,0.82
6,577,392,161,9,0.82
7,581,348,190,18,0.82
8,586,328,216,5,0.82
9,599,282,233,21,0.82
10,600,272,251,12,0.82
11,612,229,270,23,0.82
12,619,222,277,14,0.82
13,616,196,301,17,0.82
14,623,189,304,12,0.82
15,615,164,322,25,0.82
16,618,155,342,10,0.82
17,628,121,352,24,0.82
18,627,119,373,4,0.82
19,645,79,371,28,0.82
20,668,59,387,7,0.82
21,682,33,393,13,0.82
22,722,7,385,5,0.82
23,746,1,372,0,0.82
24,760,0,358,1,0.82
25,781,0,338,0,0.82
26,804,1,312,2,0.82
27,835,0,283,1,0.82
28,850,0,264,5,0.82
29,857,7,252,2,0.82
30,874,1,241,2,0.82
31,891,2,224,1,0.82
32,907,1,207,3,0.82
33,904,9,196,9,0.82
34,913,7,192,6,0.82
35,895,22,184,17,0.82
36,792,116,186,22,0.82
37,631,254,209,22,0.82
38,628,244,227,17,0.82
39,631,224,246,15,0.82
40,629,215,254,18,0.82
41,628,197,275,16,0.82
42,645,180,275,14,0.82
43,645,164,287,17,0.82
44,635,157,306,15,0.82
45,646,130,323,14,0.82
46,660,113,323,16,0.82
47,660,94,342,15,0.82
48,681,71,340,19,0.82
49,682,51,360,17,0.82
50,716,21,360,13,0.82
51,740,0,364,6,0.82
52,766,1,340,2,0.82
53,780,1,326,2,0.82
54,802,1,306,0,0.82
55,810,0,294,5,0.82
56,827,3,277,2,0.82
57,846,1,260,2,0.82
58,852,2,254,1,0.82
59,861,1,245,1,0.82
60,878,0,229,1,0.82
61,889,3,212,4,0.82
62,897,3,204,4,0.82
63,915,1,190,2,0.82
64,933,0,172,3,0.82
65,946,1,160,1,0.82
66,963,0,145,0,0.82
67,972,1,134,1,0.82
68,977,0,130,1,0.82
69,992,0,114,2,0.82
70,991,7,101,9,0.82
71,1002,1,101,3,0.82
72,1013,0,92,1,0.82
73,1025,0,80,1,0.82
74,1030,2,73,1,0.82
75,1028,8,66,4,0.82
76,954,60,66,26,0.82
77,643,343,89,30,0.82
78,585,381,122,17,0.82
79,608,331,144,22,0.82
80,599,320,170,15,0.82
81,621,279,190,13,0.82
82,600,279,203,21,0.82
83,609,244,229,21,0.82
84,605,225,260,13,0.82
85,613,192,282,15,0.82
86,627,160,297,18,0.82
87,633,135,317,16,0.82
88,633,117,330,20,0.82
89,645,83,356,15,0.82
90,663,56,367,12,0.82
91,683,28,372,15,0.82
92,706,10,377,4,0.82
93,716,3,369,8,0.82
94,731,0,364,1,0.82
95,753,0,341,2,0.82
96,774,1,321,0,0.82
97,792,0,303,1,0.82
98,812,0,284,0,0.82
99,831,1,262,2,0.82
100,844,5,245,2,0.82
101,829,18,232,17,0.82
102,838,10,236,12,0.82
103,849,10,231,6,0.82
104,874,2,216,3,0.82
105,887,0,207,1,0.82
106,895,0,200,0,0.82
107,919,0,174,2,0.82
108,929,2,164,0,0.82
109,940,0,155,0,0.82
110,958,1,136,0,0.82
111,981,0,111,3,0.82
112,969,17,102,7,0.82
113,864,102,99,29,0.82
114,631,316,124,21,0.82
115,613,311,152,15,0.82
116,624,286,167,12,0.82
117,618,269,188,14,0.82
118,623,248,202,15,0.82
119,630,221,214,21,0.82
120,629,210,235,10,0.82
121,637,183,240,22,0.82
122,628,177,263,14,0.82
123,639,148,273,20,0.82
124,636,136,297,10,0.82
125,641,103,317,17,0.82
126,656,79,326,17,0.82
127,658,52,347,21,0.82
128,674,22,373,9,0.82
129,705,1,370,2,0.82
130,726,1,351,0,0.82
131,753,0,325,0,0.82
132,767,0,309,2,0.82
133,776,0,300,2,0.82
134,788,0,290,0,0.82
135,801,0,277,0,0.82
136,802,1,267,8,0.82
137,814,0,264,0,0.82
138,835,0,242,1,0.82
139,849,4,222,3,0.82
140,854,0,218,6,0.82
141,869,0,209,0,0.82
142,886,0,191,1,0.82
143,901,0,174,2,0.82
144,916,0,160,1,0.82
145,933,1,143,0,0.82
146,920,13,131,13,0.82
147,872,55,129,21,0.82
148,688,221,145,22,0.82
149,633,265,160,17,0.82
150,631,253,172,17,0.82
151,627,245,188,11,0.82
