,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1113,0,0,0,0.82
1,1011,72,0,30,0.82
2,613,422,38,40,0.82
3,492,513,84,22,0.82
4,538,423,123,24,0.82
5,531,406,153,16,0.82
6,565,331,182,26,0.82
7,549,319,222,13,0.82
8,577,255,247,21,0.82
9,570,244,270,14,0.82
10,578,200,291,28,0.82
11,571,184,327,15,0.82
12,590,129,358,20,0.82
13,602,100,376,18,0.82
14,619,50,408,17,0.82
15,652,15,419,7,0.82
16,673,1,417,2,0.82
17,690,0,402,1,0.82
18,706,0,387,0,0.82
19,719,0,374,0,0.82
20,727,1,363,2,0.82
21,747,0,343,2,0.82
22,772,0,318,2,0.82
23,793,0,299,0,0.82
24,807,0,284,1,0.82
25,824,0,266,2,0.82
26,843,0,247,2,0.82
27,862,0,228,2,0.82
28,891,0,199,2,0.82
29,904,0,186,2,0.82
30,923,1,167,1,0.82
31,944,2,145,1,0.82
32,965,1,125,1,0.82
33,985,1,104,1,0.82
34,997,0,92,2,0.82
35,1015,0,76,0,0.82
36,1026,1,63,1,0.82
37,1033,0,56,2,0.82
38,1044,0,46,1,0.82
39,1049,0,40,2,0.82
40,1056,0,33,2,0.82
41,1056,0,33,2,0.82
42,1063,0,27,1,0.82
43,1065,0,23,3,0.82
44,1068,0,22,1,0.82
45,1069,0,22,0,0.82
46,1065,2,21,3,0.82
47,1063,1,26,1,0.82
48,1064,0,26,1,0.82
49,1064,0,27,0,0.82
50,1066,0,25,0,0.82
51,1065,1,23,2,0.82
52,1064,0,25,2,0.82
53,1064,0,26,1,0.82
54,1064,0,26,1,0.82
55,1063,1,25,2,0.82
56,1065,0,25,1,0.82
57,1065,1,23,1,0.82
58,1068,0,21,1,0.82
59,1066,0,21,3,0.82
60,1060,2,23,5,0.82
61,1061,0,28,1,0.82
62,1063,0,27,0,0.82
63,1061,0,27,2,0.82
64,1062,0,28,0,0.82
65,1062,1,27,0,0.82
66,1062,0,27,1,0.82
67,1063,0,26,1,0.82
68,1062,0,26,2,0.82
69,1064,0,26,0,0.82
70,1063,0,25,2,0.82
71,1063,0,27,0,0.82
72,1065,0,25,0,0.82
73,1065,0,23,2,0.82
74,1065,0,23,2,0.82
75,1066,0,24,0,0.82
76,1070,1,19,0,0.82
77,1070,2,16,2,0.82
78,1063,0,19,8,0.82
79,1064,0,25,1,0.82
80,1065,2,23,0,0.82
81,1063,0,24,3,0.82
82,1063,0,27,0,0.82
83,1063,0,27,0,0.82
84,1064,0,26,0,0.82
85,1063,0,26,1,0.82
86,1065,0,25,0,0.82
87,1065,1,23,1,0.82
88,1061,6,23,0,0.82
89,1027,24,23,15,0.82
90,930,88,38,32,0.82
91,589,387,80,31,0.82
92,528,417,121,18,0.82
93,571,339,155,19,0.82
94,558,323,181,19,0.82
95,575,267,217,22,0.82
96,571,241,247,19,0.82
97,582,195,279,22,0.82
98,596,159,302,20,0.82
99,601,119,340,17,0.82
100,629,63,366,19,0.82
101,667,15,383,11,0.82
102,690,0,381,5,0.82
103,708,0,367,1,0.82
104,721,0,354,1,0.82
105,737,0,339,0,0.82
106,757,1,318,0,0.82
107,780,0,296,0,0.82
108,797,1,276,2,0.82
109,806,1,267,2,0.82
110,823,1,251,1,0.82
111,834,0,241,1,0.82
112,856,0,220,0,0.82
113,868,0,208,0,0.82
114,882,0,194,0,0.82
115,893,1,180,2,0.82
116,911,0,164,1,0.82
117,925,0,151,0,0.82
118,938,0,134,4,0.82
119,944,2,123,7,0.82
120,957,0,117,1,0.82
121,970,0,104,1,0.82
122,976,0,97,2,0.82
123,993,0,81,1,0.82
124,1007,0,65,3,0.82
125,1016,0,55,3,0.82
126,1026,0,47,1,0.82
127,1032,0,41,1,0.82
128,1037,0,36,1,0.82
129,1037,0,34,3,0.82
130,1039,0,33,2,0.82
131,1040,1,29,4,0.82
132,1040,1,31,2,0.82
133,1037,2,31,4,0.82
134,1036,1,35,2,0.82
135,1034,0,36,4,0.82
136,1035,0,38,1,0.82
137,1036,0,35,3,0.82
138,1036,2,36,0,0.82
139,1036,1,37,0,0.82
140,1038,0,36,0,0.82
141,1036,2,36,0,0.82
142,1040,0,33,1,0.82
143,1038,0,33,3,0.82
144,1041,0,32,1,0.82
145,1040,1,32,1,0.82
146,1041,0,33,0,0.82
147,1042,0,30,2,0.82
148,1041,0,30,3,0.82
149,1042,0,30,1,0.82
150,1041,0,31,1,0.82
151,1039,2,31,1,0.82
