,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1143,0,0,0,0.82
1,1062,60,0,21,0.82
2,695,383,26,38,0.82
3,511,545,75,8,0.82
4,539,474,102,20,0.82
5,533,462,130,10,0.82
6,571,384,156,24,0.82
7,575,361,185,13,0.82
8,594,306,211,20,0.82
9,595,294,230,10,0.82
10,603,248,258,19,0.82
11,606,235,277,8,0.82
12,615,200,290,21,0.82
13,614,196,300,15,0.82
14,613,167,321,23,0.82
15,629,151,333,11,0.82
16,634,114,351,22,0.82
17,638,104,365,14,0.82
18,644,70,381,26,0.82
19,689,17,410,4,0.82
20,711,1,407,0,0.82
21,726,0,392,1,0.82
22,741,0,378,0,0.82
23,770,0,349,0,0.82
24,789,0,328,2,0.82
25,809,0,309,1,0.82
26,828,0,288,3,0.82
27,848,0,271,0,0.82
28,870,0,248,1,0.82
29,894,0,223,2,0.82
30,912,0,204,3,0.82
31,930,0,189,0,0.82
32,943,0,173,3,0.82
33,961,0,158,0,0.82
34,977,0,142,0,0.82
35,1003,0,116,0,0.82
36,1018,0,100,1,0.82
37,1030,0,88,1,0.82
38,1012,16,82,9,0.82
39,1001,20,83,15,0.82
40,969,32,98,20,0.82
41,794,176,123,26,0.82
42,620,336,138,23,0.82
43,598,332,170,17,0.82
44,607,310,183,17,0.82
45,607,284,209,16,0.82
46,598,270,231,16,0.82
47,611,236,249,19,0.82
48,617,215,268,13,0.82
49,611,198,286,18,0.82
50,614,178,303,16,0.82
51,614,156,324,16,0.82
52,617,133,347,11,0.82
53,642,93,357,15,0.82
54,656,69,365,15,0.82
55,687,23,376,16,0.82
56,713,3,378,6,0.82
57,735,0,364,1,0.82
58,758,1,340,1,0.82
59,767,0,329,4,0.82
60,790,0,308,2,0.82
61,805,0,294,1,0.82
62,809,5,280,6,0.82
63,811,7,276,6,0.82
64,821,0,271,8,0.82
65,836,1,260,3,0.82
66,852,0,246,2,0.82
67,868,0,229,3,0.82
68,887,1,211,1,0.82
69,905,0,195,0,0.82
70,921,0,178,1,0.82
71,936,0,164,0,0.82
72,955,0,145,0,0.82
73,967,1,131,1,0.82
74,981,1,118,0,0.82
75,1005,0,91,4,0.82
76,1016,0,83,1,0.82
77,1023,0,76,1,0.82
78,1035,0,65,0,0.82
79,1049,0,51,0,0.82
80,1052,0,45,3,0.82
81,1059,0,41,0,0.82
82,1066,0,32,2,0.82
83,1068,0,30,2,0.82
84,1070,0,29,1,0.82
85,1074,0,26,0,0.82
86,1076,0,24,0,0.82
87,1079,0,21,0,0.82
88,1077,0,21,2,0.82
89,1078,0,21,1,0.82
90,1080,0,20,0,0.82
91,1076,1,20,3,0.82
92,1077,0,23,0,0.82
93,1079,0,21,0,0.82
94,1082,0,18,0,0.82
95,1083,1,15,1,0.82
96,1083,0,16,0,0.82
97,1083,0,16,0,0.82
98,1079,5,14,1,0.82
99,1025,33,17,24,0.82
100,907,123,40,27,0.82
101,602,392,82,19,0.82
102,562,408,108,14,0.82
103,592,345,134,19,0.82
104,592,322,161,15,0.82
105,603,284,183,19,0.82
106,602,266,200,18,0.82
107,607,235,226,16,0.82
108,610,211,249,13,0.82
109,616,179,273,14,0.82
110,620,151,295,15,0.82
111,625,118,317,21,0.82
112,636,94,330,18,0.82
113,664,38,352,23,0.82
114,692,7,373,5,0.82
115,708,0,368,1,0.82
116,722,0,354,1,0.82
117,739,0,338,0,0.82
118,754,0,323,0,0.82
119,770,0,307,0,0.82
120,788,0,288,1,0.82
121,796,0,279,2,0.82
122,810,0,267,0,0.82
123,825,0,251,1,0.82
124,843,0,233,1,0.82
125,862,0,214,1,0.82
126,879,0,198,0,0.82
127,892,0,183,2,0.82
128,912,0,164,1,0.82
129,934,0,143,0,0.82
130,948,2,123,4,0.82
131,961,1,112,3,0.82
132,973,2,101,1,0.82
133,988,0,87,2,0.82
134,995,0,81,1,0.82
135,1006,0,71,0,0.82
136,1017,0,60,0,0.82
137,1025,0,52,0,0.82
138,1034,0,42,1,0.82
139,1038,0,34,5,0.82
140,1044,0,33,0,0.82
141,1044,7,23,3,0.82
142,983,45,22,26,0.82
143,766,227,49,34,0.82
144,587,376,95,17,0.82
145,579,349,133,12,0.82
146,605,296,153,18,0.82
147,598,271,184,17,0.82
148,613,236,202,19,0.82
149,603,214,231,20,0.82
150,614,181,257,15,0.82
151,610,155,283,19,0.82
