,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1133,0,0,0,0.82
1,857,236,0,40,0.82
2,563,516,46,6,0.6205135960447346
3,513,527,69,21,0.41647244816153345
4,545,482,96,6,0.38789223494644226
5,559,432,117,20,0.41415160277451174
6,574,408,138,7,0.42756590232674135
7,585,362,161,19,0.4417163610282483
8,590,349,183,4,0.4532873062320672
9,602,304,194,25,0.4609633278306075
10,598,301,219,5,0.47142208420869
11,610,259,232,21,0.47385963663493536
12,612,260,245,5,0.48472741488152304
13,609,232,255,26,0.4884504216364573
14,616,224,277,5,0.48820402491853226
15,618,194,286,24,0.49698619185517656
16,618,188,308,8,0.49998961707105266
17,638,148,316,19,0.5039701995953245
18,636,148,330,6,0.519579871599232
19,643,116,338,23,0.5210558115066086
20,655,104,351,10,0.5273782194954906
21,666,71,360,21,0.5381311697220736
22,666,67,381,4,0.5482011881595596
23,688,31,379,19,0.5520008351145465
24,682,40,387,7,0.5676651791005969
25,708,6,391,9,0.5651688318662533
26,727,0,387,0,0.5853724564530433
27,747,0,367,0,0.5985668885833115
28,777,1,334,2,0.609792003828272
29,796,0,317,0,0.6264780782011049
30,814,2,297,0,0.6384166517205598
31,830,5,274,4,0.6488268544799167
32,847,12,249,5,0.6572866553551798
33,866,2,239,5,0.6663256163449869
34,891,0,220,0,0.680298591104333
35,908,0,203,0,0.6977447880062466
36,926,0,184,1,0.7086697544734702
37,940,0,169,2,0.7200857172589642
38,957,0,153,1,0.728890560040882
39,970,1,138,2,0.7398541150986324
40,986,0,123,2,0.7475655405840781
41,996,0,113,2,0.757358311797404
42,1014,0,97,0,0.7631173378233337
43,1022,2,86,1,0.7732081301610176
44,1029,0,80,2,0.7766777127893078
45,1035,1,72,3,0.7801958008514295
46,1049,0,62,0,0.7825625315934369
47,1008,30,56,17,0.7892002250493665
48,811,208,65,27,0.7615631002662444
49,601,401,92,14,0.6053419346448261
50,602,383,103,18,0.45775993696558154
51,596,372,121,16,0.46108846967475964
52,597,348,144,13,0.46054854014865315
53,608,323,160,11,0.46637166591084417
54,609,300,179,13,0.4768505823845906
55,608,288,194,10,0.4813100525347634
56,610,264,208,18,0.4836622149354695
57,614,248,228,10,0.4875803366577044
58,615,223,248,14,0.49397350701507997
59,622,208,256,13,0.49828675891561797
60,610,193,281,13,0.5049422089041402
61,620,172,289,16,0.5017833097204943
62,635,148,302,11,0.5101893404134076
63,630,142,309,14,0.5233932641143475
64,636,119,322,16,0.5214850973478459
65,645,101,326,18,0.5287456273726279
66,656,72,343,19,0.5368808663463216
67,682,31,366,8,0.5477990172148852
68,707,9,366,4,0.5718067668248983
69,723,1,360,1,0.5905480867484514
70,737,0,348,0,0.6017741912419197
71,756,0,329,0,0.6101534495426423
72,775,0,309,1,0.6212031506834289
73,802,0,282,0,0.632270977927709
74,818,0,264,2,0.6490333776031013
