,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1136,0,0,0,0.82
1,718,347,0,71,0.82
2,572,491,70,2,0.82
3,624,368,104,36,0.82
4,622,369,139,0,0.82
5,663,264,171,31,0.82
6,652,277,198,1,0.82
7,665,198,231,32,0.82
8,666,203,256,0,0.82
9,680,127,280,38,0.82
10,699,120,304,2,0.82
11,689,69,334,33,0.82
12,698,77,347,1,0.82
13,702,23,360,38,0.82
14,705,32,381,3,0.82
15,694,11,386,30,0.82
16,695,13,403,8,0.82
17,689,5,411,14,0.82
18,690,9,409,9,0.82
19,698,3,404,11,0.82
20,696,7,398,15,0.82
21,686,11,400,18,0.82
22,691,5,402,17,0.82
23,699,6,398,11,0.82
24,702,5,386,19,0.82
25,701,5,387,19,0.82
26,696,5,385,24,0.82
27,701,6,389,13,0.82
28,702,8,383,16,0.82
29,714,4,378,13,0.82
30,716,10,367,16,0.82
31,699,18,366,26,0.82
32,709,12,372,14,0.82
33,708,11,370,17,0.82
34,714,10,369,13,0.82
35,719,7,359,19,0.82
36,709,12,362,20,0.82
37,719,7,358,19,0.82
38,719,7,354,19,0.82
39,723,9,355,12,0.82
40,719,8,352,19,0.82
41,715,8,350,25,0.82
42,726,12,345,14,0.82
43,727,10,335,24,0.82
44,715,18,340,22,0.82
45,715,9,351,19,0.82
46,720,8,347,18,0.82
47,708,15,346,24,0.82
48,713,10,357,12,0.82
49,708,10,355,18,0.82
50,707,11,358,15,0.82
51,705,9,365,12,0.82
52,701,6,367,17,0.82
53,712,2,360,16,0.82
54,712,7,348,23,0.82
55,709,8,356,17,0.82
56,712,2,355,19,0.82
57,708,7,358,14,0.82
58,700,6,365,15,0.82
59,714,4,354,14,0.82
60,716,4,350,16,0.82
61,713,6,345,22,0.82
62,718,9,345,14,0.82
63,710,13,346,16,0.82
64,699,15,352,18,0.82
65,712,4,352,16,0.82
66,715,6,342,21,0.82
67,709,11,343,20,0.82
68,719,8,336,18,0.82
69,724,6,333,18,0.82
70,718,8,340,15,0.82
71,711,8,343,19,0.82
72,706,10,349,15,0.82
73,717,4,342,15,0.82
74,710,9,338,21,0.82
75,705,9,342,21,0.82
76,704,15,345,13,0.82
77,707,5,346,19,0.82
78,729,4,331,12,0.82
79,713,12,327,24,0.82
80,716,5,336,19,0.82
81,708,6,336,24,0.82
82,695,10,347,20,0.82
83,710,7,343,11,0.82
84,709,7,337,18,0.82
85,721,4,329,16,0.82
86,720,8,321,18,0.82
87,719,8,322,18,0.82
88,713,10,322,20,0.82
89,713,6,326,19,0.82
90,716,9,322,17,0.82
91,702,12,326,23,0.82
92,711,6,329,17,0.82
93,710,10,329,14,0.82
94,711,11,324,17,0.82
95,708,5,328,22,0.82
96,714,4,335,9,0.82
97,706,11,322,21,0.82
98,708,8,324,20,0.82
99,720,10,319,11,0.82
100,704,11,320,25,0.82
101,702,8,335,14,0.82
102,707,7,333,10,0.82
103,709,3,325,19,0.82
104,698,11,330,16,0.82
105,701,8,332,13,0.82
106,703,6,331,14,0.82
107,707,6,328,13,0.82
108,710,6,321,17,0.82
109,722,9,302,21,0.82
110,720,12,306,16,0.82
111,716,7,307,22,0.82
112,702,7,319,24,0.82
113,709,5,323,14,0.82
114,702,8,326,14,0.82
115,709,5,325,11,0.82
116,710,9,315,16,0.82
117,714,8,312,15,0.82
118,711,10,309,19,0.82
119,710,14,310,14,0.82
120,716,8,313,11,0.82
121,709,10,311,18,0.82
122,705,10,315,17,0.82
123,698,7,321,21,0.82
124,698,11,329,8,0.82
125,700,5,323,18,0.82
126,711,4,310,20,0.82
127,701,9,316,18,0.82
128,694,11,324,14,0.82
129,711,3,319,8,0.82
130,700,8,315,18,0.82
131,709,4,314,13,0.82
132,705,7,307,21,0.82
133,706,9,307,17,0.82
134,707,10,310,10,0.82
135,701,4,309,22,0.82
136,713,7,304,12,0.82
137,706,8,300,20,0.82
138,699,12,307,15,0.82
139,698,5,314,16,0.82
140,696,6,317,13,0.82
141,703,2,308,18,0.82
142,705,5,307,14,0.82
143,703,7,303,17,0.82
144,701,6,304,18,0.82
145,700,6,304,18,0.82
146,699,7,306,16,0.82
147,692,5,315,16,0.82
148,702,3,308,14,0.82
149,703,4,305,15,0.82
150,706,3,306,11,0.82
151,699,4,304,19,0.82
152,704,5,305,12,0.82
153,704,3,301,17,0.82
154,709,7,294,14,0.82
155,709,8,290,17,0.82
156,705,9,296,13,0.82
157,706,7,288,22,0.82
158,702,10,292,18,0.82
159,692,12,300,18,0.82
160,720,2,292,8,0.82
161,718,11,272,21,0.82
162,714,12,278,18,0.82
163,710,9,282,21,0.82
164,705,17,287,11,0.82
165,714,5,280,18,0.82
166,710,10,279,17,0.82
167,712,9,274,21,0.82
168,708,3,280,24,0.82
169,698,4,295,18,0.82
170,703,2,298,12,0.82
171,702,3,290,19,0.82
172,703,5,288,17,0.82
173,699,2,291,20,0.82
174,693,6,301,12,0.82
175,703,1,297,10,0.82
176,713,3,280,15,0.82
177,699,10,280,22,0.82
178,703,7,286,12,0.82
179,696,5,288,19,0.82
180,688,5,298,17,0.82
181,691,4,301,10,0.82
182,690,4,300,11,0.82
183,697,5,293,10,0.82
184,698,6,288,12,0.82
185,698,8,285,13,0.82
186,703,5,283,10,0.82
187,708,3,273,17,0.82
188,702,5,281,13,0.82
189,709,4,270,17,0.82
190,711,7,270,12,0.82
191,703,11,268,17,0.82
192,695,5,282,17,0.82
193,701,6,286,6,0.82
194,707,4,277,10,0.82
195,708,6,266,18,0.82
196,705,6,274,12,0.82
197,705,7,276,9,0.82
198,708,7,266,16,0.82
199,717,7,257,15,0.82
200,719,3,254,18,0.82
201,705,10,255,22,0.82
202,707,8,264,11,0.82
203,697,7,272,14,0.82
204,705,3,274,8,0.82
205,704,4,267,14,0.82
206,699,8,270,12,0.82
207,712,5,261,9,0.82
208,708,6,260,13,0.82
209,711,4,254,18,0.82
210,702,8,253,22,0.82
211,696,5,271,12,0.82
212,698,5,268,12,0.82
213,697,8,266,12,0.82
214,693,7,269,14,0.82
215,704,3,265,10,0.82
216,695,4,265,18,0.82
217,698,3,266,14,0.82
218,695,5,265,16,0.82
219,701,3,268,9,0.82
220,695,3,269,14,0.82
221,705,3,262,10,0.82
222,702,3,258,16,0.82
223,697,13,260,9,0.82
224,699,10,255,15,0.82
225,710,6,247,15,0.82
226,699,9,250,20,0.82
227,692,5,265,16,0.82
228,705,2,261,10,0.82
229,709,6,249,14,0.82
230,702,3,252,20,0.82
231,703,5,258,10,0.82
232,707,6,250,13,0.82
233,697,5,253,21,0.82
234,701,5,255,15,0.82
235,707,4,255,9,0.82
236,702,5,252,16,0.82
237,703,8,246,16,0.82
238,694,8,257,13,0.82
239,697,4,258,12,0.82
240,697,6,255,12,0.82
241,689,8,260,13,0.82
242,688,7,260,15,0.82
243,695,2,263,9,0.82
244,704,3,251,11,0.82
245,700,6,246,17,0.82
246,696,5,252,16,0.82
247,700,6,250,13,0.82
248,692,6,258,13,0.82
249,689,5,262,12,0.82
250,693,5,260,9,0.82
251,706,1,252,7,0.82
252,698,4,246,18,0.82
253,696,2,255,11,0.82
254,697,10,250,6,0.82
255,703,7,243,10,0.82
256,706,5,234,14,0.82
257,706,4,233,15,0.82
258,700,14,234,10,0.82
259,698,4,238,18,0.82
260,700,9,237,12,0.82
261,697,5,241,14,0.82
262,698,3,238,17,0.82
263,692,10,237,16,0.82
264,689,6,246,13,0.82
265,694,6,249,5,0.82
266,693,4,242,15,0.82
267,700,2,242,10,0.82
268,699,6,233,15,0.82
269,698,5,234,16,0.82
270,689,4,243,16,0.82
271,703,1,237,9,0.82
272,706,3,228,13,0.82
273,702,6,230,12,0.82
274,699,5,227,19,0.82
275,683,6,240,20,0.82
276,688,3,247,10,0.82
277,693,5,244,6,0.82
278,688,3,241,16,0.82
279,691,4,242,10,0.82
280,696,2,240,9,0.82
281,700,3,235,9,0.82
282,693,5,234,15,0.82
283,697,2,235,13,0.82
284,700,4,231,12,0.82
285,695,4,229,18,0.82
286,686,3,241,16,0.82
287,690,4,243,9,0.82
288,687,0,243,15,0.82
289,695,1,238,11,0.82
290,693,6,237,9,0.82
291,700,6,228,10,0.82
292,693,7,226,18,0.82
293,696,2,235,11,0.82
294,698,1,233,12,0.82
295,695,6,231,12,0.82
296,698,2,229,15,0.82
297,696,3,234,11,0.82
298,697,2,234,11,0.82
299,701,2,230,11,0.82
300,693,5,230,15,0.82
301,700,7,228,8,0.82
302,699,3,222,18,0.82
303,691,8,230,13,0.82
304,699,2,231,9,0.82
305,701,4,224,12,0.82
306,701,7,220,12,0.82
307,701,3,220,16,0.82
308,696,4,224,16,0.82
309,696,2,226,14,0.82
310,695,2,227,14,0.82
