,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1151,0,0,0,0.82
1,657,443,0,51,0.82
2,485,614,49,1,0.4644736964307951
3,558,493,77,21,0.36070537271734027
4,517,533,97,1,0.41272034566462257
5,587,416,120,25,0.3900005125005549
6,557,448,141,0,0.4397442235826958
7,605,358,163,19,0.4243575507237417
8,595,372,177,1,0.46029437835466924
9,607,315,199,24,0.4561235146413477
10,597,331,216,0,0.46804277640843356
11,618,268,233,25,0.4647095222508058
12,621,278,245,0,0.4817883042046185
13,635,226,253,27,0.48594437311459565
14,623,245,270,1,0.4977971573260483
15,639,189,286,24,0.4933380467641831
16,636,206,294,1,0.5073687215138931
17,642,162,304,28,0.5070748308484209
18,637,176,323,0,0.5132747390024719
19,645,135,327,29,0.5132462193418686
20,652,148,334,1,0.5194230039902146
21,650,116,339,30,0.5258011256224969
22,660,121,352,0,0.5253175485252809
23,658,87,365,23,0.5351876444751232
24,655,101,376,0,0.536121384984042
25,664,61,376,31,0.5363442259215816
26,675,77,379,1,0.54256679997994
27,663,53,389,25,0.550749389788553
28,674,69,384,1,0.5448630816897713
29,667,48,386,26,0.5523093444769016
30,671,62,391,2,0.548124419199782
31,670,36,391,29,0.5521451673519345
32,666,56,399,4,0.5514470768593615
33,677,21,397,30,0.5504238571100617
34,693,35,392,4,0.5577556211848601
35,680,23,388,33,0.5684891780878496
36,683,40,394,6,0.5586043896173778
37,667,27,410,18,0.5621314338918351
38,695,30,391,6,0.554104333294593
39,689,26,378,28,0.5704355358559963
40,675,45,393,8,0.5642189236066437
41,681,31,387,21,0.5570214855425616
42,689,41,376,13,0.5605207648135613
43,687,32,378,20,0.5645669905247372
44,683,48,372,12,0.5642107785351629
45,681,36,377,21,0.5610130157004751
46,689,38,379,9,0.5604885727575772
47,689,36,369,21,0.5665150953992965
48,690,43,366,14,0.5647340354514251
49,691,38,363,20,0.5656208836427413
50,691,47,364,10,0.5661549626311055
51,685,48,357,21,0.5663330686258926
52,676,51,367,16,0.5611719155556822
53,681,39,378,12,0.5569264528618343
54,681,32,381,16,0.5624262978493445
55,693,22,383,12,0.562960615833706
56,693,20,384,13,0.5718592378136221
57,699,29,369,13,0.5720373438084094
58,688,35,366,19,0.5736611728495844
59,681,45,366,16,0.565977405470074
60,673,39,375,20,0.5609959181322778
61,687,34,371,13,0.5572826648514086
62,694,32,363,14,0.567226587884894
63,678,43,365,17,0.5715345116570878
64,686,37,366,12,0.5604578228437266
65,681,40,364,13,0.5670555178722533
66,687,34,362,15,0.5642006800377751
67,683,34,362,17,0.568139887011183
68,687,36,355,15,0.5659938370144347
69,674,39,366,14,0.5687041893898424
70,690,28,363,11,0.5613476456260885
71,677,37,363,15,0.5726548576664833
72,676,35,366,14,0.5633152919817234
73,679,26,373,11,0.5634933979765105
74,678,29,368,13,0.5676106447058128
75,681,19,370,18,0.5663639027423029
76,690,24,362,11,0.5688753748815801
77,679,24,365,18,0.5743087945574327
78,683,22,371,9,0.5672724209284957
79,672,16,372,23,0.5715862216977605
80,678,22,374,9,0.5645777671154402
81,681,19,366,16,0.5692458921094039
82,686,25,358,12,0.5703487334449694
83,690,24,345,21,0.5729076565093223
84,692,32,343,12,0.5738658358274079
85,692,24,342,21,0.5753370626988384
86,680,38,346,12,0.5751589567040513
87,671,37,353,13,0.5682648075933585
88,680,26,356,12,0.5637407732629931
89,681,23,357,11,0.5707829549966652
90,683,25,352,11,0.5724264962167083
91,680,25,348,18,0.5733619519702717
92,685,26,347,12,0.5704673302740497
93,683,25,340,20,0.5743017774905025
94,682,30,342,14,0.572342611547844
95,687,28,338,13,0.5719694802652727
96,676,32,342,15,0.5756603429822894
97,682,21,345,16,0.5687157368525491
98,673,22,354,15,0.5739992617004678
99,675,19,355,15,0.5690424823157526
100,677,18,353,16,0.5706749027952075
101,667,23,362,12,0.5717749428030956
102,673,15,362,14,0.5661159187972242
103,686,9,356,11,0.5704673302740497
104,680,11,352,19,0.579641263345066
105,676,21,352,11,0.5745335796848292
106,691,10,341,18,0.5723600198056895
107,694,18,335,12,0.5814077707334658
108,688,24,329,18,0.5829371947236779
109,693,28,326,11,0.5774401931184391
110,688,36,315,17,0.5809780287810193
111,677,35,329,15,0.5760899727915777
112,688,25,334,8,0.5704952691334624
113,693,22,325,14,0.5798560879784166
114,676,30,327,20,0.5823375132608918
115,683,23,333,13,0.5705364972690831
116,684,17,332,18,0.5771332268585745
117,685,23,326,15,0.5780750280305452
118,685,25,326,12,0.5785119623975539
119,675,28,331,13,0.5788961033367052
120,680,28,327,12,0.5727855713499921
121,678,28,328,13,0.5757596500983123
122,674,22,332,19,0.5744616369367673
123,669,22,344,12,0.5722278907047261
124,668,18,346,12,0.5706937408024979
125,681,16,338,9,0.5714483875848576
126,660,17,344,21,0.5796085273158538
127,672,12,351,7,0.5659844919350465
128,679,9,337,17,0.5760397153573311
129,684,14,329,15,0.5787179973419181
130,680,14,327,20,0.5810026190245864
131,689,19,322,10,0.5780629693860004
132,683,23,315,19,0.5842584539474451
133,678,28,318,16,0.5785401526799374
134,678,29,319,13,0.5753624247755844
135,668,31,326,14,0.5759256974485547
136,679,19,326,14,0.569781635342592
137,684,18,319,16,0.578300528643631
138,675,23,317,21,0.5811628962728568
139,675,23,319,19,0.5745008494902576
140,672,25,324,15,0.5748570614798318
141,679,18,324,13,0.5735249945435139
142,673,14,331,15,0.5794942728332143
143,680,15,326,9,0.5766675904288778
144,679,19,312,20,0.5821558443660143
145,667,24,324,14,0.5789152741038309
146,672,15,329,13,0.5725127288589902
147,667,15,333,14,0.5771153047216403
148,668,11,337,11,0.5741156828120745
149,677,13,324,11,0.5763413627009724
150,666,20,328,10,0.5815143181691106
151,677,13,318,15,0.574412697217462
152,671,19,322,11,0.5812311067165645
153,669,15,324,14,0.577456287051858
154,679,8,321,13,0.5767102464031783
155,674,17,316,13,0.5840550304591076
156,675,11,314,20,0.5798062587582673
157,668,10,320,21,0.5801997614913501
158,677,9,319,13,0.5764217901768108
159,674,11,317,16,0.5833820135113168
160,674,16,317,10,0.5807718982073458
161,675,11,314,15,0.5811664576502841
162,676,16,310,10,0.5821752094012733
163,676,18,308,9,0.5834089180359544
164,680,16,300,14,0.5834515196099792
165,668,20,304,18,0.5854536161036463
166,682,11,304,13,0.5771088966624092
167,681,17,296,16,0.5876830587395998
168,676,20,302,12,0.5854994326983617
169,676,17,303,12,0.582782231737874
170,683,20,290,15,0.5837606397033447
171,677,21,296,13,0.5867567141880645
172,671,27,300,9,0.5836725561557751
173,676,19,293,18,0.5798467981402115
174,674,20,295,16,0.5827820261818393
175,671,17,302,15,0.582024322676514
176,667,16,308,14,0.5810011717900025
177,666,11,309,17,0.5790507723113467
178,667,9,318,8,0.579270412544643
179,667,15,310,9,0.582026671651682
180,672,8,310,10,0.5810011717900025
181,669,12,304,15,0.5851895748125797
182,676,8,301,15,0.581846216681727
183,671,10,305,13,0.5866271162629327
184,675,11,296,15,0.5839428328490698
185,672,6,304,14,0.5861914327602553
186,664,14,304,12,0.5857365862889969
187,671,10,301,12,0.5804666482496065
188,679,13,289,12,0.5852513157244141
189,669,17,294,13,0.5896353842183435
190,670,15,297,11,0.5828868903724027
191,683,13,288,8,0.5841826797556913
192,673,19,284,16,0.592940857317296
193,673,19,286,14,0.5845623743661756
194,676,15,281,18,0.58491858635575
195,672,20,287,10,0.5871419002913235
196,672,15,285,15,0.5855569410422219
197,675,13,287,11,0.5860193529486384
198,677,9,284,16,0.5890879402704962
199,675,16,280,14,0.5900911614007016
200,666,18,285,15,0.5882534854866157
201,681,10,278,15,0.5826549564301119
202,672,16,278,17,0.5929356869602384
203,671,14,283,14,0.586416350348689
204,659,17,290,15,0.5869506683330504
205,666,9,292,13,0.5794234049583439
206,675,7,282,14,0.5855389463382392
207,674,13,278,11,0.5915108390019412
208,677,9,275,13,0.5908588103975153
209,663,16,281,14,0.5934842343885924
210,673,7,282,10,0.583744760426882
211,665,17,279,10,0.5924680741804252
212,668,7,282,14,0.5861678144858915
213,668,12,282,8,0.5890173550749211
214,664,12,282,12,0.5894339624392181
215,674,8,279,9,0.5863459204806786
216,665,15,276,14,0.5935478536593102
217,670,7,280,12,0.5860484857877005
218,667,13,282,7,0.5910432262221281
219,680,10,267,12,0.5890777504496438
220,669,20,261,19,0.5965016146495987
221,669,18,267,13,0.5868847785910712
222,670,14,272,11,0.5887903951461388
223,670,14,268,14,0.590456432477211
224,677,8,262,18,0.5901638397583546
225,675,13,263,13,0.594966538689857
226,668,13,264,18,0.5940081307225789
227,658,14,279,12,0.5891593582776558
228,678,7,271,7,0.584089319845042
229,677,10,259,15,0.598201138118056
230,674,11,261,14,0.5961338492134165
231,661,15,267,16,0.594569559627346
232,666,11,272,10,0.5859406992295446
233,666,7,271,14,0.5907141179244162
234,668,7,271,12,0.5909579795280424
235,670,5,269,13,0.5925159338781321
236,673,6,265,13,0.5941444147337742
237,679,8,259,11,0.5957776372238424
238,677,9,254,15,0.5994143787452498
239,668,13,262,12,0.5978114247921654
240,671,13,261,9,0.5921852487911157
241,668,13,261,11,0.5947795074135115
242,669,10,262,10,0.5928579582744419
243,670,13,255,13,0.5946724293301388
244,670,11,258,12,0.5942096595761313
245,664,8,260,19,0.5947439775604927
246,669,16,259,5,0.5904041888432442
247,659,8,258,24,0.5949941506077404
248,665,9,265,9,0.5869946480397306
249,675,5,259,8,0.5933546594552143
250,669,8,256,14,0.6005761311365403
251,664,11,261,11,0.5953179408651454
252,667,7,265,7,0.5922860234864914
253,664,9,261,12,0.5957791589006199
254,665,6,264,11,0.5927132633874801
255,671,7,254,13,0.5940315535813442
256,664,4,264,12,0.5973965220797611
257,668,7,258,10,0.5941036206338047
258,658,11,258,15,0.596608953223728
259,663,7,259,13,0.589187715416718
260,668,8,252,14,0.5932856749736
261,668,9,253,12,0.595971674121464
262,669,10,251,9,0.5961497801162511
263,659,13,253,14,0.5978802515393085
264,672,5,251,11,0.5903633947432747
265,676,4,244,14,0.600251975675091
266,670,10,245,12,0.6026116692740344
267,678,6,237,15,0.5984709157272196
268,675,14,236,11,0.6038312163538141
269,675,9,236,16,0.6012683683501934
270,674,16,236,8,0.6012683683501934
271,662,19,238,14,0.6013503889894987
272,677,11,235,10,0.5926380194730417
273,665,17,236,13,0.603998521250253
274,666,12,238,14,0.5955222489453289
275,665,9,244,12,0.5971068282714693
276,665,6,249,9,0.5973829319547581
277,664,5,246,14,0.5987097822245536
278,665,12,245,7,0.5973829319547581
279,662,13,241,12,0.597997358245405
280,666,10,240,12,0.5953441429505416
281,661,6,241,17,0.5983371253991431
282,665,4,247,9,0.5958600863079594
283,670,2,240,13,0.6001036470259886
284,665,9,239,11,0.6028361188822862
285,657,7,246,14,0.5991175021601706
286,661,7,247,8,0.594018265857541
287,663,7,241,12,0.5978028074147815
288,665,5,240,11,0.5983225870781173
289,670,8,236,7,0.6006145073492972
290,667,7,233,14,0.6038903960349647
291,661,12,236,12,0.6009617458141785
