,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1119,0,0,0,0.82
1,697,352,0,70,0.82
2,540,507,70,1,0.5061132849303221
3,567,417,91,39,0.40986904901649573
4,544,440,128,2,0.43318928603710555
5,603,313,164,34,0.42440579790840943
6,598,323,192,0,0.4712520554901107
7,626,234,218,33,0.4732508176159048
8,639,222,249,0,0.498152141012368
9,630,166,271,43,0.51331824518851
10,648,152,308,2,0.5110057448521143
11,652,88,330,38,0.5305016199237891
12,664,90,352,0,0.5380670270799062
13,662,47,363,34,0.551380808315829
14,661,55,385,4,0.5519600563318243
15,663,15,403,23,0.5556240420333435
16,666,23,407,6,0.560709788887078
17,661,7,413,21,0.5643093330559424
18,656,10,418,18,0.5618089845975337
19,654,5,424,19,0.5591361822474381
20,655,6,425,16,0.5588028307441453
21,662,10,419,10,0.5597020926241009
22,666,5,415,14,0.5639803008238902
23,667,7,407,19,0.5664849931747915
24,673,3,402,19,0.5657414882016295
25,677,5,400,14,0.5702450718516818
26,682,7,396,11,0.5731495824025504
27,678,10,387,21,0.5760655645430325
28,679,15,385,16,0.5714968244984083
29,686,5,377,24,0.5722230748780052
30,682,12,380,18,0.576981507349096
31,682,13,381,14,0.5745961765937577
32,697,7,364,21,0.5755130959996788
33,700,11,357,19,0.5838335273766458
34,685,20,356,26,0.5855319330318175
35,683,21,362,20,0.5742448770587862
36,687,13,363,21,0.5742413183828549
37,690,15,361,18,0.5781171044097309
38,687,13,367,16,0.5799699694672358
39,677,13,367,24,0.5792227676514132
40,677,15,376,12,0.572589446313205
41,678,6,378,17,0.5746077169530068
42,680,12,376,11,0.5760809100845845
43,680,8,367,24,0.5771896359448572
44,681,9,373,15,0.5755408423791736
45,678,9,373,18,0.577750705839579
46,687,4,374,13,0.5755358352294386
47,685,9,367,17,0.582376860927968
48,676,9,369,23,0.5796115106714327
49,675,8,374,19,0.5736993193785971
50,682,11,366,17,0.574248917233825
51,686,11,358,20,0.5779547773314003
52,693,13,351,17,0.5798314158757374
53,680,15,353,24,0.5841424264535354
54,678,13,368,12,0.5755895595482277
55,682,6,364,18,0.5772299199654451
56,684,7,363,13,0.5798418355880808
57,680,6,358,22,0.5822830491193209
58,682,6,364,14,0.5787649802796032
59,685,10,355,16,0.5813541205935181
60,688,9,348,21,0.5819440350326239
61,686,12,349,16,0.5829049279808179
62,691,8,347,15,0.5827377178760801
63,696,12,336,17,0.5868944860485028
64,681,23,336,21,0.588649205693845
65,685,14,337,24,0.5773785078385453
66,681,20,342,15,0.5809392464280361
67,682,13,343,20,0.5796233300297887
68,687,11,341,17,0.5805558295664526
69,679,15,346,16,0.5847162299211089
70,683,11,346,16,0.5796233300297887
71,681,9,347,18,0.5826236270870716
72,678,12,341,23,0.5816895782838096
73,677,11,355,10,0.5787238367156929
74,683,5,349,16,0.5809222281366044
75,680,10,353,10,0.5843296960574393
76,674,5,357,17,0.5828068263721475
77,679,5,357,12,0.5790422664905198
78,685,5,348,14,0.5827887739942653
79,684,6,340,21,0.5860404679965419
80,686,6,333,25,0.5842084751457823
81,678,5,345,22,0.5848247867562452
82,675,11,352,11,0.5809934047943306
83,669,10,355,14,0.5804071832882779
84,680,5,350,13,0.5768438750696082
85,684,2,342,20,0.584187291123447
86,682,5,345,16,0.5857407831816249
87,685,6,339,16,0.5847797831817594
88,676,9,344,16,0.5867282605639
89,690,9,333,13,0.5812354435046656
90,692,5,322,26,0.5898168365872556
91,693,17,319,16,0.5893240081793325
92,682,15,320,26,0.589536404627832
93,670,16,341,16,0.5821482784370011
94,672,10,348,13,0.5769444492497168
95,682,4,341,15,0.5797301011935102
96,685,6,331,20,0.5863867537642419
97,692,8,323,17,0.5868310379176482
98,688,9,323,20,0.5914906268918294
99,689,8,326,15,0.5884372089173764
100,674,18,333,11,0.5905432549349985
101,680,6,335,15,0.581207923398958
102,685,10,326,14,0.5861252764570827
103,688,5,323,18,0.5886804326869008
104,688,10,315,19,0.5908222232333856
105,668,16,326,20,0.590156016029782
106,669,5,343,12,0.5777271369825148
107,677,4,331,17,0.5819899709224189
108,686,6,324,13,0.5858724189263129
109,681,5,319,24,0.5914725320741077
110,671,9,328,20,0.5867274454798544
111,686,9,319,13,0.5811518600802934
112,683,6,317,19,0.5913592317425468
113,674,10,322,19,0.5894920129642768
114,680,8,325,11,0.5835205684215805
115,679,9,323,13,0.5890568203193262
116,682,5,319,17,0.5879240545982017
117,692,6,311,14,0.5898936374619391
118,683,9,307,21,0.5961388754005267
119,677,8,317,17,0.5896736895628765
120,674,6,321,18,0.5872936215433653
121,679,11,318,11,0.5857256631772904
122,676,12,313,17,0.589013420774687
123,680,7,317,12,0.5861944258329095
124,676,6,316,18,0.5908108890271548
125,677,8,315,16,0.5875478264940792
126,663,13,322,18,0.5881337587915785
127,674,8,327,7,0.5786984496449268
128,677,5,317,17,0.5880264186836691
129,676,8,317,14,0.5885001573617304
130,680,6,312,17,0.5881337587915785
131,682,5,307,19,0.590299853039841
132,675,11,313,14,0.5917420925587036
133,691,12,297,13,0.5874378516752218
134,682,10,304,17,0.596897864124197
135,678,10,303,21,0.5911924947034757
136,675,5,314,18,0.5883237816953101
137,668,9,320,15,0.5880248959971929
138,676,4,316,14,0.5837440410521233
139,670,3,314,20,0.5899725752609938
140,680,2,312,12,0.5861929031464332
141,671,10,315,10,0.5939697394403499
142,676,3,313,14,0.5875518637637015
143,675,7,304,18,0.5910506596260349
144,666,9,313,15,0.5894437929560892
145,673,7,313,9,0.5845441095807495
146,677,6,306,13,0.5903597893814689
147,673,10,301,18,0.5921819309569816
148,674,3,309,16,0.5881613979605573
149,680,3,307,10,0.5904022796585511
150,678,7,302,13,0.5955257410123557
151,679,5,296,20,0.5930506791376019
