,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1167,0,0,0,0.82
1,698,406,0,63,0.82
2,505,597,61,2,0.4861387750408097
3,573,468,90,33,0.371020007310286
4,548,491,123,0,0.41977813989376933
5,596,383,153,30,0.410072386577306
6,598,383,180,1,0.44638914065918756
7,614,313,200,34,0.45243938217170754
8,616,317,224,1,0.4667607999010015
9,633,244,249,30,0.47322146404814824
10,637,253,266,0,0.48951689754831335
11,639,204,276,37,0.49517200419271973
12,645,207,302,1,0.49826503626415936
13,650,150,320,33,0.5071688906323628
14,661,151,339,1,0.5143327795187653
15,665,102,354,31,0.5254239140221001
16,674,106,369,2,0.5307719327871265
17,670,59,392,30,0.5398638994881574
18,655,85,408,1,0.5411763922452264
19,661,44,419,24,0.5344597475386849
20,657,56,431,4,0.5407847862575635
21,658,23,439,28,0.5401796980837968
22,665,33,443,6,0.5422627318026703
23,666,16,444,19,0.54804893430037
24,662,24,445,13,0.5495660995547172
25,665,12,449,18,0.5473462779164797
26,669,10,449,16,0.5500930918426351
27,667,13,448,15,0.5528238712296315
28,672,16,439,15,0.5516136197508544
29,676,13,436,17,0.5537865637385838
30,691,15,423,13,0.5560040636901283
31,693,19,412,17,0.5640682035466017
32,682,27,412,20,0.5638649495904938
33,690,24,407,18,0.5562546510234522
34,692,32,395,18,0.5615901054817267
35,689,30,391,27,0.5615574077996927
36,685,35,398,17,0.558770690807289
37,685,27,405,18,0.5579103564744031
38,688,28,400,17,0.5591400051462112
39,699,17,396,21,0.5610304155117748
40,697,23,396,16,0.568001320476552
41,700,20,395,17,0.5669502921065539
42,691,23,396,22,0.5688750060236709
43,695,20,400,17,0.5627609593922916
44,696,20,400,16,0.5662548197387217
45,685,21,403,23,0.5669536725720682
46,682,29,408,13,0.5598162952787569
47,693,17,403,19,0.5586130128582935
48,697,18,400,16,0.5653853709182411
49,683,25,402,21,0.568001320476552
50,682,18,409,20,0.5585950267113164
51,683,23,400,21,0.559816295278757
52,675,25,407,19,0.5596179567452594
53,671,20,416,19,0.5556363269399179
54,670,19,420,16,0.5544491369299441
55,681,9,420,15,0.5548004651218892
56,677,14,416,18,0.5624285822808206
57,664,23,422,14,0.5589463549032616
58,674,11,420,17,0.551687384528165
59,687,9,414,12,0.5585950267113164
60,689,18,390,23,0.5665989639146086
61,684,19,398,18,0.5644817272478425
62,681,14,401,23,0.562734353803212
63,685,15,403,15,0.5611647864167887
64,689,16,397,16,0.5646611718818361
65,699,12,384,21,0.5664119676067738
66,690,23,390,13,0.5718817252388219
67,692,19,384,21,0.5665877724260503
68,691,24,383,17,0.56694136665126
69,685,15,387,27,0.5664143743633423
70,688,16,390,18,0.5632500138792674
71,683,17,396,14,0.5665900384593149
72,699,13,383,15,0.564830651289463
73,683,22,378,25,0.573850039401987
74,687,23,384,14,0.5623727491347321
75,685,14,385,23,0.566245391118936
76,679,21,385,21,0.5653644045512776
77,670,14,400,20,0.5614930334659841
78,689,13,390,10,0.5585154592940327
79,687,11,381,21,0.5708499497055598
80,668,19,391,22,0.5685663164579163
81,681,14,391,13,0.5569298474975354
82,681,17,385,16,0.5664317023574563
83,678,15,391,15,0.5653777177816208
84,681,10,390,16,0.5643130860632376
85,685,12,382,17,0.5669680118339762
86,684,11,383,17,0.5687557806187822
87,680,12,384,18,0.5685801165228096
88,700,7,368,19,0.5662764588071617
89,694,16,367,17,0.5777302674880226
90,682,21,366,23,0.5732558735013922
91,683,23,364,19,0.5652500766798558
92,685,25,363,14,0.5666902479862685
93,675,19,368,23,0.5686647413430946
94,684,19,368,13,0.5631421075281848
95,678,18,365,22,0.5699182556779131
96,680,20,371,12,0.5654704563597243
97,678,15,373,17,0.5679508467125272
98,689,12,363,18,0.5668757691275049
99,679,12,366,24,0.5733541079872859
100,683,12,372,12,0.5670837644793414
