,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1141,0,0,0,0.82
1,632,458,0,51,0.82
2,512,578,48,0,0.45123954372238556
3,574,467,76,21,0.3810250770719538
4,530,514,93,0,0.42676947840707946
5,564,432,114,27,0.4011210935122987
6,554,449,134,0,0.42726306166623607
7,587,369,153,27,0.42424493025142673
8,579,384,172,0,0.44989511599263443
9,596,323,188,27,0.4482698215219414
10,589,337,207,0,0.4628487366066944
11,603,284,212,33,0.46187082987557165
12,604,294,233,0,0.4725117581307113
13,617,240,247,26,0.47727778426385087
14,612,253,265,0,0.48893721654348604
15,626,203,268,32,0.48876963136129203
16,625,217,287,0,0.4991797324863519
17,615,188,299,27,0.5019089580073581
18,615,196,318,0,0.49723956987256795
19,623,153,326,27,0.5006532420899212
20,642,150,336,0,0.5075481251394632
21,656,111,333,28,0.5227279768856693
22,651,126,351,0,0.5318963156635301
23,652,92,350,32,0.5316548852901146
24,659,114,351,1,0.532840660716244
25,654,88,354,28,0.5382356085660758
26,651,108,363,1,0.535624857413501
27,668,67,353,35,0.5354896548396914
28,665,92,365,0,0.5455826281173277
29,673,61,361,27,0.5459745278599197
30,661,94,364,2,0.5508847439479191
31,656,68,374,21,0.543331402599056
32,669,78,369,1,0.542308887333777
33,678,45,365,29,0.5512308717377905
34,665,79,370,2,0.5568802041729617
35,663,57,367,29,0.5489360611642228
36,675,65,374,2,0.5469890255306947
37,683,44,363,26,0.5567198071585221
38,676,76,361,2,0.5604260127491139
39,671,56,359,29,0.5554428685024971
40,679,67,365,4,0.5515415482716719
41,673,46,370,25,0.5582918378260285
42,683,58,368,4,0.5552824714880576
43,698,34,352,27,0.5623844279251452
44,690,63,352,4,0.5709823264201148
45,686,50,343,29,0.5659460312486161
46,679,74,352,3,0.5618169962076387
47,679,52,352,24,0.5584266551586294
48,678,69,356,4,0.5587813285533955
49,677,45,364,20,0.5587859890762455
50,675,67,363,1,0.5598639908290939
51,690,37,357,21,0.558257625440185
52,673,62,363,6,0.5682836249646186
53,677,40,366,21,0.5575389576049526
54,672,53,369,10,0.5609331119417129
55,682,33,368,20,0.5579042657307308
56,664,56,373,9,0.5652291171308103
57,671,36,375,20,0.5536372032753187
58,668,47,376,10,0.5589762932754171
59,682,30,370,19,0.5573716744493769
60,672,51,368,10,0.5663053651662322
61,672,37,378,12,0.5587859890762455
62,685,38,366,10,0.5612924458593291
63,676,34,369,20,0.5684649114597131
64,674,47,366,10,0.5625376632840232
65,669,43,364,20,0.5612799945723669
66,679,40,366,11,0.5576991066831678
67,675,37,366,18,0.5652274165729163
68,673,39,373,11,0.5623544457898811
69,678,26,373,18,0.5621783293664072
70,682,32,367,13,0.5661257513669565
71,688,22,368,15,0.5682898588304928
72,674,38,368,12,0.5731715886113721
73,677,28,369,18,0.563430493916865
74,673,37,370,12,0.5657682875413057
75,681,26,364,21,0.563071359907687
76,670,44,361,17,0.5677538552557915
77,676,33,370,11,0.5593016587843258
78,677,39,359,14,0.5659495740364002
79,672,37,359,21,0.5650558535719478
80,689,32,359,8,0.5614544104379469
81,670,40,358,20,0.5741145409939684
82,670,44,364,10,0.5601964886583198
83,664,40,362,20,0.5612744904111682
84,665,36,371,13,0.5573253222374371
85,673,27,369,16,0.5600176732356835
86,684,28,361,12,0.5654151874895639
87,680,38,350,17,0.5719417713928164
88,683,42,344,16,0.567062912011898
89,684,43,344,12,0.568161094154809
90,682,46,339,15,0.5696228670237669
91,667,58,340,16,0.567637909702369
92,683,43,339,13,0.5573255600136131
93,669,52,340,13,0.5698417962458321
94,683,37,341,13,0.56131356933004
95,690,36,334,13,0.571685433549784
96,676,48,333,15,0.5759351354265704
97,676,43,340,13,0.5658785882548705
98,666,44,341,19,0.5671362569665269
99,663,42,348,16,0.560780824337963
100,667,35,356,10,0.5602297809476618
101,670,27,358,12,0.5649347599993021
102,663,29,359,15,0.5678448702763541
103,673,19,361,12,0.5633028881440317
104,678,18,351,16,0.571313631050999
105,671,25,354,11,0.5739265061610889
106,666,21,354,20,0.5700813859557585
107,662,17,368,14,0.566428124028479
108,669,10,363,17,0.5660295278476055
109,677,13,356,13,0.5709797207497989
110,680,20,343,16,0.5755926912635765
111,673,22,347,16,0.5754666811893133
112,687,20,333,17,0.5714111687377761
113,677,27,332,20,0.5796074823657873
114,674,27,338,15,0.5724123428895762
115,669,31,339,15,0.5720346242435708
116,668,31,344,11,0.5685364973968471
117,673,23,344,14,0.5687007590343217
118,674,25,342,12,0.5723760729199198
119,678,23,335,17,0.5731310107248084
120,670,31,339,12,0.5748265701547601
121,663,32,341,15,0.5700230155405265
122,665,25,347,14,0.5656170862394799
123,665,20,346,18,0.5681617581578976
124,660,22,353,12,0.5687320633086025
125,653,23,359,12,0.5670688435296216
126,680,16,339,12,0.5630254683028527
127,687,16,328,16,0.579320011397985
128,675,23,329,18,0.5825600685857633
129,684,18,330,11,0.5745768075191615
130,670,25,329,19,0.5822293427580041
131,672,19,335,16,0.5716348699705023
132,662,17,347,16,0.5745768075191616
133,657,17,357,11,0.5693396198614499
134,674,6,346,15,0.5674584956439986
135,671,11,343,16,0.5784216766039446
136,665,13,344,19,0.5756548092720098
137,664,16,351,10,0.5713925037673968
138,668,8,346,17,0.5719116145462494
139,675,14,341,7,0.5747335431177966
140,673,12,327,24,0.5798094107466379
141,673,22,329,11,0.5761890241798211
142,682,18,322,12,0.576934739405709
143,680,26,316,11,0.58280361041803
144,686,23,306,16,0.5806153228434695
145,675,37,302,17,0.5841224593472127
146,670,36,311,11,0.5751316260434622
147,672,33,310,13,0.5741734599409468
148,670,27,316,15,0.5754909599610784
149,677,16,322,12,0.5750717947349872
150,678,19,316,13,0.5817917643967914
151,683,17,314,12,0.581860042867729
