,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1108,0,0,0,0.82
1,670,365,0,73,0.82
2,542,492,69,1,0.4914059202266139
3,574,389,107,33,0.4157036003935859
4,565,401,135,0,0.4449903868385954
5,597,301,169,33,0.4446028399608361
6,604,301,193,0,0.473427016453333
7,626,213,225,34,0.48343929286491466
8,631,218,247,1,0.5049155027030907
9,632,152,279,34,0.5128907250822717
10,646,153,295,1,0.5195251722648117
11,637,100,317,41,0.5332227476983015
12,644,101,348,1,0.5308241801868766
13,644,40,372,36,0.5419382239938284
14,659,40,391,2,0.5470798955417787
15,648,13,404,27,0.5614597699060931
16,647,15,420,10,0.5558881842732984
17,642,9,420,21,0.5581259057466652
18,655,2,421,14,0.5545194514306515
19,649,9,413,21,0.5641035372548162
20,655,7,411,18,0.558276342642865
21,650,7,411,22,0.5626093539410894
22,648,6,421,15,0.559337806856161
23,651,3,418,17,0.5597398406675864
24,649,4,418,18,0.56171277943239
25,656,4,416,13,0.5602628971088686
26,649,7,410,23,0.5649751128663819
27,653,12,407,16,0.5587827527045364
28,659,4,405,19,0.5614856459972045
29,655,13,402,17,0.5658432945052668
30,668,6,397,16,0.5623725864049671
31,670,10,385,22,0.5709498341769056
32,682,11,378,16,0.5701983760282845
33,674,15,369,28,0.5777552529858291
34,678,11,382,13,0.5705481105127387
35,670,7,378,29,0.576644934024395
36,677,10,386,10,0.569999770736408
37,677,12,378,16,0.577014970125478
38,677,16,365,25,0.5755348257211459
39,660,24,380,19,0.5731295910641061
40,672,13,376,22,0.5633924033794667
41,671,10,388,14,0.5714705508306791
42,675,10,378,20,0.5729533451697784
43,665,15,384,18,0.5740556992220627
44,674,6,377,24,0.5681631774723277
45,665,17,380,17,0.5738699328062448
46,671,13,376,19,0.5685196263320759
47,661,15,389,14,0.5722055187166475
48,670,8,386,15,0.5672435483279737
49,666,11,385,16,0.5733168528373882
50,658,7,394,19,0.5705481105127387
51,670,8,390,10,0.5663307701118
52,666,10,384,18,0.5744257353231458
53,684,3,376,13,0.5703630924621971
54,684,11,362,19,0.5829828185359943
55,676,11,364,24,0.580392565828413
56,673,14,368,20,0.5751764252120897
57,677,13,367,17,0.57368838276022
58,680,16,360,18,0.576849299712413
59,672,15,367,20,0.5777896553802796
60,673,14,371,14,0.5731333286085954
61,675,13,369,15,0.5753614432626313
62,670,7,375,20,0.5764792636113301
63,667,9,379,16,0.5738734008107615
64,678,9,372,12,0.5727604578500648
65,672,13,372,13,0.579645915769387
66,679,10,362,19,0.5755500717561365
67,671,9,370,20,0.5789194986116204
68,667,11,371,18,0.5744363530099237
69,667,12,370,17,0.5727680699045864
70,669,4,373,19,0.5729562086055916
71,668,3,369,25,0.5753737494358518
72,663,8,376,16,0.5738890109037488
73,659,10,379,15,0.5722130157529618
74,664,4,377,18,0.5698001690414006
75,665,11,373,13,0.5731412266561331
76,674,5,365,18,0.5735189748026658
77,668,15,362,17,0.578758721651106
78,679,7,362,13,0.5737192582683663
79,663,10,365,23,0.5823362109422902
80,666,4,377,14,0.5709246204925985
81,669,8,373,11,0.5753788374532844
82,676,5,362,18,0.5768772228681244
83,676,4,358,22,0.5800826317269567
84,667,16,360,17,0.5797232059468664
85,663,14,365,18,0.5733553020509754
86,665,8,366,19,0.5712987581961675
