,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1109,0,0,0,0.82
1,658,396,0,55,0.82
2,455,597,53,2,0.4823053361862033
3,520,479,80,28,0.35369144056600077
4,486,513,106,2,0.4018969326691506
5,543,404,131,28,0.38396946622975703
6,535,417,151,1,0.4271889592477286
7,570,331,175,28,0.4260726751467348
8,560,345,195,2,0.4544259474303537
9,576,283,211,32,0.45188369151000884
10,580,288,232,0,0.46586163825833776
11,588,232,255,25,0.4731582734557458
12,590,237,272,1,0.48296761205550115
13,592,189,288,29,0.4875029516887079
14,596,192,307,1,0.4925110809430335
15,604,140,328,21,0.4994792985290355
16,612,145,335,0,0.5099774417683998
17,600,116,340,34,0.51725583103138
18,612,116,361,1,0.5103824080686191
19,600,82,377,31,0.5227387628494825
20,610,84,395,0,0.5172219031091961
21,615,39,411,23,0.5279457074655861
22,627,46,411,4,0.5347891881291702
23,631,19,407,29,0.5433428194602223
24,634,32,415,5,0.5461626225760596
25,637,15,413,21,0.5497963091841658
26,633,30,415,8,0.5515852440050444
27,637,18,410,21,0.5490776008125776
28,630,32,412,12,0.5510306903531057
29,633,26,411,15,0.5463694159370931
30,643,24,405,13,0.5486872018802883
31,634,25,409,17,0.554788374687911
32,641,17,412,15,0.5490366256361582
33,652,14,405,13,0.554636871591162
34,651,19,400,14,0.5616720534473072
35,654,22,389,19,0.560020481680439
36,653,28,388,15,0.5601703998428867
37,648,28,391,15,0.5592573428206935
38,658,25,384,14,0.5568905432144022
39,645,28,391,17,0.5632470714385619
40,649,24,396,12,0.5550684192324402
41,653,27,380,21,0.5588992851876138
42,649,34,386,12,0.5588553858117403
43,656,26,377,21,0.5570507730144848
44,649,28,385,18,0.5608520465935326
45,658,18,389,15,0.5572239794302517
46,654,17,388,20,0.5645334455690648
47,656,21,382,17,0.5617847988883214
48,648,29,377,20,0.5632256934847364
49,646,25,387,15,0.5571724685319359
50,649,25,381,18,0.5579212759871238
51,648,18,382,24,0.5590035344204037
52,643,20,394,15,0.5588186832030908
53,654,14,389,14,0.5573868796074161
54,642,20,389,20,0.5648721226055248
55,652,17,391,11,0.5560929210862258
56,650,13,388,20,0.5637740406918589
57,646,25,384,15,0.5617535508703191
58,659,11,384,15,0.5584489807684649
59,650,25,380,12,0.568360419178159
60,637,19,389,21,0.5617296519112055
61,643,20,394,9,0.5542444089130968
62,657,9,384,16,0.5595500470923042
63,657,21,370,18,0.5679891922849363
64,650,27,371,17,0.5654012752425558
65,647,26,372,18,0.5607962295440367
66,643,29,377,14,0.5595066210908253
67,660,20,369,13,0.5574953057480366
68,659,26,361,16,0.5689161742064935
69,651,22,366,22,0.5666961252148843
70,660,26,360,15,0.5620754777895207
71,651,24,365,20,0.5676245353758249
72,638,34,372,16,0.5622588045482366
73,649,19,378,13,0.5539969261822298
74,660,15,365,18,0.5635542875280238
75,661,16,363,17,0.5696677833335874
76,643,24,373,17,0.5704162294648011
77,649,18,372,17,0.5589438348155567
78,648,17,373,18,0.5635511427044587
79,659,16,370,9,0.5629971606864753
80,646,25,362,21,0.5713457457320877
81,645,26,366,14,0.5602243924267821
82,657,24,352,16,0.5613328349291095
83,641,35,354,19,0.5684068812940126
84,649,22,355,21,0.5568970705151499
85,642,27,362,15,0.5637525443795748
86,646,14,369,17,0.5602249821648729
87,658,15,357,15,0.5644848710447495
88,642,18,364,20,0.5715906065541506
89,649,15,365,14,0.5613372742966648
90,653,17,364,8,0.5670999227597672
91,654,14,359,15,0.5702786386860712
92,650,17,356,19,0.5701025399920464
93,646,19,360,17,0.5665583691208838
94,656,12,356,16,0.5643161392934756
95,663,12,351,14,0.5718062674410789
96,652,17,349,22,0.5761476340295537
97,649,21,353,16,0.567514622949666
98,646,16,359,18,0.5663885135556886
99,655,19,352,11,0.5652576618145846
100,647,19,352,18,0.5714596507960065
101,635,25,356,19,0.5658422094705619
102,642,15,357,19,0.558015078438798
103,641,20,359,12,0.5641625509912165
104,637,13,364,17,0.5641625509912165
105,642,9,365,14,0.5624786423269447
106,658,5,350,14,0.5667752180804143
107,656,15,341,15,0.5772056624779212
108,664,17,329,17,0.5740265993755758
109,648,26,335,15,0.5778827322853854
110,660,19,332,13,0.5680290723996684
111,651,19,335,19,0.5765670201753414
112,646,18,334,25,0.5702950889914913
113,647,14,348,13,0.5667202219465961
114,643,11,345,23,0.5704475503251689
115,655,7,348,11,0.5668768445998044
116,651,8,339,23,0.5768948202144725
117,649,13,340,18,0.5721961194752644
118,656,11,334,17,0.5712538311158822
119,648,25,328,17,0.5762413614761842
120,648,19,329,21,0.569053648780945
121,650,16,337,13,0.5696267625680926
122,641,24,337,13,0.5730129446509018
123,647,19,331,16,0.5665816083261144
124,640,18,335,20,0.570794730043147
125,648,11,336,17,0.5662283622106075
126,648,8,335,21,0.5728699958290836
127,645,9,340,18,0.5726851446117707
128,642,12,346,11,0.5713291324243805
129,649,6,339,17,0.5705510186546571
130,642,19,337,13,0.5745777005203682
131,642,13,337,19,0.5688873576988409
132,635,16,337,22,0.5688873576988409
133,641,13,342,14,0.5639777577192177
134,644,10,345,11,0.5694419113507796
135,630,16,349,15,0.5722735397816501
136,638,7,347,17,0.5624270761377296
137,638,14,348,9,0.5684810628561888
138,637,13,345,13,0.5686659140735019
139,636,11,347,14,0.5677416579869373
140,640,12,345,11,0.5673544498735084
141,645,11,334,17,0.5700155542626153
142,638,15,334,19,0.5721746346953006
143,647,14,331,14,0.5672427860029219
144,649,11,329,17,0.5735386950937165
145,659,9,323,15,0.5746972417925122
146,652,13,320,20,0.5812621851384927
147,645,18,326,15,0.5757269104159423
148,648,12,327,16,0.5718750341379003
149,650,15,323,15,0.5747488560206563
150,650,16,322,15,0.5755420591986294
151,647,15,325,16,0.5753572079813166
