,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1145,0,0,0,0.82
1,630,464,0,51,0.82
2,488,603,51,2,0.44837582625417477
3,550,492,77,24,0.3643661107312658
4,502,541,99,1,0.40945483393276905
5,556,439,122,25,0.38222894808233965
6,544,454,142,2,0.42174734795877394
7,572,381,163,26,0.41746097546178473
8,573,384,184,1,0.43963843513763645
9,581,333,201,27,0.4440600473267654
10,590,330,221,1,0.45240836305514637
11,588,292,233,29,0.4619792922872568
12,591,301,245,2,0.46279453787758396
13,597,252,261,28,0.46787207125990976
14,599,257,280,2,0.4750630173516752
15,608,206,299,25,0.4798059518893106
16,620,202,311,1,0.4892586731318554
17,616,169,318,31,0.5007970714879688
18,619,179,334,2,0.4993368205667895
19,630,132,341,30,0.5042360882629084
20,635,146,348,1,0.5133005286225392
21,655,94,354,26,0.5189536673693361
22,641,120,367,1,0.5341502717859598
23,638,91,378,21,0.5268060237780118
24,644,104,378,1,0.5270416470576429
25,638,76,392,19,0.5315050721583966
26,637,85,400,2,0.5305381074654155
27,647,46,403,26,0.5316123432732758
28,653,64,404,1,0.5397233531539629
29,650,41,405,26,0.5440679315387272
30,659,54,403,6,0.5421624655781186
31,660,40,392,29,0.5480684443504025
32,639,67,408,7,0.5471372757121401
33,653,33,411,24,0.5354180485656447
34,671,36,405,7,0.5456587400491053
35,667,27,405,20,0.5578641640652724
36,659,47,403,10,0.5550520472281504
37,664,38,391,26,0.5490893195010947
38,671,43,395,8,0.5504407147235175
39,669,34,388,25,0.5567661544005921
40,667,44,390,14,0.554450322548861
41,669,29,395,21,0.5537462601351413
42,669,36,394,13,0.5563968136838733
43,681,28,386,17,0.5569126631205681
44,676,33,385,16,0.563982303145843
45,668,41,381,18,0.5609558227812798
46,668,39,387,14,0.555272564549831
47,680,33,380,15,0.5563468003576912
48,680,33,377,15,0.5636109560657694
49,673,40,378,13,0.5641387583243034
50,675,40,366,22,0.5596853599144019
51,671,43,371,15,0.5593140128343284
52,664,40,383,13,0.5584228016077338
53,680,30,376,14,0.5555982630779271
54,680,30,374,15,0.5657434612517818
55,674,31,375,19,0.5657434735871738
56,673,37,370,17,0.5616322081059627
57,675,31,376,15,0.5607347905953644
58,658,44,379,16,0.5632382325876647
59,670,31,378,17,0.551683043921605
60,665,33,386,12,0.5603815969357688
61,674,22,384,16,0.5582530455039216
62,663,31,382,19,0.564312468395525
63,658,26,391,20,0.5564679479234363
64,662,21,401,10,0.5545314814692889
65,669,20,385,19,0.5595116160457071
