,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1108,0,0,0,0.82
1,916,153,0,39,0.82
2,648,397,45,16,0.6853973890893882
3,632,375,73,24,0.4845696675514975
4,633,352,104,14,0.4790129756272784
5,635,315,126,24,0.4858018696614736
6,636,295,153,13,0.4923275188352088
7,634,261,180,22,0.4990724016821531
8,639,239,205,12,0.5026373295008829
9,638,207,231,18,0.51153680121424
10,637,190,250,15,0.5159772344272363
11,645,155,272,19,0.5194704451289429
12,655,129,292,15,0.5296510580834044
13,663,93,308,25,0.540592205926649
14,686,59,331,13,0.5500971378511337
15,711,17,348,11,0.5712814886173296
16,727,0,357,3,0.5938879356607037
17,742,0,345,0,0.6077015877426375
18,753,2,332,0,0.6169961743802583
19,768,0,319,0,0.6231146424557765
20,779,0,308,0,0.6324435948579162
21,796,0,291,0,0.6390960849567087
22,811,1,274,1,0.6495159365539326
23,826,0,258,3,0.6584792418772563
24,837,0,248,2,0.6677551432965014
25,852,0,234,1,0.6749556886108925
26,871,0,216,0,0.6848048830832543
27,884,0,203,0,0.6973692656505904
28,900,1,186,0,0.7059049986756145
29,914,2,170,1,0.7162600583280707
30,936,0,150,1,0.7250998672623526
31,959,0,128,0,0.73977878042391
32,972,0,115,0,0.754418419992352
33,986,0,100,1,0.7621920837410463
34,1000,1,86,0,0.7699199848175418
35,1006,0,80,1,0.7772411269081048
36,1018,0,66,3,0.7801747428929382
37,1027,0,60,0,0.7852918972595613
38,1034,0,53,0,0.7896487993573976
39,1040,0,43,4,0.7924500619731747
40,1039,7,36,5,0.7940287081542343
41,962,66,35,24,0.7921663321634238
42,699,294,64,29,0.7395916552460692
43,636,337,103,8,0.5326983151082448
44,642,304,120,18,0.49434975113744656
45,635,290,148,10,0.5018291908480919
46,638,256,167,19,0.5023055273107317
47,638,238,194,9,0.509044894819211
48,636,205,221,17,0.5143942031439275
49,639,184,241,13,0.5179424076248145
50,644,150,263,20,0.5245241512735452
51,651,128,285,12,0.5322269179205336
52,662,87,307,18,0.5417621929211369
53,694,46,326,5,0.5546365581661683
54,714,18,331,8,0.5831421604433642
55,735,3,331,2,0.5992636422688626
56,757,1,312,1,0.6154542051409392
57,768,0,301,2,0.6291681209869836
58,781,0,290,0,0.6358526277386916
59,794,1,276,0,0.6442135368998407
60,807,0,263,1,0.6521174410788972
61,816,0,253,2,0.6603024626631208
62,832,0,239,0,0.6658383717176237
63,849,0,222,0,0.6764818600525809
64,864,1,204,2,0.6875250287868785
65,889,0,182,0,0.696798854305788
66,897,0,174,0,0.7138178250617849
67,907,0,164,0,0.7190780275191143
68,926,1,144,0,0.7256230729655126
69,936,1,132,2,0.7376947087926795
70,947,2,113,9,0.7436228856010307
71,954,3,112,2,0.7488919348881257
72,964,0,106,1,0.7541744846206807
73,963,11,93,4,0.7606740475670172
74,951,11,96,13,0.7575195946008781
75,964,2,97,7,0.7488839580611816
76,974,0,96,0,0.7593852905840297
77,980,0,89,1,0.7665025291844969
78,987,0,83,0,0.7694365937438253
