,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1126,0,0,0,0.82
1,893,191,0,42,0.82
2,577,479,45,21,0.82
3,552,462,84,23,0.82
4,576,416,119,10,0.82
5,588,369,135,28,0.82
6,583,347,170,19,0.82
7,610,284,203,20,0.82
8,615,265,220,16,0.82
9,618,226,249,23,0.82
10,622,207,273,13,0.82
11,624,173,298,19,0.82
12,625,155,313,21,0.82
13,647,99,346,21,0.82
14,664,70,358,17,0.82
15,693,24,376,16,0.82
16,723,1,382,3,0.82
17,748,0,358,3,0.82
18,770,0,337,2,0.82
19,777,0,330,1,0.82
20,794,1,312,1,0.82
21,809,0,297,2,0.82
22,820,1,287,0,0.82
23,837,0,270,1,0.82
24,860,1,247,0,0.82
25,865,2,235,6,0.82
26,883,0,224,1,0.82
27,900,0,207,1,0.82
28,909,1,197,1,0.82
29,922,0,185,1,0.82
30,937,1,170,0,0.82
31,951,1,156,0,0.82
32,957,0,147,4,0.82
33,973,0,135,0,0.82
34,992,0,115,1,0.82
35,1010,0,98,0,0.82
36,1023,0,85,0,0.82
37,1033,0,74,1,0.82
38,1038,0,69,1,0.82
39,1038,8,58,4,0.82
40,1035,4,62,7,0.82
41,1048,0,60,0,0.82
42,1051,0,55,2,0.82
43,1058,0,50,0,0.82
44,1065,0,43,0,0.82
45,1072,0,35,1,0.82
46,1071,0,32,5,0.82
47,1074,0,33,1,0.82
48,1072,0,33,3,0.82
49,1072,2,32,2,0.82
50,1072,1,33,2,0.82
51,1070,0,35,3,0.82
52,1071,0,35,1,0.82
53,1074,0,33,0,0.82
54,1075,0,30,2,0.82
55,1075,0,30,2,0.82
56,1076,0,30,1,0.82
57,1072,1,31,3,0.82
58,1071,0,34,2,0.82
59,1073,0,34,0,0.82
60,1073,0,32,2,0.82
61,1073,1,31,1,0.82
62,1075,0,31,0,0.82
63,1070,1,30,5,0.82
64,1072,0,33,0,0.82
65,1076,0,29,0,0.82
66,1076,1,27,1,0.82
67,1080,0,23,2,0.82
68,1080,0,22,3,0.82
69,1082,1,22,0,0.82
70,1080,1,23,1,0.82
71,1081,0,24,0,0.82
72,1081,0,23,1,0.82
73,1083,0,21,1,0.82
74,1081,0,21,3,0.82
75,1081,0,23,1,0.82
76,1081,0,23,1,0.82
77,1079,1,24,1,0.82
78,1081,0,24,0,0.82
79,1086,0,19,0,0.82
80,1083,0,18,4,0.82
81,1084,0,20,1,0.82
82,1084,0,19,2,0.82
83,1083,0,21,1,0.82
84,1085,0,20,0,0.82
85,1083,1,20,1,0.82
86,1083,0,22,0,0.82
87,1084,1,20,0,0.82
88,1085,0,19,1,0.82
89,1087,1,17,0,0.82
90,1085,1,17,2,0.82
91,1085,0,19,1,0.82
92,1084,0,20,1,0.82
93,1085,0,20,0,0.82
94,1086,0,19,0,0.82
95,1086,0,18,1,0.82
