,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1145,0,0,0,0.82
1,827,273,0,45,0.82
2,634,446,53,11,0.5901078516260462
3,634,401,87,21,0.460904665481636
4,636,381,114,9,0.46731451512414834
5,638,338,143,20,0.4744824843460289
6,641,322,165,11,0.48136561776367137
7,643,284,188,22,0.4873567300253118
8,643,273,211,10,0.493499797632964
9,647,236,236,18,0.497617701563095
10,644,227,254,12,0.5048407736951975
11,653,190,270,23,0.5060026203155218
12,646,184,295,11,0.5153915350404927
13,655,142,315,24,0.51504601386987
14,655,129,340,11,0.5248292156774587
15,662,95,359,19,0.5296381379612328
16,679,80,370,5,0.5378876174589788
17,704,32,378,20,0.552052068435308
18,721,22,379,10,0.5711390152408086
19,736,7,384,4,0.5842009390996258
20,758,1,366,6,0.5963184200499674
21,771,0,358,2,0.6092202733550386
22,793,1,337,0,0.6174302828672422
23,810,0,320,1,0.6301889879705777
24,824,0,305,2,0.6400871647936066
25,834,5,288,4,0.6481777377520846
26,852,0,276,3,0.6528968508305982
27,866,1,261,3,0.6648574494414838
28,882,0,249,0,0.6732629861986347
29,903,0,226,2,0.6839078470098308
30,917,0,211,3,0.6967476770275082
31,926,1,202,0,0.7054486284634508
32,940,0,189,0,0.7120960841531464
33,959,0,169,1,0.7212015331044481
34,971,1,157,0,0.7330848294940769
35,982,2,143,2,0.7406164572439141
36,998,0,128,3,0.7468793093166969
37,1000,3,121,5,0.7566827045515144
38,1011,4,112,2,0.7569620810191365
39,953,38,101,37,0.763639894810834
40,765,221,124,19,0.716039680853697
41,642,306,153,26,0.5718428241306093
42,648,295,176,6,0.4898418091472824
43,657,263,173,31,0.4987702246628311
44,653,267,196,7,0.5048176245743313
45,649,239,209,26,0.5064906127089284
46,646,235,230,10,0.5060411014802829
47,649,200,246,25,0.5083914754247053
48,650,196,261,9,0.5136735072714821
49,641,166,288,19,0.5184048483069149
50,650,154,301,8,0.5176561764109439
51,657,117,314,23,0.5265837281931972
52,655,110,337,7,0.5344912461954285
53,676,58,356,19,0.5378929929203193
54,711,23,369,6,0.5561155989870228
55,734,4,363,8,0.5835745750526089
56,747,0,360,2,0.5993296306035065
57,765,0,341,3,0.6084215459508522
58,777,1,331,0,0.618496916059251
59,780,4,320,5,0.6257868607273023
60,796,0,312,1,0.626099640776673
61,813,0,294,2,0.6369218121935739
62,819,0,286,4,0.6468726271453309
63,840,0,269,0,0.6501272860763352
64,859,1,249,0,0.6636385144248901
65,871,1,234,3,0.675227076579182
66,895,0,214,0,0.6822059620115024
67,917,1,191,0,0.698108017109739
68,934,0,172,3,0.7119488037895715
69,946,1,160,1,0.722402716129288
70,959,1,146,2,0.7304181197397374
71,976,1,130,1,0.738311611511263
72,970,7,122,9,0.7487521453273199
73,933,45,109,20,0.7426711240700635
74,811,146,120,29,0.7112195011511867
75,647,286,155,17,0.6154253645571294
76,648,264,178,13,0.5010732107765391
77,649,248,186,17,0.5065760859025569
78,648,228,203,21,0.5097413585184501
79,649,211,220,18,0.5120826149137399
80,647,191,239,16,0.5165185947569606
81,646,173,257,16,0.5202421369333432
82,659,142,264,25,0.5231067657543039
83,674,115,286,14,0.5342617791283757
84,686,87,298,18,0.5492764236431484
85,689,68,310,19,0.5600765116661037
86,706,38,324,16,0.5655018125897492
87,717,13,345,8,0.5811852101950933
88,742,0,339,1,0.5934539346674085
89,746,2,328,6,0.6114889069197742
90,764,0,316,2,0.6125462397166485
91,773,2,305,2,0.6241253188749544
92,798,0,282,2,0.6290858761588236
93,805,0,275,2,0.6444493130863446
94,819,1,262,0,0.6487108413888464
95,843,0,239,0,0.6574886771998114
96,855,0,224,3,0.6726254214359766
97,867,1,214,0,0.679655249667978
98,881,0,201,0,0.6876249722535616
99,902,0,180,0,0.6967206039325632
100,915,0,166,1,0.7100992616507479
101,926,1,154,1,0.718146647244415
102,937,0,138,7,0.7248526975799919
103,932,3,136,10,0.7307349003687752
104,945,0,135,1,0.7268530962274202
105,953,0,127,1,0.7368864490116582
106,969,0,112,0,0.7416121281974656
107,986,1,94,0,0.7508599610633908
108,999,0,80,2,0.7596013602741754
109,1011,0,70,0,0.765643063855852
110,1020,0,61,0,0.7712511042471801
111,1016,1,55,9,0.7748997024202061
