,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1147,0,0,0,0.82
1,875,233,0,39,0.82
2,537,548,44,15,0.6263650097800995
3,534,514,74,21,0.39471774031814527
4,531,494,109,9,0.3984209524485602
5,549,440,135,19,0.40272657110840715
6,558,416,157,10,0.41910693965600077
7,568,370,179,22,0.42953631925206764
8,569,355,200,13,0.4406591173446691
9,573,314,231,18,0.4456802284284603
10,577,296,254,9,0.45417363551621265
11,591,251,271,23,0.4609378437546053
12,595,233,290,18,0.4733008810557698
13,600,199,317,19,0.47937184515717296
14,603,185,332,13,0.48786210585175216
15,606,155,349,23,0.4931885539448901
16,614,142,363,12,0.49824704293215205
17,622,113,372,21,0.5067893669604266
18,640,96,380,11,0.514794897012992
19,650,62,397,18,0.5288686291743735
20,677,44,399,7,0.5388027062228328
21,694,19,401,13,0.5579714941558491
22,720,2,398,7,0.5703255700055468
23,742,0,385,0,0.5883809665172849
24,766,0,361,0,0.6020332161232744
25,774,0,351,2,0.6154430460262962
26,796,1,329,1,0.619620960212882
27,813,0,312,2,0.6322674029644624
28,839,0,287,0,0.6422180806926613
29,859,0,266,1,0.6583448018190083
30,882,0,243,1,0.6703616924681345
31,893,2,229,2,0.6846291890600528
32,908,5,212,1,0.6909967414260731
33,924,2,198,2,0.7001196260485095
34,928,3,181,14,0.7106455551522277
35,909,28,176,12,0.710868416791344
36,780,138,176,30,0.6949540876419221
37,615,294,200,13,0.5940222992426007
38,613,275,217,16,0.48122836202139213
39,609,271,230,11,0.48322886880871424
40,614,242,243,20,0.48283416071955726
41,620,231,253,14,0.4892031043258944
42,614,213,264,27,0.4954103833101829
43,624,199,283,9,0.49328036080012583
44,616,179,302,16,0.5044947320988764
45,629,159,314,10,0.5030646498925795
46,637,132,318,23,0.5144646319091283
47,641,126,326,16,0.5213753910420014
48,646,100,345,17,0.525917467236141
49,656,87,353,11,0.5331323685124439
50,671,53,370,12,0.5418990415257798
51,696,22,377,9,0.5558607540428185
52,720,4,377,3,0.5756855212274807
53,745,0,356,3,0.5931136699987807
54,762,0,339,1,0.6078161403389484
55,779,0,322,1,0.6183050315924797
56,792,3,304,3,0.6281728974471756
57,813,1,285,3,0.6349309978740207
58,817,5,276,4,0.6478429390654491
59,825,6,264,7,0.649367535941488
60,840,4,251,5,0.6535144111729847
61,853,0,247,0,0.6639542730302445
62,869,0,230,1,0.6736396420877411
63,885,0,214,0,0.6834991284749609
64,902,0,197,0,0.6940788583321327
65,922,0,176,1,0.7048921349615089
66,934,0,164,1,0.7174224416443333
67,958,0,141,0,0.7249874822106481
68,974,0,124,1,0.7399680548006983
69,987,0,112,0,0.7492401190385629
70,1002,0,96,1,0.7567265330578252
71,1016,1,82,0,0.7644413440609479
72,1023,0,73,3,0.7711896434572162
73,1031,0,67,1,0.7739654977971872
74,1039,0,59,1,0.7777113521771774
75,1041,1,51,6,0.7809131214689119
76,1048,1,50,0,0.7806157429711845
77,1053,0,46,0,0.7843351881552948
78,1064,0,35,0,0.7863557967017304
79,1069,0,27,3,0.7903280167370578
80,1071,1,26,1,0.7915818358738008
81,1071,0,23,5,0.7924757960482723
82,1070,0,27,2,0.7919396147056394
83,1070,1,28,0,0.7921182095514874
84,1071,0,27,1,0.7922969366656984
85,1055,11,26,7,0.7926545231624833
86,1053,5,35,6,0.7838672488999023
87,1044,9,40,6,0.7843897984454095
88,977,53,47,22,0.7803319191614252
89,693,302,70,32,0.7377341038392811
90,565,409,114,9,0.5211998241520939
91,574,365,135,20,0.44001255135281886
92,577,343,163,9,0.4507837872062321
93,594,297,182,17,0.458458232355238
94,587,287,201,13,0.47408021498699365
95,594,251,224,18,0.4733433496946243
96,597,231,246,12,0.4825693418590629
97,594,203,269,19,0.48888888271121644
98,610,172,291,12,0.4912689256472635
99,621,140,305,18,0.5062282152054913
100,620,128,324,12,0.5167073064885721
101,633,94,331,26,0.5194064416346209
102,654,67,350,12,0.5297455977594328
103,678,38,356,10,0.548323173301573
104,695,23,357,5,0.566953965390106
105,720,0,357,3,0.5802285081895342
106,732,0,347,1,0.5986716185737905
107,749,0,331,0,0.6058509480397417
108,766,0,313,1,0.6158245084570518
109,778,0,300,2,0.6255964590710397
110,797,0,282,1,0.6325364077773358
111,816,3,260,1,0.6441456568462294
112,805,17,243,15,0.6552294953071539
113,813,6,254,6,0.6434752557946775
114,834,1,243,0,0.6522104788007544
115,847,9,219,3,0.6674713860957983
116,854,15,197,12,0.6736691371933566
117,832,31,195,19,0.6754085276188068
118,731,111,204,29,0.6577310625673196
119,637,198,223,16,0.5815114012478318
120,618,197,239,19,0.5167333161276516
121,623,182,249,17,0.5065671150746374
122,618,165,273,14,0.5125500678067766
123,634,144,279,12,0.5136735554969748
124,640,130,278,21,0.526370780198006
125,647,111,298,11,0.5304504618804745
126,649,96,308,14,0.5397273144986431
127,660,75,313,17,0.5429455360080332
128,680,42,327,15,0.5524698517172943
129,713,8,337,5,0.5698791451513525
130,731,1,329,2,0.5964872776794266
131,751,0,311,1,0.6086311487096332
132,764,0,299,0,0.6207007383375446
133,772,2,289,0,0.6286090397207622
134,783,1,274,5,0.6330537609193184
135,800,0,262,1,0.6389976920501795
136,812,0,251,0,0.6503055614490699
137,820,1,239,3,0.6579205487813057
138,841,0,222,0,0.6621990449158379
139,852,0,210,1,0.6761379700043861
140,869,0,194,0,0.6829374593514534
141,883,0,179,1,0.6939335235707292
142,890,0,172,1,0.7026532002363207
143,895,1,167,0,0.7070834472957304
144,905,2,152,4,0.7102348748940858
145,914,6,139,4,0.7155983961128068
146,925,4,128,6,0.7204443170855087
147,947,0,116,0,0.7271160971826093
148,964,1,98,0,0.7416512361078875
149,975,2,80,6,0.7505581586134277
150,989,0,73,1,0.7547331654654788
151,1001,0,61,1,0.7623204996274332
