,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1148,0,0,0,0.82,Barabasi,2
1,1125,6,0,17,0.82,Barabasi,2
2,949,142,15,39,0.8076785584830425,Barabasi,2
3,646,419,61,19,0.6894026219645851,Barabasi,2
4,596,429,103,16,0.46999367543510095,Barabasi,2
5,630,371,128,14,0.44407764835538743,Barabasi,2
6,630,333,164,14,0.4717168396299655,Barabasi,2
7,648,294,183,14,0.4787879592134497,Barabasi,2
8,644,267,206,21,0.4951114528191866,Barabasi,2
9,654,239,233,12,0.4968056625282046,Barabasi,2
10,650,212,249,27,0.5084924980351974,Barabasi,2
11,657,187,279,15,0.5085990854646024,Barabasi,2
12,664,150,307,17,0.5187735952581758,Barabasi,2
13,674,129,321,12,0.5286093251396847,Barabasi,2
14,685,86,346,18,0.5387287263479472,Barabasi,2
15,722,46,351,15,0.5512267173832354,Barabasi,2
16,753,3,370,7,0.5787343111362098,Barabasi,2
17,768,0,365,0,0.6049933107317125,Barabasi,2
18,774,0,358,1,0.6151588734925043,Barabasi,2
19,792,0,340,1,0.6183643068322281,Barabasi,2
20,814,0,317,2,0.6286289771651755,Barabasi,2
21,830,0,301,2,0.6412307606642197,Barabasi,2
22,843,0,289,1,0.6506903131955469,Barabasi,2
23,854,0,279,0,0.6586568937992968,Barabasi,2
24,874,0,259,0,0.6654957631426016,Barabasi,2
25,894,0,239,0,0.6777643943057117,Barabasi,2
26,900,1,230,2,0.6902204780647854,Barabasi,2
27,918,0,214,1,0.6934533731392403,Barabasi,2
28,937,0,196,0,0.7051852190214524,Barabasi,2
29,957,0,176,0,0.7174383362502994,Barabasi,2
30,973,0,159,1,0.7301320054296425,Barabasi,2
31,981,4,147,1,0.7400026808809985,Barabasi,2
32,995,0,137,1,0.7442448167890702,Barabasi,2
33,1013,0,120,0,0.7534660182210606,Barabasi,2
34,1026,0,105,2,0.7641345545307793,Barabasi,2
35,1041,0,91,0,0.7709210971048274,Barabasi,2
36,1053,0,79,0,0.7790718479531364,Barabasi,2
37,1067,0,65,0,0.7846528165291161,Barabasi,2
38,1076,0,56,0,0.790577453411069,Barabasi,2
39,1095,0,37,0,0.7940950238142771,Barabasi,2
40,1099,0,32,1,0.8010656126764157,Barabasi,2
41,1104,0,28,0,0.8023197316597899,Barabasi,2
42,1109,1,22,0,0.8042854886353619,Barabasi,2
43,1112,0,20,0,0.8058928441973282,Barabasi,2
44,1116,0,14,2,0.8071428559305835,Barabasi,2
45,1115,0,14,3,0.8082142857002393,Barabasi,2
46,1117,0,15,0,0.8076785713770199,Barabasi,2
47,1117,0,14,1,0.8089285714253182,Barabasi,2
48,1119,0,13,0,0.8087499999967468,Barabasi,2
49,1115,0,13,4,0.8096428571427638,Barabasi,2
50,1115,2,15,0,0.8074999999484483,Barabasi,2
51,1079,23,15,15,0.8078571428055913,Barabasi,2
52,966,110,29,23,0.7884420338679365,Barabasi,2
53,715,325,62,25,0.7133980754781919,Barabasi,2
54,624,388,95,19,0.5246271682790669,Barabasi,2
55,642,337,127,19,0.4672321755939947,Barabasi,2
56,652,304,151,17,0.485609633792954,Barabasi,2
57,653,270,180,20,0.4971372473770546,Barabasi,2
58,654,241,216,11,0.5033452816248423,Barabasi,2
59,665,202,237,18,0.5108048658080291,Barabasi,2
60,664,179,263,16,0.5222178482337066,Barabasi,2
61,676,135,289,18,0.5261620799862773,Barabasi,2
62,694,101,310,12,0.5406033954128676,Barabasi,2
63,723,49,320,23,0.5574687767445979,Barabasi,2
64,748,19,339,7,0.5808699595679833,Barabasi,2
65,768,6,337,2,0.60337315920679,Barabasi,2
66,779,0,333,1,0.6179403166949365,Barabasi,2
67,794,0,318,0,0.6255243205493046,Barabasi,2
68,814,0,298,0,0.6346750485420736,Barabasi,2
69,828,1,282,1,0.6465320635710502,Barabasi,2
70,844,0,268,0,0.6546033050673253,Barabasi,2
71,858,0,253,1,0.6647188445853257,Barabasi,2
72,871,0,240,1,0.6731833348777571,Barabasi,2
73,890,0,222,0,0.6812887191044945,Barabasi,2
74,903,0,207,2,0.6934296535529182,Barabasi,2
75,920,0,192,0,0.7013153405932528,Barabasi,2
76,935,0,175,2,0.7124821194475673,Barabasi,2
77,956,0,156,0,0.7216425368052082,Barabasi,2
78,962,0,148,2,0.7351666125774932,Barabasi,2
79,976,0,136,0,0.7385100938014034,Barabasi,2
80,988,0,123,1,0.7473382128734384,Barabasi,2
81,996,0,113,3,0.7541784697466208,Barabasi,2
82,1007,0,105,0,0.7583409374653661,Barabasi,2
83,1020,0,92,0,0.764838358937685,Barabasi,2
84,1030,0,82,0,0.7714426689813761,Barabasi,2
85,1042,0,70,0,0.7761591652310652,Barabasi,2
86,1051,1,59,1,0.7813876349542006,Barabasi,2
87,1023,22,50,17,0.7846651897540563,Barabasi,2
88,925,92,66,29,0.7659276612002576,Barabasi,2
89,694,297,91,27,0.6940525769908481,Barabasi,2
90,646,324,119,20,0.5212246470984689,Barabasi,2
91,658,289,142,18,0.4923178118089462,Barabasi,2
92,655,271,166,13,0.5055000282600035,Barabasi,2
93,658,237,189,20,0.5083695745260925,Barabasi,2
94,660,211,218,15,0.5149295839251029,Barabasi,2
95,662,179,248,13,0.5215156523909521,Barabasi,2
96,668,152,262,19,0.5289785370515397,Barabasi,2
97,677,114,298,11,0.5360727955962644,Barabasi,2
98,709,63,311,17,0.5492544910303122,Barabasi,2
99,736,21,327,14,0.5746335112467181,Barabasi,2
100,758,3,335,1,0.5980985578815774,Barabasi,2
101,776,0,321,0,0.6163872167339233,Barabasi,2
102,788,0,309,0,0.6275581000607129,Barabasi,2
103,799,0,298,0,0.6346266748419589,Barabasi,2
104,812,0,283,2,0.6411749207139074,Barabasi,2
105,826,0,271,0,0.6486406741832587,Barabasi,2
106,843,1,253,0,0.6575220419950321,Barabasi,2
107,857,0,238,2,0.6678261920206142,Barabasi,2
108,872,0,225,0,0.6763794034325553,Barabasi,2
109,889,0,208,0,0.686175987784731,Barabasi,2
110,906,0,191,0,0.6969506746206822,Barabasi,2
111,918,0,179,0,0.707760739258196,Barabasi,2
112,929,0,168,0,0.7153768143846118,Barabasi,2
113,942,2,153,0,0.7223177463917779,Barabasi,2
114,937,7,142,11,0.7300715070907459,Barabasi,2
115,953,3,141,0,0.7241098237381415,Barabasi,2
116,977,0,120,0,0.7366361201786831,Barabasi,2
117,997,0,99,1,0.7512774116736363,Barabasi,2
118,1010,0,86,1,0.7619030699925987,Barabasi,2
119,1022,0,74,1,0.7683061638641083,Barabasi,2
120,1030,3,64,0,0.7737295226791433,Barabasi,2
121,1014,15,53,15,0.7767316261588217,Barabasi,2
122,955,54,67,21,0.7649880211614687,Barabasi,2
123,799,172,95,31,0.7249896803717696,Barabasi,2
124,660,296,123,17,0.6049249207139075,Barabasi,2
125,656,271,144,24,0.507341055374183,Barabasi,2
126,664,246,167,15,0.5086131711264754,Barabasi,2
127,659,214,196,19,0.5194438788699806,Barabasi,2
128,661,191,223,9,0.5224830762684849,Barabasi,2
129,668,152,240,21,0.5301473481731693,Barabasi,2
130,671,127,271,11,0.5392663476891811,Barabasi,2
131,690,71,296,22,0.547319525966342,Barabasi,2
132,717,35,316,10,0.5659120659245874,Barabasi,2
133,744,3,328,3,0.5897342434980719,Barabasi,2
134,759,1,316,1,0.6121314634064475,Barabasi,2
135,772,0,304,1,0.6218179056849307,Barabasi,2
136,779,0,298,0,0.6296788335128929,Barabasi,2
137,792,0,285,0,0.6340320635710502,Barabasi,2
138,801,0,275,1,0.6418549598975444,Barabasi,2
139,816,0,261,0,0.6471446270898266,Barabasi,2
140,826,0,251,0,0.6565286689970525,Barabasi,2
141,837,0,240,0,0.6627258945403156,Barabasi,2
142,846,0,228,3,0.669593689146841,Barabasi,2
143,863,0,213,1,0.6747124303634422,Barabasi,2
144,880,0,197,0,0.68581955383311,Barabasi,2
145,903,0,174,0,0.6968022835555541,Barabasi,2
146,910,0,166,1,0.7113954801825184,Barabasi,2
147,921,0,156,0,0.7156243691489461,Barabasi,2
148,938,0,139,0,0.7226666125774931,Barabasi,2
149,956,0,121,0,0.7330455147959346,Barabasi,2
150,965,0,111,1,0.7435683929769931,Barabasi,2
151,980,0,96,1,0.7484021166725006,Barabasi,2
152,1000,0,76,1,0.756284891847942,Barabasi,2
153,1017,4,54,2,0.7657155174831246,Barabasi,2
154,1014,4,49,10,0.7718414795560734,Barabasi,2
155,1025,0,50,0,0.7692336991048218,Barabasi,2
156,1033,0,42,0,0.7759875423229334,Barabasi,2
157,1038,0,37,0,0.7789089218403441,Barabasi,2
158,1044,0,30,1,0.780708469819273,Barabasi,2
159,1047,0,28,0,0.7826777547929611,Barabasi,2
160,1053,0,22,0,0.7839283457782191,Barabasi,2
161,1054,1,20,0,0.7860714222750297,Barabasi,2
162,1057,0,18,0,0.786249997131812,Barabasi,2
163,1057,0,17,1,0.7874999998350016,Barabasi,2
164,1059,0,16,0,0.7873214284064303,Barabasi,2
165,1059,0,16,0,0.7882142857002393,Barabasi,2
166,1059,0,16,0,0.7882142857002393,Barabasi,2
167,1060,0,15,0,0.7882142857002393,Barabasi,2
168,1060,0,15,0,0.7885714285681753,Barabasi,2
169,1061,0,14,0,0.7885714285681753,Barabasi,2
170,1061,0,13,1,0.7889285714279515,Barabasi,2
171,1062,0,13,0,0.78874999999938,Barabasi,2
172,1060,1,13,1,0.789285714285621,Barabasi,2
173,1051,4,14,6,0.7882142857110325,Barabasi,2
174,1046,4,21,4,0.7835714034464811,Barabasi,2
175,1046,0,26,2,0.7821425006534655,Barabasi,2
176,1047,0,27,0,0.7832140600639333,Barabasi,2
177,1050,0,24,0,0.7839284331869082,Barabasi,2
178,1048,0,24,2,0.7849999748750526,Barabasi,2
179,1048,0,26,0,0.7839284897554529,Barabasi,2
180,1049,0,25,0,0.7842856326125958,Barabasi,2
181,1051,0,23,0,0.7846428108048018,Barabasi,2
182,1053,0,21,0,0.7853571299116139,Barabasi,2
183,1049,4,18,3,0.7860714257032405,Barabasi,2
184,1017,21,21,15,0.7833928108048018,Barabasi,2
185,934,74,37,27,0.7665706368061517,Barabasi,2
186,726,251,70,23,0.7138231610782034,Barabasi,2
187,641,305,106,15,0.5556563276992438,Barabasi,2
188,655,260,133,18,0.5010453716289077,Barabasi,2
189,652,233,167,14,0.5162384468942611,Barabasi,2
190,660,195,193,17,0.5201559838960025,Barabasi,2
191,666,160,219,19,0.5309158057618932,Barabasi,2
192,682,118,247,17,0.5402630199428894,Barabasi,2
193,705,76,265,17,0.5569202258035085,Barabasi,2
194,723,41,285,13,0.5775015436130223,Barabasi,2
195,747,0,308,7,0.5949586453053519,Barabasi,2
196,756,0,306,0,0.617332601668452,Barabasi,2
197,773,0,289,0,0.6239060505232489,Barabasi,2
198,782,1,278,1,0.6340811581305775,Barabasi,2
199,793,0,268,1,0.6391733691436972,Barabasi,2
200,805,0,257,0,0.6460694098590088,Barabasi,2
201,816,0,246,0,0.6536448642318086,Barabasi,2
202,827,0,234,1,0.660484193616537,Barabasi,2
203,839,1,221,1,0.6671957094690705,Barabasi,2
204,845,0,217,0,0.6745829158954564,Barabasi,2
205,860,0,202,0,0.678738595823267,Barabasi,2
206,875,1,185,1,0.6882649578550286,Barabasi,2
207,881,0,181,0,0.6974454341337053,Barabasi,2
208,897,0,165,0,0.7016098009547214,Barabasi,2
209,902,0,160,0,0.7117000955734508,Barabasi,2
210,912,2,144,4,0.7148241094524271,Barabasi,2
211,932,0,130,0,0.7199386652299749,Barabasi,2
212,941,0,119,2,0.7330229904748993,Barabasi,2
213,956,0,106,0,0.7378541072627073,Barabasi,2
214,969,0,92,1,0.746452545102455,Barabasi,2
215,985,0,77,0,0.7529174293219157,Barabasi,2
216,995,0,67,0,0.7605369460545531,Barabasi,2
217,1008,0,54,0,0.7647673404445361,Barabasi,2
218,1020,0,42,0,0.7698520566798759,Barabasi,2
219,1027,0,34,1,0.7742660646974869,Barabasi,2
220,1035,0,26,1,0.776603892000494,Barabasi,2
221,1040,1,21,0,0.7794641474726225,Barabasi,2
222,1037,2,19,4,0.781249993703601,Barabasi,2
223,1044,0,17,1,0.779285667947659,Barabasi,2
224,1046,0,16,0,0.7826785712635731,Barabasi,2
225,1045,1,14,2,0.7835714285573822,Barabasi,2
226,1046,0,16,0,0.7826785713770199,Barabasi,2
227,1045,1,16,0,0.7835714285573822,Barabasi,2
228,1045,0,17,0,0.7830357142341627,Barabasi,2
229,1047,0,15,0,0.7832142856627341,Barabasi,2
230,1047,0,14,1,0.7839285714253181,Barabasi,2
231,1046,0,15,1,0.7837499999967468,Barabasi,2
232,1046,0,16,0,0.7833928571288107,Barabasi,2
233,1048,0,14,0,0.7835714285573822,Barabasi,2
234,1048,0,13,1,0.7842857142850943,Barabasi,2
235,1050,0,12,0,0.7841071428565229,Barabasi,2
236,1052,1,9,0,0.7849999999999896,Barabasi,2
237,1054,0,7,1,0.7855357142857142,Barabasi,2
238,1054,0,7,1,0.7862499999999999,Barabasi,2
239,1053,0,8,1,0.7862499999999999,Barabasi,2
240,1053,0,9,0,0.7858928571428571,Barabasi,2
241,1055,0,7,0,0.7860714285714285,Barabasi,2
242,1053,1,6,2,0.7867857142857143,Barabasi,2
243,1053,0,9,0,0.7855357142857142,Barabasi,2
244,1053,0,9,0,0.7860714285714285,Barabasi,2
245,1052,0,9,1,0.7860714285714285,Barabasi,2
246,1054,0,8,0,0.7855357142857142,Barabasi,2
247,1053,0,7,2,0.7864285714285715,Barabasi,2
248,1055,0,7,0,0.7857142857142857,Barabasi,2
249,1053,0,7,2,0.7867857142857143,Barabasi,2
250,1050,1,9,2,0.7857142857142857,Barabasi,2
251,1050,0,12,0,0.7844642857142753,Barabasi,2
252,1051,0,11,0,0.7849999999999896,Barabasi,2
253,1051,0,11,0,0.785357142857142,Barabasi,2
254,1051,0,11,0,0.785357142857142,Barabasi,2
255,1051,0,11,0,0.785357142857142,Barabasi,2
256,1051,0,11,0,0.785357142857142,Barabasi,2
257,1051,0,11,0,0.785357142857142,Barabasi,2
258,1052,0,10,0,0.785357142857142,Barabasi,2
259,1021,23,9,9,0.7857142857142856,Barabasi,2
260,942,71,21,28,0.7689128070355521,Barabasi,2
261,721,259,50,29,0.7210988402450649,Barabasi,2
262,639,309,82,26,0.5526778519831458,Barabasi,2
263,653,262,122,16,0.4992561924244086,Barabasi,2
264,661,225,149,17,0.517564519925995,Barabasi,2
265,661,197,176,18,0.5285620826752896,Barabasi,2
266,669,162,207,12,0.5333835112467181,Barabasi,2
267,685,122,220,22,0.5455100922311669,Barabasi,2
268,702,84,247,15,0.5600073024413977,Barabasi,2
269,710,47,270,19,0.5779034071897436,Barabasi,2
270,727,18,289,11,0.5888321566615803,Barabasi,2
271,744,0,296,4,0.6055679056849308,Barabasi,2
272,756,2,286,0,0.6203365975817237,Barabasi,2
273,770,0,274,0,0.6278988122690579,Barabasi,2
274,783,0,261,0,0.636758349162739,Barabasi,2
275,793,2,249,0,0.6447429547113381,Barabasi,2
276,808,0,234,1,0.6505830373974586,Barabasi,2
277,818,1,222,2,0.6604099951833562,Barabasi,2
278,828,0,215,0,0.6663545592133024,Barabasi,2
279,836,0,207,0,0.6732209333071666,Barabasi,2
280,853,0,190,0,0.6783004225969859,Barabasi,2
281,862,0,181,0,0.6891106828293081,Barabasi,2
282,872,0,171,0,0.6948240866690071,Barabasi,2
283,887,0,156,0,0.701144564078455,Barabasi,2
284,896,1,146,0,0.710523755434636,Barabasi,2
285,910,0,133,0,0.715881978693077,Barabasi,2
286,920,0,123,0,0.7244739079588156,Barabasi,2
287,929,0,114,0,0.7302867378458539,Barabasi,2
288,938,0,104,1,0.7353407348662743,Barabasi,2
289,954,0,89,0,0.7400169303662564,Barabasi,2
290,967,0,75,1,0.7482490897716861,Barabasi,2
291,978,0,65,0,0.7540098471251936,Barabasi,2
292,983,3,56,1,0.7587917391253547,Barabasi,2
293,975,9,48,11,0.7600557652703591,Barabasi,2
294,990,0,50,2,0.7540008596716408,Barabasi,2
295,1005,0,36,1,0.7631016847240247,Barabasi,2
296,1010,0,32,0,0.7687441841049872,Barabasi,2
297,1017,0,25,0,0.7707130954144854,Barabasi,2
298,1018,1,23,0,0.7732142393762305,Barabasi,2
299,1018,0,19,5,0.7733928320179096,Barabasi,2
300,1020,0,21,0,0.772678546303624,Barabasi,2
301,1016,3,20,2,0.7742857114175262,Barabasi,2
302,1020,0,20,1,0.7719642393762305,Barabasi,2
303,1020,0,20,1,0.7741071399889549,Barabasi,2
304,1021,0,20,0,0.7741071399889549,Barabasi,2
305,1022,0,19,0,0.7746428559305835,Barabasi,2
306,1022,0,18,1,0.774999999529897,Barabasi,2
307,1023,0,18,0,0.7748214281013256,Barabasi,2
308,1025,0,16,0,0.7753571426921445,Barabasi,2
309,1025,0,16,0,0.7760714285573822,Barabasi,2
310,1026,0,15,0,0.7760714285573822,Barabasi,2
311,1026,0,15,0,0.7764285714253183,Barabasi,2
312,1027,0,14,0,0.7764285714253183,Barabasi,2
313,1030,0,9,2,0.7767857142850944,Barabasi,2
314,1023,5,11,2,0.7774999999999991,Barabasi,2
315,1025,0,14,2,0.7741071426921445,Barabasi,2
316,1025,0,16,0,0.7757142857002393,Barabasi,2
317,1025,0,16,0,0.7760714285573822,Barabasi,2
318,1025,0,16,0,0.7760714285573822,Barabasi,2
319,1025,0,16,0,0.7760714285573822,Barabasi,2
320,1026,0,15,0,0.7760714285573822,Barabasi,2
321,1027,0,13,1,0.7764285714253183,Barabasi,2
322,1028,0,13,0,0.7766071428565229,Barabasi,2
323,1032,0,9,0,0.7771428571427639,Barabasi,2
324,1031,1,9,0,0.7785714285714286,Barabasi,2
325,1033,0,7,1,0.7780357142857142,Barabasi,2
326,1031,1,8,1,0.7787499999999999,Barabasi,2
327,1032,0,8,1,0.7778571428571428,Barabasi,2
328,1030,0,8,3,0.778392857142857,Barabasi,2
329,1030,0,11,0,0.7773214285714277,Barabasi,2
330,1031,0,10,0,0.777857142857142,Barabasi,2
331,1031,0,10,0,0.7782142857142856,Barabasi,2
332,1031,0,10,0,0.7782142857142856,Barabasi,2
333,1031,0,10,0,0.7782142857142856,Barabasi,2
334,1032,0,9,0,0.7782142857142856,Barabasi,2
335,1033,0,8,0,0.7785714285714286,Barabasi,2
336,1033,0,8,0,0.7789285714285713,Barabasi,2
337,1034,0,7,0,0.7789285714285713,Barabasi,2
338,1030,0,6,5,0.7792857142857142,Barabasi,2
339,1011,11,11,8,0.7769642857142848,Barabasi,2
340,990,17,20,14,0.7676780246095432,Barabasi,2
341,998,0,34,8,0.7579382499264647,Barabasi,2
342,1001,0,38,1,0.7649803504117726,Barabasi,2
343,994,4,38,4,0.7673116116927622,Barabasi,2
344,995,0,45,0,0.7635282423728059,Barabasi,2
345,998,0,42,0,0.7653212156841132,Barabasi,2
346,999,0,41,0,0.7664089218403441,Barabasi,2
347,1000,0,40,0,0.7667699498926949,Barabasi,2
348,998,0,40,2,0.7671303449358259,Barabasi,2
349,1001,0,39,0,0.7660517789832012,Barabasi,2
350,1003,0,37,0,0.7674901831213337,Barabasi,2
351,1003,0,37,0,0.7682084698192729,Barabasi,2
352,1004,0,36,0,0.7682084698192729,Barabasi,2
353,1007,0,33,0,0.768567046081211,Barabasi,2
354,1009,0,30,1,0.7696411602312184,Barabasi,2
355,1010,0,29,1,0.7701777547929612,Barabasi,2
356,979,17,29,15,0.7705351674666859,Barabasi,2
357,962,21,45,11,0.7535937611826279,Barabasi,2
358,913,50,60,16,0.7466083746259817,Barabasi,2
359,842,96,80,21,0.7153486868072495,Barabasi,2
360,734,170,104,30,0.6623379978412683,Barabasi,2
361,663,220,140,14,0.5808093021228539,Barabasi,2
362,662,185,167,21,0.5340459350760929,Barabasi,2
363,670,156,196,13,0.5388897921454898,Barabasi,2
364,675,119,220,21,0.5499803020639328,Barabasi,2
365,687,88,245,14,0.5579775880645416,Barabasi,2
366,710,39,272,13,0.571795598413767,Barabasi,2
367,741,5,283,5,0.5940174649382379,Barabasi,2
368,755,0,276,2,0.6198873064780326,Barabasi,2
369,763,0,270,0,0.6300329623919589,Barabasi,2
370,776,0,257,0,0.6352776177473726,Barabasi,2
371,788,0,245,0,0.6432877213746657,Barabasi,2
372,802,0,231,0,0.6507514194718862,Barabasi,2
373,810,0,223,0,0.6595338589348707,Barabasi,2
374,817,1,214,1,0.6645829158954564,Barabasi,2
375,823,1,209,0,0.6686582297695793,Barabasi,2
376,832,0,200,1,0.6726444318486063,Barabasi,2
377,842,0,191,0,0.6783652233904444,Barabasi,2
378,861,0,172,0,0.6849035964010531,Barabasi,2
379,871,0,161,1,0.6969429545415896,Barabasi,2
380,881,0,152,0,0.7030409326210492,Barabasi,2
381,895,0,136,2,0.7094233882176416,Barabasi,2
382,909,0,124,0,0.7175731610782036,Barabasi,2
383,918,0,114,1,0.7261427554609066,Barabasi,2
384,926,0,107,0,0.73103847479446,Barabasi,2
385,935,1,94,3,0.7355639542476846,Barabasi,2
386,949,1,83,0,0.7395297053986783,Barabasi,2
387,954,1,75,3,0.7468492893507168,Barabasi,2
388,963,1,66,3,0.7485813879576876,Barabasi,2
389,975,0,58,0,0.7524590635256293,Barabasi,2
390,989,0,44,0,0.7579726900381084,Barabasi,2
391,995,1,37,0,0.7631846408799665,Barabasi,2
392,1003,0,29,0,0.7651709644915219,Barabasi,2
393,1007,1,24,0,0.768213929224894,Barabasi,2
394,1014,1,16,1,0.7694642393762303,Barabasi,2
395,1016,0,15,1,0.771785714120716,Barabasi,2
396,1017,0,15,0,0.7726785714145249,Barabasi,2
397,1017,0,15,0,0.7732142857110325,Barabasi,2
398,1019,0,13,0,0.7732142857110325,Barabasi,2
