,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1121,0,0,0,0.82,Renyi,3
1,924,147,0,50,0.82,Renyi,3
2,627,418,57,19,0.6831089105489289,Renyi,3
3,559,437,97,27,0.46588977169135765,Renyi,3
4,587,388,130,14,0.4269087683963127,Renyi,3
5,595,337,163,22,0.45227842928144885,Renyi,3
6,599,314,191,12,0.4644367079969288,Renyi,3
7,603,263,225,25,0.4726313017512336,Renyi,3
8,612,235,255,13,0.4816069764909308,Renyi,3
9,615,189,282,28,0.493646575526435,Renyi,3
10,620,166,311,16,0.50099589725429,Renyi,3
11,650,104,330,28,0.510110490354939,Renyi,3
12,686,62,347,16,0.5350157502062485,Renyi,3
13,695,27,374,13,0.5642837544175857,Renyi,3
14,722,3,382,2,0.576491490649033,Renyi,3
15,731,2,375,1,0.5978370170699764,Renyi,3
16,742,0,367,0,0.6032642048549979,Renyi,3
17,762,0,347,0,0.6100554031579516,Renyi,3
18,781,0,327,1,0.621569351293714,Renyi,3
19,795,0,311,3,0.632527038343383,Renyi,3
20,814,0,294,1,0.640499682453149,Renyi,3
21,834,0,275,0,0.6523601273908732,Renyi,3
22,853,0,255,1,0.66486365754239,Renyi,3
23,866,0,242,0,0.6765882469578021,Renyi,3
24,881,0,224,3,0.6852966768537331,Renyi,3
25,897,0,210,1,0.6943715009274031,Renyi,3
26,907,1,199,1,0.7050905433300121,Renyi,3
27,925,0,182,1,0.7114097968350381,Renyi,3
28,942,0,164,2,0.7233136576869171,Renyi,3
29,948,6,149,5,0.7341483848034573,Renyi,3
30,961,2,137,7,0.7363593824376731,Renyi,3
31,970,2,132,3,0.745248538728741,Renyi,3
32,979,1,125,1,0.7515811646186491,Renyi,3
33,995,0,110,1,0.7578454097895186,Renyi,3
34,1008,0,98,0,0.7673468167683782,Renyi,3
35,1023,0,83,0,0.7746209923495029,Renyi,3
36,1034,0,72,0,0.7821474685858837,Renyi,3
37,1050,1,54,1,0.7871792268279578,Renyi,3
38,1051,0,50,4,0.7934416576725826,Renyi,3
39,1063,0,41,1,0.7934909875056265,Renyi,3
40,1067,1,34,3,0.7985794984753172,Renyi,3
41,1053,14,35,3,0.7995086175543824,Renyi,3
42,1029,17,41,17,0.7918861729662366,Renyi,3
43,1037,3,58,6,0.778898835586485,Renyi,3
44,1038,0,61,5,0.7869547641383796,Renyi,3
45,1039,0,62,3,0.7881073212440151,Renyi,3
46,1014,19,64,7,0.7888910842479581,Renyi,3
47,996,19,77,12,0.7732424278215448,Renyi,3
48,1005,0,93,6,0.762807917305118,Renyi,3
49,1014,0,90,0,0.7722644343637247,Renyi,3
50,1011,0,90,3,0.7779971111400105,Renyi,3
