,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1129,0,0,0,0.82,Barabasi,1
1,772,301,0,56,0.82,Barabasi,1
2,488,575,57,8,0.5568111424431184,Barabasi,1
3,478,530,92,24,0.37001986532184233,Barabasi,1
4,486,516,114,7,0.3710219947663401,Barabasi,1
5,530,419,137,35,0.38050727953115293,Barabasi,1
6,501,441,172,6,0.4141813690039872,Barabasi,1
7,548,347,201,23,0.401713663080135,Barabasi,1
8,536,358,221,4,0.43838880944540626,Barabasi,1
9,560,287,243,27,0.4340194236713509,Barabasi,1
10,550,293,270,4,0.45467503589746405,Barabasi,1
11,564,231,293,28,0.4528672935320695,Barabasi,1
12,570,226,314,4,0.46675696359851393,Barabasi,1
13,578,172,330,32,0.475245527042842,Barabasi,1
14,602,155,346,6,0.4842045953850376,Barabasi,1
15,621,94,370,21,0.50448944661656,Barabasi,1
16,628,97,374,7,0.5229935492424376,Barabasi,1
17,635,53,389,27,0.5286048886682332,Barabasi,1
18,654,46,399,4,0.5369105150347974,Barabasi,1
19,673,11,398,21,0.552496619761893,Barabasi,1
20,697,2,402,2,0.5658962657644042,Barabasi,1
21,716,0,383,3,0.5840066862182544,Barabasi,1
22,738,1,362,1,0.5948874597527106,Barabasi,1
23,751,1,350,0,0.607467984000024,Barabasi,1
24,778,1,322,1,0.6150946134425097,Barabasi,1
25,796,0,305,1,0.6306682495265713,Barabasi,1
26,822,0,280,0,0.6415782818738026,Barabasi,1
27,837,0,264,1,0.6575770329643144,Barabasi,1
28,859,0,242,1,0.6666892842306699,Barabasi,1
29,869,1,229,3,0.6805275340991443,Barabasi,1
30,891,0,210,1,0.6863458357037878,Barabasi,1
31,908,0,194,0,0.7010143909462447,Barabasi,1
32,924,0,178,0,0.7121811425743716,Barabasi,1
33,946,0,154,2,0.722517100355255,Barabasi,1
34,956,1,143,2,0.7362212812053922,Barabasi,1
35,971,0,131,0,0.7423158693395272,Barabasi,1
36,983,1,117,1,0.7520440093558308,Barabasi,1
37,996,0,105,1,0.7587522016002816,Barabasi,1
38,1001,1,99,1,0.7662271677374123,Barabasi,1
39,1013,0,87,2,0.7687298002479557,Barabasi,1
40,1019,0,79,4,0.7748587461716734,Barabasi,1
41,1031,1,70,0,0.7773825498172638,Barabasi,1
42,1042,0,56,4,0.7833348762136828,Barabasi,1
43,1055,0,47,0,0.787343630318471,Barabasi,1
44,1063,0,38,1,0.7930675705313995,Barabasi,1
45,1059,1,32,10,0.7958387364200822,Barabasi,1
46,1064,0,38,0,0.7925537681111775,Barabasi,1
47,1067,1,34,0,0.7963860337400974,Barabasi,1
48,1068,0,31,3,0.7972990196014818,Barabasi,1
49,1070,0,29,3,0.7973000615966513,Barabasi,1
50,1039,21,30,12,0.7980277762362616,Barabasi,1
51,948,84,44,26,0.7808706828461156,Barabasi,1
52,644,354,73,29,0.7178739886405546,Barabasi,1
53,536,439,106,15,0.4872479945185898,Barabasi,1
54,545,397,137,16,0.42015664782719875,Barabasi,1
55,551,367,160,17,0.43215340182212525,Barabasi,1
56,571,318,189,16,0.4403828166796888,Barabasi,1
57,562,301,215,15,0.45956067832136327,Barabasi,1
58,576,259,235,23,0.4584636083920668,Barabasi,1
59,571,244,261,13,0.47165510978581526,Barabasi,1
60,582,208,279,19,0.4742384746669146,Barabasi,1
61,577,192,301,18,0.48538638117097205,Barabasi,1
62,588,157,320,22,0.48594061009238904,Barabasi,1
63,597,132,342,14,0.4972992149515922,Barabasi,1
64,622,89,355,15,0.5081952229274547,Barabasi,1
65,647,53,367,13,0.5294309008775657,Barabasi,1
66,676,14,380,10,0.5497600955674785,Barabasi,1
67,694,4,380,2,0.5731201901953049,Barabasi,1
68,719,0,360,1,0.586353358778397,Barabasi,1
69,738,0,341,1,0.6013703321304165,Barabasi,1
70,760,0,319,1,0.6123125912561472,Barabasi,1
71,775,0,304,1,0.6252288566090969,Barabasi,1
72,793,1,286,0,0.6341902722052579,Barabasi,1
73,815,0,265,0,0.6451106397202382,Barabasi,1
74,829,0,250,1,0.6588814897222551,Barabasi,1
75,830,13,233,4,0.6674791434446834,Barabasi,1
76,840,7,223,10,0.6652046764945312,Barabasi,1
77,858,0,218,3,0.6715374573664161,Barabasi,1
78,871,0,206,2,0.6858606530894057,Barabasi,1
79,892,0,184,2,0.6944161559343257,Barabasi,1
80,901,1,173,3,0.7082748253249279,Barabasi,1
81,920,0,156,2,0.7137194393324233,Barabasi,1
82,936,0,141,1,0.72623924488551,Barabasi,1
83,946,0,131,1,0.7364429953626175,Barabasi,1
84,954,0,123,1,0.7425452014802547,Barabasi,1
85,963,0,114,1,0.7473067233373172,Barabasi,1
86,977,0,100,1,0.7525070520015246,Barabasi,1
87,980,3,90,5,0.7601956992736422,Barabasi,1
88,999,0,79,0,0.7604995641310219,Barabasi,1
89,1007,0,71,0,0.7712497597176958,Barabasi,1
90,1016,0,62,0,0.7748007752393692,Barabasi,1
91,1030,0,47,1,0.7785521281107177,Barabasi,1
92,1032,0,44,2,0.7837964677818116,Barabasi,1
93,1038,0,39,0,0.784361302040834,Barabasi,1
94,1040,0,35,2,0.7869414822128191,Barabasi,1
95,1040,1,33,3,0.7873092927308145,Barabasi,1
96,1043,0,33,0,0.7869461394978651,Barabasi,1
97,1046,0,28,2,0.7887667624248265,Barabasi,1
98,1046,0,28,2,0.7894944522017538,Barabasi,1
99,1045,1,29,1,0.7894944522017538,Barabasi,1
100,1047,0,28,1,0.7891309719783391,Barabasi,1
101,1050,0,23,3,0.790039414292087,Barabasi,1
102,1041,7,24,4,0.7907660605165173,Barabasi,1
103,966,51,28,31,0.7860412693800469,Barabasi,1
104,703,286,59,26,0.7398794780491609,Barabasi,1
105,533,422,97,19,0.5370388974556651,Barabasi,1
106,569,366,119,16,0.4242921200622089,Barabasi,1
107,558,349,147,15,0.453246556346687,Barabasi,1
108,570,316,168,15,0.45107789972923573,Barabasi,1
109,561,292,198,16,0.463162811054338,Barabasi,1
110,583,247,222,15,0.46305245734457695,Barabasi,1
111,574,227,248,16,0.48265396660418336,Barabasi,1
112,586,195,265,18,0.48177932109208593,Barabasi,1
113,598,159,287,20,0.49356060168860527,Barabasi,1
114,597,145,305,16,0.5059733504205656,Barabasi,1
115,599,123,320,21,0.5088785762841617,Barabasi,1
116,618,89,340,13,0.5130107231167734,Barabasi,1
117,632,54,354,20,0.5311536374910165,Barabasi,1
118,661,23,365,10,0.5437300242445544,Barabasi,1
119,679,2,370,8,0.5671639077138453,Barabasi,1
120,701,0,357,1,0.5813579195368902,Barabasi,1
121,716,0,342,1,0.5954590025595791,Barabasi,1
122,727,0,330,2,0.604105607507667,Barabasi,1
123,753,0,306,0,0.6103426078729908,Barabasi,1
124,769,0,288,2,0.6261442694734484,Barabasi,1
125,786,0,271,2,0.6354702220638859,Barabasi,1
126,794,0,264,1,0.6459204632347635,Barabasi,1
127,814,0,245,0,0.6510736952138407,Barabasi,1
128,828,0,228,3,0.6638260346984733,Barabasi,1
129,850,0,208,1,0.6721892423112567,Barabasi,1
130,876,0,183,0,0.6866891918610951,Barabasi,1
131,889,0,164,6,0.7036759135040057,Barabasi,1
132,908,0,151,0,0.7109566637501441,Barabasi,1
133,921,1,137,0,0.7241194348403303,Barabasi,1
134,936,0,123,0,0.7320017817347785,Barabasi,1
135,945,0,110,4,0.7411748938308823,Barabasi,1
136,957,0,98,3,0.7456287096525201,Barabasi,1
137,968,0,89,1,0.7525694813817024,Barabasi,1
138,972,5,78,3,0.7585686352933524,Barabasi,1
139,976,1,71,10,0.7592492606686656,Barabasi,1
140,985,0,71,1,0.7606020361020766,Barabasi,1
141,980,11,61,5,0.7665606929895985,Barabasi,1
142,838,117,65,37,0.761626173047018,Barabasi,1
143,619,315,100,23,0.6517387178476343,Barabasi,1
144,566,342,123,26,0.4893440633552594,Barabasi,1
145,573,314,161,9,0.45617701816914524,Barabasi,1
146,575,281,179,20,0.46794626066972805,Barabasi,1
147,576,262,204,12,0.4732790200756659,Barabasi,1
148,573,233,222,24,0.47885289575414997,Barabasi,1
149,581,208,249,13,0.48069597147374205,Barabasi,1
150,586,175,267,23,0.4915401937909211,Barabasi,1
151,606,146,285,13,0.4983248762545426,Barabasi,1
152,609,114,304,22,0.51610881551496,Barabasi,1
153,626,84,321,18,0.5220504734171634,Barabasi,1
154,657,30,350,12,0.5373478991074396,Barabasi,1
155,682,3,360,4,0.5652196907650914,Barabasi,1
156,698,0,348,3,0.5856075530238029,Barabasi,1
157,711,0,337,1,0.5954843388632359,Barabasi,1
158,733,0,315,1,0.6033833709160199,Barabasi,1
159,751,0,297,1,0.6163484641035641,Barabasi,1
160,764,0,285,0,0.6271577836580601,Barabasi,1
161,767,1,280,1,0.6352589839164129,Barabasi,1
162,786,0,261,2,0.6367367414806648,Barabasi,1
163,802,2,243,2,0.6485087240365865,Barabasi,1
