,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1109,0,0,0,0.82,None,3
1,830,233,0,46,0.82,None,3
2,631,418,52,7,0.6133269703515323,None,3
3,633,374,77,23,0.4729830597253196,None,3
4,632,364,100,8,0.4793629968225776,None,3
5,632,321,128,21,0.4839263205224261,None,3
6,631,310,155,5,0.4897851718930282,None,3
7,634,266,180,20,0.49440645232585057,None,3
8,636,257,196,11,0.5015076221243053,None,3
9,642,217,221,18,0.5058924313909554,None,3
10,634,216,239,8,0.5154992626458397,None,3
11,635,175,256,31,0.5134461242293344,None,3
12,638,167,283,8,0.5173031963526267,None,3
13,648,122,302,24,0.5247869443684903,None,3
14,665,105,314,8,0.5354841707241633,None,3
15,688,52,326,25,0.5514514833811727,None,3
16,719,27,338,7,0.570947703213081,None,3
17,738,0,345,7,0.5963760909916329,None,3
18,748,0,341,0,0.6125400236920483,None,3
19,759,1,328,1,0.6199058008499052,None,3
20,767,2,317,3,0.6260454751189585,None,3
21,771,3,309,6,0.6302683119392336,None,3
22,784,0,305,0,0.6319314104877073,None,3
23,805,0,284,0,0.641467263511281,None,3
24,819,2,267,1,0.6543915864914515,None,3
25,834,4,249,2,0.6625943749163264,None,3
26,847,2,238,2,0.6715435549867812,None,3
27,865,1,223,0,0.680244865071166,None,3
28,881,0,202,6,0.6924643115143886,None,3
29,897,1,188,3,0.7020084528643474,None,3
30,905,1,182,1,0.7129017579753001,None,3
31,931,0,158,0,0.7185379507822409,None,3
32,943,4,141,1,0.7359146827992101,None,3
33,953,0,133,3,0.7427001414073583,None,3
34,968,0,120,1,0.7493738722178297,None,3
35,983,0,106,0,0.7589060270702025,None,3
36,994,0,95,0,0.7677714620070135,None,3
37,1009,0,80,0,0.7737431825041245,None,3
38,1018,0,70,1,0.7812473813091122,None,3
39,1028,0,61,0,0.7851872985212742,None,3
40,1034,1,54,0,0.7896377346184384,None,3
41,1036,1,50,2,0.7918731675775679,None,3
42,1047,0,42,0,0.7922909721577318,None,3
43,1055,1,33,0,0.7970515419430578,None,3
44,1060,1,28,0,0.7998477292954841,None,3
45,1061,0,28,0,0.8016991700942079,None,3
46,1060,4,25,0,0.802253923510592,None,3
47,931,106,24,28,0.8011446164422693,None,3
48,642,366,59,22,0.7111446196792822,None,3
49,632,350,90,16,0.48869821842833394,None,3
50,634,322,117,15,0.48758672883159265,None,3
51,632,298,141,15,0.4940130510663514,None,3
52,638,270,164,12,0.49771007541260925,None,3
53,631,250,192,11,0.5069803190019391,None,3
54,640,218,210,15,0.5071163744825505,None,3
55,638,196,230,16,0.5172800368014473,None,3
56,642,171,249,18,0.5205908994850255,None,3
57,641,149,275,14,0.5269991784177015,None,3
58,658,116,288,17,0.531435607633211,None,3
59,664,95,305,13,0.5462260486160361,None,3
60,676,67,314,19,0.5545039919257904,None,3
61,706,26,332,10,0.5654091271313139,None,3
62,729,4,336,5,0.5920128491228497,None,3
63,743,2,328,1,0.6103464500064524,None,3
64,757,1,316,0,0.6197204893041874,None,3
65,769,0,304,1,0.6284667544245043,None,3
66,782,0,291,1,0.6357368757745814,None,3
67,795,2,276,1,0.6437074416913333,None,3
68,804,0,267,3,0.6514063211179885,None,3
69,829,1,244,0,0.6570488383969397,None,3
70,841,0,232,1,0.6733237850951043,None,3
71,860,0,214,0,0.6810691447292885,None,3
72,880,1,192,1,0.6936375868902113,None,3
73,893,0,180,1,0.7064091075260589,None,3
74,908,1,162,3,0.7151506787211307,None,3
75,922,0,151,0,0.7244281015644509,None,3
76,930,0,143,0,0.734512980661366,None,3
77,957,0,115,1,0.7396137467701516,None,3
78,971,0,102,0,0.7559453940956381,None,3
79,981,0,91,1,0.7640701725028174,None,3
80,992,0,81,0,0.7692054554573341,None,3
