,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1173,0,0,0,0.82,Renyi,4
1,785,345,0,43,0.82,Renyi,4
2,552,572,43,4,0.5444808526032117,Renyi,4
3,539,543,66,23,0.39586456030910555,Renyi,4
4,556,523,89,2,0.3916256711704063,Renyi,4
5,558,479,109,22,0.4067414837832236,Renyi,4
6,584,449,130,4,0.41209197794231583,Renyi,4
7,596,399,150,22,0.4327610655322163,Renyi,4
8,602,394,168,3,0.44402954626084845,Renyi,4
9,619,341,188,18,0.45107705126582953,Renyi,4
10,617,344,201,3,0.4659908206836877,Renyi,4
11,631,299,218,16,0.4672569345246169,Renyi,4
12,625,304,231,4,0.4797553126009027,Renyi,4
13,635,257,244,25,0.47806813749889726,Renyi,4
14,633,260,262,3,0.4878840278868955,Renyi,4
15,643,217,277,18,0.4906444154404172,Renyi,4
16,646,223,281,3,0.5008688018795919,Renyi,4
17,643,191,297,22,0.5042113655728709,Renyi,4
18,651,190,305,5,0.5050010567063264,Renyi,4
19,646,159,324,22,0.5124006847239867,Renyi,4
20,648,161,337,3,0.5123666388730516,Renyi,4
21,648,125,357,18,0.5166225064472002,Renyi,4
22,657,124,364,3,0.5204399004102611,Renyi,4
23,674,84,368,22,0.5277236572212378,Renyi,4
24,670,95,380,3,0.5399502233350227,Renyi,4
25,683,63,379,21,0.5393254273094239,Renyi,4
26,685,78,378,3,0.5486904394063518,Renyi,4
27,698,46,381,19,0.5505616471632768,Renyi,4
28,707,52,381,4,0.5600513274379468,Renyi,4
29,733,19,380,11,0.5662985521522044,Renyi,4
30,756,13,367,7,0.5847235222676535,Renyi,4
31,772,8,355,7,0.5988520921785766,Renyi,4
32,794,7,337,4,0.6086887340813804,Renyi,4
33,821,3,316,1,0.6216512124451029,Renyi,4
34,819,19,294,9,0.6384908306279027,Renyi,4
35,841,4,291,5,0.6331425525649563,Renyi,4
36,853,1,284,3,0.6492704418206511,Renyi,4
37,866,0,275,0,0.6572352196596732,Renyi,4
38,886,1,254,0,0.6656974899298356,Renyi,4
39,881,9,244,7,0.6776218220036346,Renyi,4
40,879,15,239,8,0.6719587995438389,Renyi,4
41,865,36,225,14,0.669521857267348,Renyi,4
42,790,107,220,20,0.6566096808931774,Renyi,4
43,682,208,229,18,0.6001939959236833,Renyi,4
44,670,216,245,4,0.5248262155610086,Renyi,4
45,676,203,242,13,0.5200568414001523,Renyi,4
46,668,200,250,15,0.5239854634199324,Renyi,4
47,674,188,259,12,0.5202316069585495,Renyi,4
48,675,183,262,13,0.5259197034292615,Renyi,4
49,678,175,266,14,0.5271312434710833,Renyi,4
50,675,175,266,17,0.5298944167545295,Renyi,4
51,682,168,274,9,0.5278303057046724,Renyi,4
52,668,169,283,13,0.5340502874568784,Renyi,4
53,664,159,296,14,0.5259988703856594,Renyi,4
54,675,139,301,17,0.5255351294354166,Renyi,4
55,676,133,304,19,0.5342852085636752,Renyi,4
56,686,121,311,13,0.5354975418752795,Renyi,4
57,683,117,318,12,0.5439663152654703,Renyi,4
58,686,108,321,11,0.5434555900061061,Renyi,4
59,688,100,319,17,0.5474349100338866,Renyi,4
60,677,100,334,12,0.5491686869109661,Renyi,4
61,690,78,341,12,0.5444971927405896,Renyi,4
62,711,53,344,13,0.555452388074396,Renyi,4
63,726,41,344,9,0.5707422775958717,Renyi,4
64,737,34,337,12,0.5817757239771959,Renyi,4
65,749,26,331,12,0.5884475377235047,Renyi,4
66,754,24,329,11,0.5968325582763953,Renyi,4
67,756,23,327,12,0.6001251804676155,Renyi,4
68,765,12,329,11,0.6012359951112197,Renyi,4
69,777,14,320,6,0.6085678738799618,Renyi,4
70,796,10,303,8,0.6158603489213006,Renyi,4
71,807,7,298,5,0.6270781532445221,Renyi,4
72,823,2,287,4,0.634504724871056,Renyi,4
73,846,0,265,4,0.6451839510702755,Renyi,4
74,870,0,244,1,0.6595211879602244,Renyi,4
75,884,0,230,1,0.6746479031125066,Renyi,4
76,891,4,216,4,0.6832684978652517,Renyi,4
77,874,30,198,13,0.6863775963523763,Renyi,4
78,743,140,204,28,0.6697640050194773,Renyi,4
79,673,209,226,5,0.5714093848041194,Renyi,4
80,683,189,225,15,0.5262882774678167,Renyi,4
81,677,197,229,9,0.5334317661151418,Renyi,4
82,674,184,231,23,0.5299420563360838,Renyi,4
83,682,183,239,7,0.5282029211499871,Renyi,4
84,676,173,242,19,0.5355289528159091,Renyi,4
85,671,177,252,8,0.5322120119684149,Renyi,4
86,672,154,269,12,0.5311706749143528,Renyi,4
87,689,151,258,8,0.5351850230880019,Renyi,4
88,681,144,263,18,0.545526018707638,Renyi,4
89,682,152,265,7,0.5407767592248118,Renyi,4
90,670,146,274,16,0.541827644827702,Renyi,4
91,670,147,278,11,0.5350126766807871,Renyi,4
92,677,125,287,17,0.5357117389143762,Renyi,4
93,670,130,297,8,0.5421700440350053,Renyi,4
94,672,103,320,10,0.5393793964895364,Renyi,4
95,681,95,320,8,0.5447935592278751,Renyi,4
96,685,76,332,11,0.5514424780368696,Renyi,4
97,696,64,331,13,0.5563511991661381,Renyi,4
98,711,34,341,17,0.5639447562760772,Renyi,4
99,723,23,348,8,0.5767406211792936,Renyi,4
100,748,5,343,6,0.5869637168061226,Renyi,4
101,759,4,339,0,0.6043012081800947,Renyi,4
102,775,1,326,0,0.6117146663474577,Renyi,4
103,795,0,306,1,0.621353859597201,Renyi,4
104,805,1,295,1,0.6329345471572343,Renyi,4
105,818,0,283,0,0.6386279432415343,Renyi,4
106,831,2,266,2,0.6469290387078775,Renyi,4
107,845,2,246,8,0.6540248149939548,Renyi,4
108,852,10,233,6,0.661458527741788,Renyi,4
109,861,11,226,3,0.6646826872502248,Renyi,4
110,849,32,207,13,0.6705537254740511,Renyi,4
111,767,110,203,21,0.6577808641136925,Renyi,4
112,681,192,215,12,0.5942807318644361,Renyi,4
113,671,194,219,14,0.5345055043664789,Renyi,4
114,673,183,226,16,0.5288894178654527,Renyi,4
115,676,175,236,11,0.5315141846297564,Renyi,4
116,665,170,250,13,0.5353672105599566,Renyi,4
117,677,153,254,13,0.5301132523225043,Renyi,4
118,684,146,253,13,0.5395692255573791,Renyi,4
119,686,142,254,11,0.5446856790572528,Renyi,4
120,680,141,257,14,0.547351875706875,Renyi,4
121,685,133,260,14,0.5439866168236638,Renyi,4
122,681,125,272,12,0.5480509379404642,Renyi,4
123,686,111,277,15,0.548031696526548,Renyi,4
124,684,99,288,18,0.5528135558766868,Renyi,4
125,685,92,298,13,0.5533149647869912,Renyi,4
126,691,79,305,13,0.5561341014862349,Renyi,4
127,696,65,315,11,0.5616315523034345,Renyi,4
128,709,47,323,8,0.5673205364879154,Renyi,4
129,720,33,321,11,0.5780741497799385,Renyi,4
130,742,15,319,9,0.58646310467221,Renyi,4
131,742,17,316,10,0.6022773261940051,Renyi,4
132,755,12,314,3,0.6017530295188133,Renyi,4
133,762,15,301,6,0.611468963803201,Renyi,4
134,763,18,295,8,0.6144426378164483,Renyi,4
135,764,25,285,9,0.614145501923124,Renyi,4
136,757,22,292,12,0.6135527927551461,Renyi,4
137,750,32,289,12,0.6095195939377036,Renyi,4
138,732,46,292,13,0.6037642290866632,Renyi,4
139,738,38,289,18,0.5909534604191256,Renyi,4
140,736,38,302,7,0.5948556928670802,Renyi,4
141,743,23,303,14,0.5956500914053542,Renyi,4
142,753,17,304,9,0.6010052764575323,Renyi,4
143,765,7,302,8,0.6086244821900234,Renyi,4
144,786,0,292,3,0.6176808371800494,Renyi,4
