,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
0,1137,0,0,0,0.82,SmallWorld,4
1,987,112,0,38,0.82,SmallWorld,4
2,582,488,46,21,0.7237852794669414,SmallWorld,4
3,528,505,84,20,0.42718077797992005,SmallWorld,4
4,569,435,112,18,0.3982894406583891,SmallWorld,4
5,564,408,136,25,0.4313181718190471,SmallWorld,4
6,588,363,168,13,0.4326206896603152,SmallWorld,4
7,577,339,198,17,0.45475741727665264,SmallWorld,4
8,601,292,219,17,0.4530923251410659,SmallWorld,4
9,600,262,247,19,0.4736771532844342,SmallWorld,4
10,608,234,272,13,0.47836492813052045,SmallWorld,4
11,603,207,295,21,0.48862665751675227,SmallWorld,4
12,606,183,327,10,0.48969192558603003,SmallWorld,4
13,615,150,337,22,0.4975017542164324,SmallWorld,4
14,626,123,364,11,0.5060903922936009,SmallWorld,4
15,639,86,379,20,0.5185070768235099,SmallWorld,4
16,668,44,400,12,0.5301884973610832,SmallWorld,4
17,699,4,409,11,0.5542306204866958,SmallWorld,4
18,722,0,397,2,0.5782421479497355,SmallWorld,4
19,742,0,378,1,0.5934465305788569,SmallWorld,4
20,764,0,356,0,0.6047064398411015,SmallWorld,4
21,792,0,326,2,0.6175167017690631,SmallWorld,4
22,810,0,310,0,0.633348124614235,SmallWorld,4
23,821,0,297,2,0.6443441677486378,SmallWorld,4
24,842,0,278,0,0.6505713258575729,SmallWorld,4
25,863,1,254,2,0.6636932008530627,SmallWorld,4
26,879,1,236,4,0.6761472651895556,SmallWorld,4
27,895,0,223,1,0.6858312282122749,SmallWorld,4
28,909,0,207,3,0.6969794370486937,SmallWorld,4
29,918,1,199,1,0.7055700583223868,SmallWorld,4
30,935,0,184,0,0.711524492975763,SmallWorld,4
31,953,0,162,4,0.7227980950147371,SmallWorld,4
32,977,1,140,1,0.7335649828538832,SmallWorld,4
33,968,16,126,9,0.7489119913627355,SmallWorld,4
34,936,37,125,19,0.7392101545293338,SmallWorld,4
35,774,169,147,27,0.7139024305775534,SmallWorld,4
36,622,302,182,11,0.5885614103652671,SmallWorld,4
37,613,277,204,23,0.4852346183471623,SmallWorld,4
38,628,247,222,18,0.4830123566553176,SmallWorld,4
39,644,216,235,18,0.49725107086619796,SmallWorld,4
40,638,208,251,16,0.5113939726675171,SmallWorld,4
41,651,181,260,20,0.5100916261447906,SmallWorld,4
42,640,178,281,13,0.5211456216668633,SmallWorld,4
43,630,158,305,19,0.5172318220984202,SmallWorld,4
44,646,133,324,7,0.514599628628531,SmallWorld,4
45,666,89,338,16,0.5298588043247543,SmallWorld,4
46,692,52,352,13,0.5468325522803208,SmallWorld,4
47,724,2,373,7,0.5679527031602504,SmallWorld,4
48,741,0,363,2,0.5961805523516092,SmallWorld,4
49,759,0,346,1,0.6069919290411308,SmallWorld,4
50,775,0,329,2,0.617446564622337,SmallWorld,4
51,798,1,306,1,0.6265445460652725,SmallWorld,4
52,813,2,290,1,0.6401279846768219,SmallWorld,4
