,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
0,1145,0,0,0,0.82,3,7
1,845,264,0,36,0.82,3,7
2,594,481,49,19,0.6040120803966844,3,7
3,567,472,85,17,0.43354470993516314,3,7
4,595,411,118,16,0.4226709808619378,3,7
5,604,369,144,21,0.4474979090745353,3,7
6,619,324,179,14,0.4588150789466825,3,7
7,633,281,202,18,0.475844391798361,3,7
8,627,261,229,17,0.4901385435278635,3,7
9,633,225,254,22,0.49087760604348374,3,7
10,636,193,287,17,0.49944858719598584,3,7
11,645,160,314,14,0.507735846464055,3,7
12,656,124,342,11,0.5187492552190598,3,7
13,678,84,362,9,0.531355377501259,3,7
14,708,45,372,8,0.5502616754222075,3,7
15,728,29,371,5,0.5732697626911155,3,7
16,754,13,364,2,0.587455258662804,3,7
17,760,16,349,7,0.6051569939955757,3,7
18,779,9,339,4,0.607273339099663,3,7
19,796,8,324,3,0.6200057116803159,3,7
20,817,1,311,1,0.6301339699766594,3,7
21,834,3,293,0,0.6442624235472856,3,7
22,849,3,278,0,0.6542132384990427,3,7
23,866,2,260,2,0.6632812603647376,3,7
24,888,2,240,0,0.6735218742041789,3,7
25,904,1,222,3,0.6875717528858751,3,7
26,922,0,208,0,0.6972967592587539,3,7
27,929,9,191,1,0.709446792623622,3,7
28,937,6,178,9,0.712117983845227,3,7
29,956,0,174,0,0.7163243476681277,3,7
30,969,0,161,0,0.7310928635966015,3,7
31,988,1,141,0,0.7392799812825477,3,7
32,995,1,132,2,0.7508211347553232,3,7
33,1009,1,120,0,0.7546708205955341,3,7
34,1023,1,106,0,0.7631948192274617,3,7
35,1036,3,90,1,0.7709352178098582,3,7
36,1049,1,79,1,0.7771080477478064,3,7
37,1058,1,71,0,0.7836443767118725,3,7
38,1070,1,59,0,0.7877749475367528,3,7
39,1078,1,49,2,0.792658507026471,3,7
40,1084,0,46,0,0.7953567839854966,3,7
41,1092,0,38,0,0.7981130530432444,3,7
42,1097,0,32,1,0.8010140215994748,3,7
43,1102,1,27,0,0.8026314381681179,3,7
44,1104,3,23,0,0.8044233468987841,3,7
45,1105,2,23,0,0.8047815745091043,3,7
46,1106,1,23,0,0.8053187290639471,3,7
47,1110,1,19,0,0.8058558690046091,3,7
48,1110,2,17,1,0.8072882083331823,3,7
49,1112,1,17,0,0.8069301297305623,3,7
50,1112,1,17,0,0.8080043666379482,3,7
51,1114,0,16,0,0.8080043666379482,3,7
52,1112,2,16,0,0.808899563303845,3,7
53,1115,0,13,2,0.807825327336638,3,7
54,1115,0,14,1,0.8088995633153057,3,7
55,1105,11,12,1,0.8090786026166158,3,7
56,1001,92,15,21,0.8035283580875786,3,7
57,675,379,45,29,0.7387474993765049,3,7
58,597,429,83,16,0.49311860407860564,3,7
59,614,376,116,18,0.4472793436729677,3,7
60,617,347,148,12,0.46502256941176706,3,7
61,617,307,185,14,0.47279463661116927,3,7
62,638,272,195,16,0.47974263985870247,3,7
63,630,246,230,15,0.4965924084029381,3,7
