,Quiescent,Active,Jailed,Fighting,Legitimacy,links,run
0,1127,0,0,0,0.82,1,2
1,789,297,0,41,0.82,1,2
2,486,583,47,10,0.5707852712431172,1,2
3,471,557,78,20,0.36747945519815794,1,2
4,487,528,100,11,0.3633690120601322,1,2
5,517,460,129,20,0.3777718610727371,1,2
6,506,461,152,7,0.40271040068548764,1,2
7,532,397,174,23,0.39965879825845685,1,2
8,518,404,195,9,0.42081164921426806,1,2
9,538,353,214,21,0.4153749784299663,1,2
10,516,366,236,8,0.43207045849966264,1,2
11,537,311,265,13,0.4215145762223248,1,2
12,529,315,273,9,0.4406828205562242,1,2
13,545,272,284,24,0.4368317946986083,1,2
14,533,277,306,9,0.4497652010543199,1,2
15,548,236,320,21,0.44578504927210927,1,2
16,523,258,332,10,0.45831521016652316,1,2
17,532,225,345,20,0.44448695518818443,1,2
18,543,218,354,7,0.45311532745586447,1,2
19,548,186,367,21,0.46207366619656265,1,2
20,557,183,374,7,0.46777722785568354,1,2
21,565,151,382,21,0.4753857385929135,1,2
22,574,142,389,11,0.4828414559134787,1,2
23,585,107,399,21,0.4911368361356805,1,2
24,596,101,405,9,0.5017058710528093,1,2
25,612,69,400,30,0.5106504963182069,1,2
26,607,82,412,10,0.5207734994491517,1,2
27,628,53,408,21,0.5194990141752879,1,2
28,623,56,420,9,0.5336873179478469,1,2
29,638,36,412,21,0.5330484426274805,1,2
30,671,19,407,8,0.5424374384528675,1,2
31,691,7,402,5,0.5656753625145602,1,2
32,724,1,378,2,0.5792169070265304,1,2
33,751,0,351,3,0.5991051775318723,1,2
34,766,3,332,4,0.6144447959535875,1,2
35,785,0,320,0,0.6224065825940043,1,2
36,802,1,300,2,0.6348641981876496,1,2
37,830,1,272,2,0.6444970631918538,1,2
38,857,1,247,0,0.6616153766582912,1,2
39,875,0,229,1,0.6788849177346732,1,2
40,888,6,206,5,0.6903470603006902,1,2
41,902,6,188,9,0.6968824263291189,1,2
42,835,66,184,20,0.7052013628181861,1,2
43,600,283,200,22,0.6496199909523385,1,2
44,543,332,218,10,0.4780632783564285,1,2
45,574,282,233,14,0.44314886465230585,1,2
46,551,301,240,10,0.4668716073955816,1,2
47,579,259,243,20,0.4528515097170205,1,2
48,549,283,260,8,0.47274580964038343,1,2
49,574,241,267,17,0.45576189126094235,1,2
50,558,254,273,14,0.47433203784704814,1,2
51,568,227,285,19,0.4645301371474627,1,2
52,544,240,300,14,0.473511581109613,1,2
53,570,200,311,15,0.46028599894808386,1,2
54,546,215,322,13,0.4805609376450333,1,2
55,566,181,333,15,0.4662597843965586,1,2
56,560,182,339,14,0.4821511105011717,1,2
57,551,168,359,16,0.4791556452869703,1,2
58,565,148,373,7,0.4769985054851182,1,2
59,570,125,380,18,0.4893817438642469,1,2
60,573,106,403,9,0.49407132284244,1,2
61,603,64,408,16,0.500951971448104,1,2
62,625,46,408,12,0.5225903917940277,1,2
63,647,15,416,13,0.5380016200510394,1,2
64,677,6,405,3,0.5550599335432396,1,2
65,697,0,393,1,0.5746694358641524,1,2
66,718,0,373,0,0.587122809867704,1,2
67,739,0,350,2,0.5990633387632636,1,2
68,757,0,334,0,0.6106850729638329,1,2
69,783,0,307,1,0.6215105079955254,1,2
70,802,0,289,0,0.6367570819829792,1,2
71,826,1,263,1,0.6484541839554464,1,2
72,852,0,237,2,0.6629218378592144,1,2
73,877,0,213,1,0.6793237943493187,1,2
74,889,4,195,2,0.6955432876035376,1,2
75,910,1,179,0,0.7026764835357874,1,2
76,916,1,167,6,0.7171837696259314,1,2
77,933,0,156,1,0.7199646555448762,1,2
78,951,0,136,3,0.7319374598034601,1,2
79,940,18,123,9,0.7428335205753714,1,2
80,843,98,121,28,0.7316282859388836,1,2
81,581,349,134,25,0.6513236734534518,1,2
82,517,394,160,15,0.458168108936249,1,2
83,563,336,169,15,0.42037337683251286,1,2
84,522,359,192,10,0.4541064291798545,1,2
