,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1141,0,0,0,0.82
1,775,342,0,24,0.82
2,545,540,36,18,0.5529339493256803
3,550,507,63,18,0.40011518450478656
4,536,503,84,11,0.40855248680805034
5,584,442,92,15,0.4043174090409186
6,571,433,113,13,0.4378574297524942
7,602,387,123,16,0.4338717263486651
8,589,388,134,14,0.45711308219085267
9,613,361,136,15,0.4512593049848394
10,627,346,131,18,0.4678788495192873
11,607,361,139,13,0.47753832963040377
12,624,344,134,16,0.465939845816054
13,639,343,118,15,0.4773276417080627
14,613,361,128,12,0.4858154642114443
15,625,342,125,22,0.4700062974743719
16,609,358,133,13,0.47771697722193096
17,629,324,135,23,0.46849090366905843
18,624,332,143,10,0.48327222493268596
19,648,311,136,13,0.48191584709314206
20,644,317,127,17,0.49769599506180795
21,644,313,134,9,0.4943004191338831
22,647,310,126,16,0.49726829627422314
23,652,312,122,12,0.49828442395686134
24,644,314,121,16,0.5014379595606097
25,642,322,119,12,0.4966529761510763
26,647,322,113,9,0.49488560747635646
27,645,315,104,24,0.4987194623821014
28,640,322,112,9,0.4967320094521543
29,634,317,111,20,0.49637267553453823
30,640,312,115,10,0.49230010924874573
31,626,315,120,15,0.4990098800425606
32,645,305,115,8,0.49035059920336727
33,628,308,121,15,0.5039829061169363
34,637,310,110,10,0.4933294536178594
35,632,305,105,18,0.4995009923423231
36,646,294,104,15,0.497514895599846
37,636,297,110,13,0.5077395569196766
38,632,287,120,14,0.5027039133759114
39,657,271,112,12,0.5027050154656042
40,649,274,107,20,0.5197147147383826
41,658,269,110,10,0.513729676739004
42,652,272,104,16,0.5219440836907646
43,638,280,111,11,0.517593210367388
44,651,267,105,14,0.5101286664598046
45,652,270,100,13,0.5196516792797204
46,644,273,105,12,0.5202383781960708
47,648,267,106,10,0.5156422974369154
48,639,268,109,13,0.5198790442784548
49,650,260,106,13,0.5145642956840669
50,638,257,120,12,0.5221055944233185
51,660,244,111,11,0.5165540749265227
52,652,249,106,15,0.5315535812275208
53,644,249,112,16,0.5262463955997926
54,661,237,108,13,0.5217845330387998
55,657,248,101,11,0.5344670620443649
56,654,249,97,15,0.5309956514078491
57,655,253,92,13,0.5288115610554328
58,653,248,98,12,0.5294363871977391
59,644,251,105,9,0.5297957211153553
60,647,236,109,12,0.5251110666398583
61,651,235,108,8,0.5300050416285431
62,657,230,100,13,0.5336076766707413
63,637,246,106,10,0.53748266525887
64,640,237,108,12,0.5239329865573303
65,646,235,110,5,0.5273100372464222
66,649,240,97,10,0.5325630176833821
67,648,238,96,11,0.5324865666375355
68,651,236,92,13,0.5327377091281067
69,654,223,97,17,0.5346837551399685
70,650,222,101,15,0.5382554119511241
71,664,208,104,7,0.5371371044741591
72,654,214,101,13,0.5503929848013843
73,653,204,111,14,0.5425952511522388
74,659,201,112,8,0.5436280571447133
75,666,200,102,9,0.5492152808550592
76,664,206,94,12,0.5540477925428706
77,640,221,105,10,0.5514779287229357
78,672,197,92,13,0.535062253286203
79,664,204,99,7,0.5581566336607068
80,665,200,93,16,0.5532045346648722
81,664,205,95,8,0.5529008281698707
82,660,212,90,6,0.5533163399692194
83,662,206,88,10,0.5509806695047146
84,668,200,85,12,0.55300755300801
85,659,202,88,13,0.5575639156014333
86,653,207,90,10,0.5523478133735575
87,670,196,80,13,0.5488813942570528
88,642,211,92,13,0.5607763074598685
89,650,199,98,10,0.5415633116416199
90,656,192,92,14,0.5492407281746688
91,657,187,92,17,0.5540880242635262
92,655,188,97,12,0.5552910111594654
93,662,173,103,13,0.5550485781781204
94,665,165,107,11,0.5620339761715248
95,677,160,101,9,0.5663974278259343
96,669,166,101,11,0.575258327282279
97,668,167,103,9,0.5689104477564917
98,658,169,105,14,0.5684786502932657
99,665,167,104,8,0.5613824249824373
100,680,162,97,5,0.5675803154992254
