,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1116,0,0,0,0.82
1,748,318,0,50,0.82
2,578,478,49,6,0.5453359352064886
3,575,433,80,23,0.43408478504423786
4,593,415,95,6,0.4377231579627912
5,597,368,116,25,0.4535064699025646
6,595,367,136,7,0.4611104794454208
7,621,307,150,26,0.4637232351017669
8,609,321,166,6,0.4847826640557642
9,618,271,191,20,0.4799727125284415
10,627,273,192,6,0.49154797486072904
11,630,240,196,30,0.4987604829847821
12,635,246,208,5,0.5023049778298955
13,646,212,210,25,0.5087535768157921
14,644,229,213,5,0.5173357944493847
15,658,194,214,24,0.5171521026931123
16,653,207,220,9,0.5277820566754231
17,651,184,223,28,0.5256236349676916
18,661,192,224,5,0.5257951978422585
19,656,167,229,26,0.5346729341199649
20,664,175,232,5,0.5333929610103565
21,665,151,231,28,0.54051897995027
22,682,165,222,4,0.5414354345223777
23,663,158,224,27,0.553084637318084
24,666,179,214,7,0.5397819138078109
25,657,163,213,30,0.5423724018063782
26,658,179,219,4,0.5366611141342951
27,659,153,220,26,0.5396094840431621
28,670,162,221,5,0.5412747492906635
29,677,140,214,25,0.5496227684395669
30,672,153,224,4,0.554327092324956
31,684,118,220,28,0.5535638726591133
32,675,141,224,7,0.5630123106921314
33,683,111,225,23,0.558116733715679
34,692,123,219,7,0.5662986805689358
35,703,94,217,23,0.5724562997747278
36,700,110,220,5,0.5821631701647209
37,711,80,214,26,0.5812059909019182
38,700,103,219,6,0.5902959649946218
39,703,77,215,32,0.5838768565398693
40,701,102,217,4,0.5858878621018068
41,695,88,209,31,0.585932805204838
42,689,110,219,4,0.5802030214144213
43,695,84,215,26,0.5777938505079471
44,696,97,215,9,0.5825370364464643
45,685,75,230,24,0.5845548668559454
46,699,83,227,5,0.5799772255524971
47,708,50,238,17,0.5903541197718986
48,710,55,239,8,0.5998817453107164
49,727,24,234,26,0.6020715886139661
50,716,38,242,13,0.6151354465827659
51,734,17,242,14,0.6086721695379673
52,719,42,229,15,0.6239952811111228
53,725,37,216,26,0.6104091331739707
54,733,41,218,8,0.6132760953899921
55,745,20,214,21,0.6218759381561456
56,737,38,209,15,0.6309210261679195
57,736,36,204,22,0.6239210249494804
58,731,43,213,10,0.6226351826555735
59,730,36,213,18,0.6206673934983072
60,750,29,200,12,0.6198553288371492
61,705,64,192,30,0.6365449284754764
62,695,78,200,14,0.5984691690162647
63,683,80,202,19,0.5936721768027339
64,687,71,219,7,0.5857805844630121
65,704,47,216,16,0.5920784123283043
66,721,32,216,14,0.6055610416265511
67,720,29,218,15,0.6193287310426703
68,727,26,212,17,0.6193287310426703
69,714,39,206,23,0.6239407394295683
70,738,21,207,11,0.6122472108652358
71,729,34,196,16,0.6343381037565693
72,713,44,202,14,0.6258133060987688
73,709,50,195,17,0.6147132176287047
74,711,51,193,14,0.6110626020104123
75,708,49,189,22,0.6132225637742549
76,724,41,193,7,0.6104883072344396
77,733,38,181,12,0.6257071148554048
78,732,44,175,12,0.6314062922654081
79,726,43,174,18,0.629936758215229
80,729,35,177,18,0.6257048368989773
81,732,31,180,14,0.6296639862073323
82,711,43,181,22,0.6336329420613058
83,720,37,184,14,0.6164450265288763
84,719,31,184,21,0.6253374533864325
85,710,35,192,17,0.6245101306709563
86,711,29,198,15,0.6190095721141732
87,714,29,188,17,0.6213922998107005
88,705,36,188,19,0.6243282815549095
89,729,20,186,11,0.6168942523559302
90,727,19,185,13,0.6373563066656494
91,717,17,185,25,0.6364378478842874
92,740,10,182,8,0.6281132322713586
93,738,13,170,17,0.6486306601334417
94,731,20,169,16,0.6456915920330834
95,725,24,170,16,0.6405868662744797
96,726,20,170,17,0.6362211411001765
97,722,18,169,24,0.6379950049226326
98,736,18,159,14,0.6344669084562923
99,731,18,157,20,0.6471706562649144
100,738,22,156,10,0.643083948367366
101,738,8,160,20,0.6487659778677924
102,736,19,159,11,0.6495007448928822
103,734,8,159,22,0.6481117912696659
104,725,25,161,10,0.6473770242445763
105,711,23,166,20,0.6411438729703416
106,730,13,171,5,0.6308116205663978
107,741,7,163,8,0.6481117912696659
108,728,21,153,15,0.6558521289159198
109,694,41,160,21,0.644070572631673
110,699,32,164,20,0.6173923234242253
111,709,17,173,14,0.6227604115064481
112,706,15,180,10,0.6337087743813004
113,721,11,165,13,0.6334228877798561
114,734,5,160,11,0.6437031891191283
115,730,9,158,13,0.6536665492594868
116,729,8,159,11,0.6499542463340258
117,730,8,157,12,0.6507087597402927
118,738,8,150,11,0.6511774882259831
119,750,11,134,12,0.6565687611085762
120,747,11,134,14,0.6635862397067605
121,715,32,135,22,0.6615659021327107
122,704,45,140,13,0.6359881353556874
123,700,33,149,19,0.6286303838054499
124,698,35,152,15,0.6274033550298297
125,690,31,158,16,0.6267496474930128
126,699,21,161,14,0.6235035329411465
127,709,15,162,7,0.6315919016441766
128,705,17,158,13,0.6410951097932696
129,703,14,160,14,0.6370097054663588
130,706,6,160,17,0.6366423219538141
131,712,5,163,9,0.6400955451452963
132,708,10,159,12,0.6456667355378111
133,703,13,162,10,0.6415860642280894
134,722,3,155,8,0.6384206989247312
135,721,8,147,12,0.6530039557863855
136,726,17,132,11,0.6507025782032176
137,728,13,136,8,0.6530232763630293
138,736,14,118,17,0.6558711859433196
139,736,15,121,12,0.6591429488322189
140,725,14,129,15,0.660144617965884
141,727,10,133,11,0.6530244742307542
142,723,15,126,17,0.6563240916315735
143,717,20,133,11,0.6517386319368472
144,723,10,130,17,0.6480531213570649
145,711,17,138,11,0.6529321178429611
146,706,11,145,15,0.6458399772917618
147,712,13,146,4,0.6429617916289692
148,723,9,137,6,0.6490669865380659
149,722,13,130,10,0.656499269150119
150,722,15,124,14,0.6543915216496571
151,729,9,120,13,0.6532893711120227
152,717,12,125,16,0.6600692186039236
153,707,19,129,14,0.651636145305571
154,696,23,137,13,0.6445694897322641
155,702,13,138,14,0.6368845476631638
156,699,17,134,16,0.64299745484063
157,701,13,139,12,0.6402321480956906
158,706,4,142,12,0.6432771356939826
159,707,7,138,9,0.6484321803239441
160,726,6,124,4,0.6498948801620394
161,726,6,117,11,0.6632020681601507
162,710,17,123,10,0.6619162258662439
163,711,9,128,11,0.6500578110053902
164,708,8,133,10,0.6522458724461707
165,714,7,127,8,0.6507073381436786
166,713,7,119,17,0.6558443082096584
167,709,15,119,10,0.6535637119691331
168,705,10,122,15,0.6516492577652209
169,707,6,128,9,0.6493889494910292
