,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1146,0,0,0,0.82
1,686,394,0,66,0.82
2,522,558,62,0,0.48652726160163606
3,567,447,100,28,0.38879579849154006
4,552,464,126,0,0.42501323589109274
5,586,364,159,31,0.4197982773556655
6,606,347,187,0,0.4487706853838537
7,621,271,211,37,0.4671580175830631
8,624,273,242,0,0.48156830254442845
9,623,218,271,26,0.48946633294819947
10,630,220,288,0,0.4942961758801366
11,635,157,320,25,0.5020934669401225
12,637,161,339,0,0.5115502151551989
13,644,96,367,29,0.5163152133391238
14,646,101,388,0,0.5264452914313453
15,645,46,415,27,0.5319046918523056
16,647,54,432,0,0.5367066069983477
17,642,8,450,31,0.5411239306972887
18,635,21,473,2,0.5415643777161799
19,634,5,477,14,0.5408756417631565
20,641,5,472,11,0.5412334079062631
21,642,2,471,14,0.545471877504456
22,639,5,475,10,0.5459809660503571
23,636,5,478,10,0.5446336837078919
24,642,2,475,10,0.5431108020908966
25,645,3,471,10,0.54669649833657
26,642,3,472,12,0.548047094924186
27,638,2,476,12,0.5461598491219103
28,643,3,475,7,0.5444548006363387
29,638,1,473,16,0.5477157813044963
30,645,2,474,7,0.5439181514216791
31,647,2,468,11,0.5489154294140729
32,654,1,462,11,0.5492221533562764
33,658,5,451,14,0.5529908090244677
34,654,4,450,19,0.5537983307914811
35,659,5,453,10,0.5511796772085754
36,653,3,456,15,0.5551882711067132
37,653,2,460,12,0.5515597444520419
38,653,3,462,9,0.5522752767382548
39,645,10,459,13,0.5526330428813614
40,650,5,458,14,0.5465642414129297
41,655,6,454,11,0.5498401115068156
42,666,3,443,14,0.5529250599577926
43,669,10,436,11,0.5586171394375872
44,652,8,448,18,0.5594623203377592
45,664,7,444,11,0.5497709137365098
46,665,5,440,16,0.5573997816262575
47,673,4,432,17,0.5573821705084205
48,670,13,430,13,0.5615489237513359
49,678,4,423,21,0.559088947798405
50,670,17,427,12,0.5634508388979277
51,676,4,428,18,0.5585522985837453
52,669,9,432,16,0.5629392748904667
53,676,4,432,14,0.5587467880515463
54,680,4,426,16,0.5636548071766796
55,681,7,418,20,0.5653951245114958
56,668,12,425,19,0.5646685025791949
57,664,6,434,19,0.557479000154426
58,665,12,437,9,0.55663261282197
59,668,6,433,16,0.5578683824365966
60,670,7,429,16,0.5592526290253755
61,662,5,436,19,0.5602827613104393
62,670,4,436,12,0.5559338933642888
63,676,4,426,14,0.5615349428113119
64,668,9,425,18,0.5646578308581809
65,671,5,430,13,0.5588516967380135
66,673,5,431,10,0.5621986573970551
67,670,6,426,16,0.5637851768675167
68,661,10,432,15,0.5611253589677357
69,665,9,438,6,0.5558846589066947
70,669,5,433,11,0.5597600930358037
71,666,7,431,14,0.5616743442666169
72,669,5,433,10,0.55920946288112
73,665,7,428,17,0.5620197743255019
74,661,6,439,11,0.5583150475233538
75,669,5,438,5,0.557479000154426
76,674,4,428,11,0.5629141896832681
77,674,7,419,16,0.5646475782875023
78,662,9,428,17,0.5633855645929186
79,664,11,436,5,0.5565545868661746
80,662,10,435,9,0.5593883459526732
81,677,6,428,5,0.5578067683670472
82,673,8,417,17,0.5671151470619656
83,673,9,419,14,0.5626700323067055
84,674,3,416,21,0.563027798449812
85,677,6,419,12,0.5635460493210134
86,672,10,414,17,0.5662048814450134
87,673,9,415,16,0.5621239725032515
88,675,8,422,8,0.5630094001063536
89,682,15,406,10,0.5656759440955517
90,670,11,414,18,0.5677775841541699
91,683,7,412,10,0.5607121507133314
92,680,7,406,19,0.5699152342948289
93,675,5,412,20,0.5667094124777636
94,670,10,419,13,0.5642371676579279
95,666,7,422,17,0.5619545000204926
96,672,6,423,11,0.5596708662217924
97,676,6,413,15,0.564082698535673
98,671,11,415,13,0.5658265512208531
99,668,6,421,15,0.5626430702731348
100,662,9,427,11,0.5615967338773861
101,669,6,423,11,0.55878795721135
102,676,5,412,15,0.5630094001063536
103,662,14,416,15,0.5663516463346572
104,664,6,426,11,0.5575131797170657
105,669,10,419,9,0.5607121507133314
106,660,7,423,17,0.5629926980222532
107,675,4,419,8,0.5573568926389242
108,666,9,412,18,0.5675987010826167
109,673,5,411,15,0.5603175903429428
110,670,8,410,15,0.5654521042239778
111,678,4,406,15,0.5634950778870381
112,667,10,410,16,0.5684715381504349
113,665,5,417,16,0.5613677544103679
114,669,7,416,11,0.561203867306721
115,665,6,420,12,0.5638588374337675
116,668,6,419,9,0.5617405165213806
117,667,8,414,12,0.5640377205053207
118,672,7,409,13,0.5627855390044483
119,676,5,404,15,0.5654431575059982
120,667,10,406,16,0.5677539514290617
121,666,9,409,14,0.5620584526173796
122,666,7,411,13,0.5622373356889329
123,657,9,416,14,0.5629477412222326
124,672,4,410,10,0.5578132273411976
125,675,4,401,16,0.5673961852859553
126,678,7,395,15,0.5679293393499587
127,672,12,395,15,0.5693620157446103
128,665,14,402,13,0.5654256954648483
129,670,7,405,12,0.5616866130033805
130,670,9,399,15,0.5657862376419761
131,665,9,402,16,0.5650690947856591
132,669,6,406,11,0.5623949492189154
133,675,4,401,12,0.5659635101434253
134,672,5,395,19,0.5693620157446103
135,662,10,403,15,0.5664981805498146
136,670,8,406,6,0.5611461463024741
137,674,7,397,12,0.567392418606924
138,673,2,397,18,0.5686480146874033
139,669,10,400,10,0.5679309511721844
140,670,6,399,14,0.5659613540344982
141,673,4,396,16,0.5664981805498146
142,671,6,398,13,0.5681113654727438
143,665,8,399,16,0.5673943019575246
144,667,7,402,12,0.5632802640701269
145,674,4,396,12,0.5652460932766603
146,666,7,396,17,0.5699108713671349
147,667,2,401,16,0.5641725233189658
148,668,5,401,12,0.5657826482636017
149,672,10,391,13,0.5664988079199826
150,677,10,386,13,0.5675791413193385
151,675,11,381,19,0.5702814562972679
152,676,7,385,18,0.5679469701262602
153,662,11,393,20,0.5693823072165071
154,665,4,403,13,0.5607775116384858
155,669,7,398,10,0.565066938676732
156,671,6,400,7,0.567397818203821
157,675,2,394,13,0.5691919852715849
158,668,7,392,16,0.5709969885834808
159,661,7,398,16,0.5659667536313951
160,665,5,403,9,0.5623839641318087
161,655,2,407,18,0.5661421204566521
162,665,2,408,7,0.559711703145617
163,660,8,404,10,0.5670365358144183
164,664,5,402,11,0.5627424493915499
165,670,4,395,13,0.56524662641911
166,659,12,394,17,0.5683009237231558
167,661,6,403,11,0.560239251853722
168,656,3,409,13,0.5636358741043062
169,660,4,408,9,0.5611373322167527
170,668,3,402,8,0.5638150287042345
171,660,6,398,17,0.568476452985372
172,657,8,405,11,0.5620261979887022
173,664,2,403,11,0.5611352777815922
174,664,6,394,16,0.5661436516856582
175,657,4,404,13,0.5645337040416791
176,660,4,407,7,0.5620261979887022
177,661,6,402,9,0.5647099772044504
178,670,3,395,10,0.564532172812673
179,663,10,387,17,0.5697500032430574
180,671,9,385,12,0.5636437137451675
181,659,12,386,20,0.5690462555121559
182,671,6,383,17,0.5605956665587262
