,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1160,0,0,0,0.82
1,710,400,0,50,0.82
2,621,476,51,8,0.4973564992413362
3,647,405,70,33,0.44712633558802983
4,645,394,111,5,0.46822220758829275
5,664,335,131,25,0.4741194481774963
6,675,315,154,10,0.4905204985376189
7,677,279,182,16,0.5024247438761806
8,671,270,202,10,0.5087437224979591
9,686,230,219,18,0.508500809005558
10,682,225,234,12,0.5218053922651587
11,686,201,247,18,0.5217011256919762
12,674,206,257,15,0.527089970569902
13,676,194,266,15,0.5206055968988017
14,687,180,272,11,0.5239004166366402
15,689,175,275,11,0.532872772608908
16,677,178,284,11,0.5347859725190339
17,680,166,290,14,0.528101731909009
18,684,158,296,11,0.5312255359131235
19,680,155,305,8,0.535379248946633
20,688,150,300,8,0.5345470646030397
21,682,150,303,10,0.5398677934529228
22,689,144,298,14,0.5365839795054598
23,694,139,300,11,0.5405478971341742
24,698,136,302,8,0.5447185682068535
25,687,140,305,12,0.5478606167311286
26,682,140,309,12,0.5407378176105067
27,693,124,312,13,0.5383204552776547
28,692,124,312,13,0.5468288957740389
29,691,129,314,7,0.5464754474981769
30,704,122,301,14,0.5461323613103017
31,691,136,302,11,0.5529221843507295
32,693,133,299,15,0.5443547578430044
33,706,128,297,9,0.5452188843695011
34,693,139,294,13,0.5539689719486988
35,697,143,288,10,0.5446795822483699
36,696,144,288,9,0.5467608445703817
37,689,150,284,13,0.5464073962945195
38,683,150,290,10,0.5411542291970873
39,699,146,280,6,0.5390633957930603
40,696,144,281,10,0.5491905173986354
41,705,137,273,15,0.5472575479138473
42,690,147,281,11,0.5525377194059208
43,690,141,287,11,0.5437436887177283
44,696,133,287,13,0.5448040335453145
45,693,139,285,11,0.5490170303438685
46,695,131,288,14,0.5469040996379853
47,694,130,291,11,0.5488403062059376
48,692,135,289,9,0.5493672415365666
49,697,126,288,14,0.5479566855162823
50,703,122,287,13,0.5513025692436565
51,700,126,284,14,0.5553673308939665
52,693,134,290,7,0.5530681270870134
53,702,132,280,8,0.5491877101712257
54,693,138,278,12,0.5544872674926619
55,687,142,281,11,0.548121534760898
56,706,130,271,14,0.5444258685004228
57,689,142,273,14,0.5560944724534621
58,687,140,280,11,0.54547218317295
59,694,136,276,12,0.5452997791367429
60,681,142,281,13,0.5495336443283927
61,689,130,285,13,0.5416068949749159
62,687,134,289,7,0.547944810622967
63,683,134,292,8,0.5472413684787415
64,686,126,287,18,0.5449560409142159
65,690,127,291,7,0.5461833998263981
66,689,127,285,12,0.5504170297507484
67,694,128,280,11,0.5493569201904617
68,692,128,280,13,0.5520155739199858
69,689,130,285,8,0.5505973363072865
70,693,123,282,13,0.5497110431614786
71,688,133,282,8,0.5523719119549698
72,692,124,279,16,0.5488274224718234
