,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,1,4,9,12,0,269.3809523809524,145.06401745780286,6.6,1.2806248474865698,0.32418952618453867,0.12468827930174564,0.6263089579309914,21
1,1,1,5,12,1,216.8095238095238,127.51829711760287,7.65,1.6515144564913744,0.371571072319202,0.0024937655860349127,0.6106031974796726,21
2,4,8,5,26,2,433.0,38.33536226514626,86.5,43.30415684434925,0.16708229426433915,0.6633416458852868,0.7738063319347978,5
3,4,8,5,26,3,345.75,74.92287701363315,51.714285714285715,16.35074734608514,0.23690773067331672,0.38902743142144636,0.7578233719881384,8
4,4,6,5,26,4,188.72727272727272,111.77338348729695,38.1,17.061359852016487,0.19451371571072318,0.20199501246882792,0.699376049143969,11
5,4,8,1,26,5,160.26666666666668,76.85698117643936,9.03448275862069,3.8994496395109457,0.6533665835411472,0.0024937655860349127,0.7506377325066256,30
6,4,8,5,37,6,456.6666666666667,42.30707847262546,69.4,14.065560778013793,0.23690773067331672,0.5211970074812967,0.7822654829171436,6
7,4,6,1,37,7,158.19607843137254,56.50612307888069,7.94,2.9759704299606207,0.9975062344139651,0.0024937655860349127,0.564786303734528,51
8,6,2,7,14,8,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
9,5,2,7,14,9,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
10,6,8,7,14,10,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
11,6,2,7,14,11,141.125,103.04542384308,6.666666666666667,1.192569587999888,0.2144638403990025,0.032418952618453865,0.6491149514699369,16
12,6,2,7,49,12,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
13,5,8,7,49,13,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
14,3,6,3,38,14,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
15,2,6,3,38,15,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
16,3,3,3,38,16,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
17,3,6,3,38,17,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
18,3,6,3,25,18,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
19,2,3,3,25,19,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
20,1,4,9,12,20,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
21,1,1,5,12,21,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
22,4,8,5,26,22,141.125,103.04542384308,6.666666666666667,1.192569587999888,0.2144638403990025,0.032418952618453865,0.6491149514699369,16
23,4,8,5,26,23,141.125,103.04542384308,6.666666666666667,1.192569587999888,0.2144638403990025,0.032418952618453865,0.6491149514699369,16
24,4,6,5,26,24,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
25,4,8,1,26,25,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
26,4,8,5,37,26,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
27,4,6,1,37,27,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
28,6,2,7,14,28,174.375,111.73566742540181,6.933333333333334,1.4360439485692011,0.24189526184538654,0.022443890274314215,0.6454122645234469,16
29,5,2,7,14,29,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
30,6,8,7,14,30,229.77777777777777,112.89894968291853,17.125,19.2966156359088,0.18453865336658354,0.685785536159601,0.752994699646643,9
31,6,2,7,14,31,173.88888888888889,132.41638405209565,7.25,1.3919410907075054,0.12718204488778054,0.059850374064837904,0.6425125599153702,9
32,6,2,7,49,32,534.0,0.0,,,0.0399002493765586,0.014962593516209476,0.5694883865613285,1
33,5,8,7,49,33,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
34,3,6,3,38,34,227.25,106.03154011896649,21.428571428571427,34.553714469988165,0.14463840399002495,0.7630922693266833,0.759578947368421,8
35,2,6,3,38,35,534.0,0.0,,,0.0399002493765586,0.014962593516209476,0.5694883865613285,1
36,3,3,3,38,36,314.6666666666667,190.0812691689765,7.0,1.0,0.0399002493765586,0.007481296758104738,0.5691879875679785,3
37,3,6,3,38,37,141.125,103.04542384308,6.666666666666667,1.192569587999888,0.2144638403990025,0.032418952618453865,0.6491149514699369,16
38,3,6,3,25,38,172.46153846153845,110.24421518723112,7.0,1.5275252316519468,0.19451371571072318,0.0199501246882793,0.6480265915576461,13
39,2,3,3,25,39,173.88888888888889,132.41638405209565,7.25,1.3919410907075054,0.12718204488778054,0.059850374064837904,0.6425125599153702,9
40,1,4,9,12,40,534.0,0.0,,,0.0399002493765586,0.014962593516209476,0.5694883865613285,1
41,1,1,5,12,41,534.0,0.0,,,0.0399002493765586,0.014962593516209476,0.5694883865613285,1
42,4,8,5,26,42,174.375,111.73566742540181,6.933333333333334,1.4360439485692011,0.24189526184538654,0.022443890274314215,0.6454122645234469,16
