,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1148,0,0,0,0.82
1,681,446,0,21,0.82
2,449,655,27,16,0.482213813487228
3,436,642,51,16,0.3345094992747817
4,387,670,77,10,0.33116036927913883
5,464,564,97,19,0.3055035021455709
6,464,547,120,12,0.35731345025785666
7,553,436,138,16,0.361697320585837
8,527,448,163,4,0.42222153462164375
9,585,371,172,14,0.4100395542210417
10,564,385,183,10,0.4496956667222491
11,602,325,195,20,0.43777748022897195
12,578,339,213,11,0.4651362888078267
13,602,298,227,14,0.45268057120113
14,597,295,238,11,0.4711628708318344
15,618,265,244,13,0.4697830731604949
16,609,267,255,9,0.4852706311741348
17,614,258,264,4,0.4811725983575195
18,606,253,268,12,0.4861444381823343
19,619,233,280,6,0.48179325985533383
20,624,225,282,7,0.49301159650107895
21,635,210,285,8,0.49675321825999086
22,643,210,274,10,0.5047647606809664
23,637,214,276,7,0.5085913768139189
24,630,218,278,8,0.5058245416812583
25,633,211,284,5,0.5014048388560436
26,642,199,285,7,0.5048466318822413
27,650,191,287,5,0.5111828813906152
28,639,198,288,8,0.5170382052215254
29,641,192,292,7,0.5096628053853474
30,648,185,292,7,0.5120757385334724
31,659,179,285,9,0.5168853551780545
32,665,182,277,7,0.5232302371258908
33,658,191,276,5,0.5263017236033659
34,647,204,270,9,0.5216015330913404
35,659,198,266,6,0.5129310623643826
36,657,203,262,7,0.5208452816248422
37,657,210,254,7,0.5187443902341975
38,652,210,258,8,0.5176517856302237
39,665,205,250,8,0.5149043627403851
40,663,214,242,8,0.5224963832375176
41,650,229,243,5,0.5200144358670299
42,658,218,240,10,0.5111774528654128
43,677,202,242,5,0.5165191515223148
44,667,208,239,12,0.5301428854028607
45,661,220,238,5,0.522606713440886
46,669,213,231,11,0.518924954666089
47,653,231,228,11,0.5232591660588457
48,662,228,225,8,0.5119167101962708
49,647,239,224,13,0.5176400378151886
50,646,237,231,9,0.5070472198832423
51,651,232,231,9,0.5076060242939843
52,642,234,235,12,0.5110658188056261
53,647,230,235,11,0.5055593095438901
54,652,226,237,7,0.5090115055975278
55,641,233,237,11,0.5131667101962708
56,638,231,240,12,0.5055593095438902
57,642,223,249,5,0.504359633792954
58,657,205,245,10,0.5093917385796985
59,658,213,242,3,0.51976603311535
60,668,201,236,11,0.5202692228434203
61,648,216,243,9,0.5262023231186059
62,655,204,246,10,0.5134834372366005
63,653,210,248,4,0.5192303188296357
64,662,204,243,6,0.518193012062233
65,644,216,240,15,0.5235878193835278
66,649,207,248,10,0.5105089284873666
67,656,202,250,5,0.5157471687646006
68,652,205,247,9,0.5213249910908495
69,657,212,236,8,0.5179971806723315
70,647,217,234,15,0.5195240193815945
71,643,217,246,6,0.512194580746223
72,654,206,242,9,0.5118963079598676
73,650,207,246,7,0.5191821339479924
74,653,202,247,7,0.5174446045439214
75,646,201,251,11,0.5200597336673088
76,650,191,258,9,0.5158892403803748
77,654,192,252,9,0.5202692228434203
78,652,191,260,4,0.5223378193835279
79,648,192,259,8,0.5223663089159886
80,666,173,259,7,0.5193924277266004
81,661,184,254,5,0.5327203139836184
82,649,197,248,10,0.5286485996862262
83,649,198,249,8,0.5191520232017028
84,650,196,250,7,0.5193305946302742
85,665,186,245,7,0.5205521050978136
86,654,190,248,10,0.5302125156727604
87,660,185,250,6,0.523345180261463
88,659,186,243,13,0.5282728979362521
89,660,186,245,9,0.5263176811271534
90,645,195,248,11,0.5277285370515398
91,643,196,252,8,0.5180661466105243
92,644,196,254,5,0.5173811622387374
93,656,178,257,8,0.5184377374874172
94,649,183,258,9,0.5273985996862264
